topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,difference
riigimetsa majandamise noukokku,0.0,0.0018993352326685,-inf
riigipalgaliste riigisektoris koondada,0.0,0.0085470085470085,-inf
riigireformi riigireformist riigireform,0.0,0.0018993352326685,-inf
tulubaasi omavalitsustele omavalitsuste,0.0,0.0142450142450142,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0104463437796771,-inf
ulejaagis struktuurses struktuurse,0.0,0.0037986704653371,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0047483380816714,-inf
untso missioonide liikmesusest,0.0,0.0018993352326685,-inf
uuring uuringut uuringu,0.0,0.0028490028490028,-inf
koneleja konsensuslikud repliigi,0.0,0.0028490028490028,-inf
vaesuses suhtelises vaesuse,0.0,0.0009496676163342,-inf
vagivalla naistevastase perevagivalla,0.0,0.0009496676163342,-inf
vagivallale vihakone ohutamine,0.0,0.0047483380816714,-inf
valdkonnad laekumisest fikseeritakse,0.0,0.0009496676163342,-inf
valismaale valjarande valjaranne,0.0,0.0075973409306742,-inf
varude varud varu,0.0,0.0009496676163342,-inf
veb fondi uurimiskomisjon,0.0,0.0018993352326685,-inf
vee monopolide veeteenuse,0.0,0.0018993352326685,-inf
toovoimereformi toovoimega toovoimereform,0.0,0.0085470085470085,-inf
korterelamute kortermajade kredexi,0.0,0.0028490028490028,-inf
tootuli lepitaja ametiuhingute,0.0,0.0009496676163342,-inf
tooandja tooandjal tootaja,0.0,0.0009496676163342,-inf
virumaale virumaa toostusalade,0.0,0.0075973409306742,-inf
magustatud suhkrut joogi,0.0,0.0009496676163342,-inf
maavalitsuste maavalitsused maakonna,0.0,0.0066476733143399,-inf
maantee neljarealiseks ppp,0.0,0.0037986704653371,-inf
pagulasi pagulased pagulaste,0.0,0.0180436847103513,-inf
pealinnast tallinnast viljandisse,0.0,0.0018993352326685,-inf
pensionifondide pensionifondid fondid,0.0,0.0094966761633428,-inf
pensioniiga pensioniea eluiga,0.0,0.0028490028490028,-inf
pensionitous pensionitousu pension,0.0,0.0047483380816714,-inf
oigusriik oigusriigi oigusriigist,0.0,0.0018993352326685,-inf
piima toorpiima toodangut,0.0,0.0075973409306742,-inf
piirilepingu piirileping piirilepingut,0.0,0.0028490028490028,-inf
piirivalve valvamise valvamine,0.0,0.0018993352326685,-inf
post posti omniva,0.0,0.0047483380816714,-inf
president ilves presidendi,0.0,0.0037986704653371,-inf
rail trassi balticu,0.0,0.0018993352326685,-inf
riigikontrolli auditi auditit,0.0,0.0066476733143399,-inf
piirikontrolli schengeni valispiiri,0.0,0.0009496676163342,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0018993352326685,-inf
oiglase virumaale ulemineku,0.0,0.0047483380816714,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0085470085470085,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0085470085470085,-inf
laari laar kandidatuuri,0.0,0.0009496676163342,-inf
lae korgepalgaliste lagi,0.0,0.0009496676163342,-inf
lahususe voimude lahusus,0.0,0.0009496676163342,-inf
liiklussurmade liikluses hukkunute,0.0,0.0009496676163342,-inf
lipu laevu kaubalaeva,0.0,0.0009496676163342,-inf
lipud lippude lipp,0.0,0.0009496676163342,-inf
lng terminali gaasi,0.0,0.0009496676163342,-inf
rongi rongide rongid,0.0,0.0009496676163342,-inf
salastatud valisteabe riigisaladuse,0.0,0.0009496676163342,-inf
samba sammas sambasse,0.0,0.0028490028490028,-inf
estonian air airi,0.0,0.0047483380816714,-inf
idapiiri piiririba valjaehitamine,0.0,0.0037986704653371,-inf
fie fuusilisest isikust,0.0,0.0018993352326685,-inf
id mobiil kaardi,0.0,0.0047483380816714,-inf
haalte kandidaatidele haaletamisest,0.0,0.0009496676163342,-inf
hadaolukorda eriolukord eriolukorra,0.0,0.0018993352326685,-inf
huvihariduse huvitegevuse huviharidus,0.0,0.0018993352326685,-inf
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0018993352326685,-inf
hambaravi hammaste hambad,0.0,0.0047483380816714,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0018993352326685,-inf
hoiu pangad pankade,0.0,0.0018993352326685,-inf
etv saateid pbk,0.0,0.0037986704653371,-inf
kasvavad tuleval kasv,0.0,0.0009496676163342,-inf
hansson ardo panga,0.0,0.0009496676163342,-inf
kolledz kolledzi turi,0.0,0.0028490028490028,-inf
annetus erjk annetuse,0.0,0.0018993352326685,-inf
abielu kooselu samasooliste,0.0,0.0056980056980056,-inf
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0009496676163342,-inf
kohtla jarve johvi,0.0,0.0028490028490028,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0018993352326685,-inf
kirik kiriku maarja,0.0,0.0028490028490028,-inf
annetused annetusi annetuste,0.0,0.0009496676163342,-inf
ametiuhingute tooandjate keskliit,0.0,0.0009496676163342,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0009496676163342,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0066476733143399,-inf
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.0037986704653371,-inf
iive sundimus iibe,0.0,0.0009496676163342,-inf
kantsler kantsleri riigisekretar,0.0,0.0018993352326685,-inf
sigade katku katk,0.0,0.0123456790123456,-inf
inflatsiooni inflatsioon hinnatous,0.0,0.0018993352326685,-inf
slovakkia ungari portugal,0.0,0.0085470085470085,-inf
sularaha kommertspangad pangad,0.0,0.0066476733143399,-inf
suuria euroopasse turgis,0.0,0.0047483380816714,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0009496676163342,-inf
