topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,Isamaa,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
jahimehed jahimeeste jahti,0.0,0.0,0.005361930294906166,0.01020408163265306,0.0,0.001899335232668566,0.0,0.0
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0,0.002680965147453083,0.0,0.00881057268722467,0.0,0.0,0.0
jarviku jarvik maaeluministri,0.013468013468013467,0.006172839506172839,0.002680965147453083,0.01020408163265306,0.004405286343612335,0.005698005698005698,0.004750593824228029,0.0
joustumine joustuma joustada,0.005050505050505051,0.018518518518518517,0.013404825737265416,0.0,0.030837004405286344,0.00949667616334283,0.014251781472684086,0.03007518796992481
kaasne lisakulutusi riigieelarvele,0.010101010101010102,0.0030864197530864196,0.005361930294906166,0.0,0.00881057268722467,0.002849002849002849,0.011876484560570071,0.015037593984962405
kaibemaksu kaibemaks kaibemaksumaara,0.003367003367003367,0.0030864197530864196,0.0,0.01020408163265306,0.004405286343612335,0.015194681861348529,0.0023752969121140144,0.0
kaitsekulud kaitsekulutused kaitsekulude,0.0016835016835016834,0.0030864197530864196,0.0,0.0,0.0,0.000949667616334283,0.0,0.0
kaitseliit kaitseliidule kaitseliidu,0.021885521885521887,0.009259259259259259,0.005361930294906166,0.01020408163265306,0.0,0.007597340930674264,0.0166270783847981,0.007518796992481203
kala kalurid kalurite,0.0,0.0,0.002680965147453083,0.0,0.004405286343612335,0.001899335232668566,0.0023752969121140144,0.0
kandidaadi kandidaati kandidaat,0.0,0.0,0.0,0.0,0.0,0.000949667616334283,0.0,0.0037593984962406013
kandidaati kandidaat valituks,0.0,0.0,0.0,0.0,0.0,0.002849002849002849,0.007125890736342043,0.0
kandideerima ametikohale kandidaatide,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.007518796992481203
kantsler kantsleri riigisekretar,0.0016835016835016834,0.009259259259259259,0.002680965147453083,0.01020408163265306,0.0,0.001899335232668566,0.0023752969121140144,0.0
karistuse karistus tingimisi,0.0,0.012345679012345678,0.0,0.0,0.00881057268722467,0.005698005698005698,0.0023752969121140144,0.0
kasvavad tuleval kasv,0.0016835016835016834,0.0,0.002680965147453083,0.02040816326530612,0.0,0.000949667616334283,0.0023752969121140144,0.0037593984962406013
katteallikas katteallikaid katteallikat,0.010101010101010102,0.018518518518518517,0.002680965147453083,0.0,0.004405286343612335,0.003798670465337132,0.004750593824228029,0.007518796992481203
kauguhendus avaksite ettekandjalt,0.0016835016835016834,0.0030864197530864196,0.002680965147453083,0.0,0.0,0.0,0.0,0.0037593984962406013
keeleoskust oskuse keeleoskuse,0.0,0.0,0.0,0.0,0.0,0.006647673314339981,0.0,0.0037593984962406013
keskkonnaameti uhendamine uhendamise,0.0,0.0030864197530864196,0.0,0.0,0.0,0.000949667616334283,0.0023752969121140144,0.0
kinnisasja maad maa,0.0,0.0030864197530864196,0.002680965147453083,0.01020408163265306,0.004405286343612335,0.012345679012345678,0.009501187648456057,0.0037593984962406013
kinnitamise paevakorra paevakord,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0
