topic_words3,EKRE,Keskerakond,difference
kauguhendus avaksite ettekandjalt,0.0016835016835016,0.0,100.0
konkurss konkursi konkurssi,0.0016835016835016,0.0,100.0
korrata stenogrammist vabandan,0.0016835016835016,0.0,100.0
kusimusena tahtsa tahtsusega,0.0016835016835016,0.0,100.0
majandusaasta koondaruanne raamatupidamise,0.0016835016835016,0.0,100.0
miili baasvorgu lairiba,0.0016835016835016,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0016835016835016,0.0,100.0
skais arendused infosusteemide,0.0,0.0,
oppelaenu sugava puudega,0.0,0.0,
poolte kokkuleppel huvitise,0.0,0.0,
puude raskusastme puuet,0.0,0.0,
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0,
tootuna arvele ariuhingu,0.0,0.0,
teatri teater rahvusooper,0.0,0.0,
ts parvlaeva parvlaevad,0.0,0.0,
tsernoboli represseeritud oigusvastaselt,0.0,0.0,
objekti anu raua,0.0,0.0,
valimiskomisjon proteste valimiskasti,0.0,0.0,
operatsioonil sojalisel panustamisel,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
muundatud geneetiliselt gmo,0.0,0.0,
muraste kase kompleksi,0.0,0.0,
memorandumi moistmise memorandum,0.0,0.0,
kutsehariduse kutseharidus kutsehariduses,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0,
energiaagentuur agentuuri agentuur,0.0,0.0,
domeenide domeeni interneti,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
lng terminali gaasi,0.0,0.0009496676163342,-inf
nord stream streami,0.0,0.0028490028490028,-inf
kirik kiriku maarja,0.0,0.0028490028490028,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0009496676163342,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0066476733143399,-inf
veb fondi uurimiskomisjon,0.0,0.0018993352326685,-inf
karistuse karistus tingimisi,0.0,0.0056980056980056,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0085470085470085,-inf
kandidaati kandidaat valituks,0.0,0.0028490028490028,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0085470085470085,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0018993352326685,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0047483380816714,-inf
ulikooliga kbfi instituudi,0.0,0.0018993352326685,-inf
vagivalla naistevastase perevagivalla,0.0,0.0009496676163342,-inf
treenerite spordi sport,0.0,0.0066476733143399,-inf
toovoimereformi toovoimega toovoimereform,0.0,0.0085470085470085,-inf
tootuli lepitaja ametiuhingute,0.0,0.0009496676163342,-inf
tootuid tootute tootu,0.0,0.0037986704653371,-inf
kinnisasja maad maa,0.0,0.0123456790123456,-inf
kohanimenoukogu vonnu mulgi,0.0,0.0009496676163342,-inf
tervist tervis tervisega,0.0,0.0028490028490028,-inf
kohtla jarve johvi,0.0,0.0028490028490028,-inf
muuseum muuseumi muuseumide,0.0,0.0028490028490028,-inf
muugimaksu muugimaks paadimaksu,0.0,0.0009496676163342,-inf
moisteid moiste moisted,0.0,0.0056980056980056,-inf
magustatud suhkrut joogi,0.0,0.0009496676163342,-inf
maavalitsuste maavalitsused maakonna,0.0,0.0066476733143399,-inf
louis freeh kremli,0.0,0.0009496676163342,-inf
lipu laevu kaubalaeva,0.0,0.0009496676163342,-inf
liiklussurmade liikluses hukkunute,0.0,0.0009496676163342,-inf
lahususe voimude lahusus,0.0,0.0009496676163342,-inf
lae korgepalgaliste lagi,0.0,0.0009496676163342,-inf
normitehnika mojude eeskiri,0.0,0.0028490028490028,-inf
laari laar kandidatuuri,0.0,0.0009496676163342,-inf
valispoliitika valispoliitikas diplomaatia,0.0,0.0018993352326685,-inf
koolituse koolitus koolitusele,0.0,0.0047483380816714,-inf
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0009496676163342,-inf
tooandja tooandjal tootaja,0.0,0.0009496676163342,-inf
teenuseid teenused teenust,0.0,0.0066476733143399,-inf
ammendumiseni kaheni pikendada,0.0,0.0009496676163342,-inf
hiv narkomaania epideemia,0.0,0.0009496676163342,-inf
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0018993352326685,-inf
haalte kandidaatidele haaletamisest,0.0,0.0009496676163342,-inf
haale valimispaeval valimiste,0.0,0.0047483380816714,-inf
fie fuusilisest isikust,0.0,0.0018993352326685,-inf
etv saateid pbk,0.0,0.0037986704653371,-inf
vee monopolide veeteenuse,0.0,0.0018993352326685,-inf
kala kalurid kalurite,0.0,0.0018993352326685,-inf
erimargistatud kutust kutuse,0.0,0.0066476733143399,-inf
inimarengu aruanne aruandes,0.0,0.0018993352326685,-inf
hoiu pangad pankade,0.0,0.0018993352326685,-inf
borsile ipo enefit,0.0,0.0037986704653371,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0018993352326685,-inf
ametiuhingute tooandjate keskliit,0.0,0.0009496676163342,-inf
jahimehed jahimeeste jahti,0.0,0.0018993352326685,-inf
apteeke apteegid apteekide,0.0,0.0037986704653371,-inf
hansson ardo panga,0.0,0.0009496676163342,-inf
virumaale virumaa toostusalade,0.0,0.0075973409306742,-inf
teede teehoiuks teedele,0.0,0.0085470085470085,-inf
vaesuses suhtelises vaesuse,0.0,0.0009496676163342,-inf
oiglase virumaale ulemineku,0.0,0.0047483380816714,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0009496676163342,-inf
salvestisi salvestised salvestiste,0.0,0.0075973409306742,-inf
salastatud valisteabe riigisaladuse,0.0,0.0009496676163342,-inf
riigireformi riigireformist riigireform,0.0,0.0018993352326685,-inf
riigipuha puhade tahtpaevade,0.0,0.0085470085470085,-inf
riigikontrolor karis riigikontrolori,0.0,0.0037986704653371,-inf
riigikontrolli auditi auditit,0.0,0.0066476733143399,-inf
riigiabi komisjonilt loa,0.0,0.0009496676163342,-inf
president ilves presidendi,0.0,0.0037986704653371,-inf
post posti omniva,0.0,0.0047483380816714,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0018993352326685,-inf
ootuse oigusparase oiguskindluse,0.0,0.0009496676163342,-inf
sularaha kommertspangad pangad,0.0,0.0066476733143399,-inf
kandidaadi kandidaati kandidaat,0.0,0.0009496676163342,-inf
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0,
