topic_words3,Isamaa,Isamaa ja Res Publica Liidu fraktsioon,difference
toonadalal istungid taiendaval,0.0,0.013215859030837,-inf
katteallikas katteallikaid katteallikat,0.0,0.0044052863436123,-inf
riigiabi komisjonilt loa,0.0,0.0220264317180616,-inf
kulukuse krediidi kiirlaenude,0.0,0.013215859030837,-inf
karistuse karistus tingimisi,0.0,0.0088105726872246,-inf
valijate erakonda valijaid,0.0,0.0044052863436123,-inf
haale valimispaeval valimiste,0.0,0.0044052863436123,-inf
vabatahtlike komandode paasteameti,0.0,0.0044052863436123,-inf
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0088105726872246,-inf
energiaagentuur agentuuri agentuur,0.0,0.0044052863436123,-inf
elektri elektrit taastuvenergia,0.0,0.0088105726872246,-inf
relva relvade relvaluba,0.0,0.0044052863436123,-inf
riigiloivude riigiloivud riigiloivu,0.0,0.0088105726872246,-inf
kandidaati kandidaat valituks,0.0,0.0,
louis freeh kremli,0.0,0.0044052863436123,-inf
kodualuse maamaksu maamaksust,0.0,0.0088105726872246,-inf
koolilouna koolitoidu koolitoit,0.0,0.0044052863436123,-inf
korterid kortereid korterit,0.0,0.013215859030837,-inf
krimmi agressiooni ukraina,0.0,0.0440528634361233,-inf
ts parvlaeva parvlaevad,0.0,0.0044052863436123,-inf
lasteaia lasteaias lasteaiakoha,0.0,0.0220264317180616,-inf
leping ratifitseerida lepinguga,0.0,0.0088105726872246,-inf
liitlaste ohutorje keskmaa,0.0,0.0044052863436123,-inf
treenerite spordi sport,0.0,0.039647577092511,-inf
riigipuha puhade tahtpaevade,0.0,0.0044052863436123,-inf
metsa metsade mets,0.0,0.0044052863436123,-inf
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0088105726872246,-inf
normitehnika mojude eeskiri,0.0,0.0044052863436123,-inf
ootuse oigusparase oiguskindluse,0.0,0.0220264317180616,-inf
opositsiooni koalitsioonil opositsioonil,0.0,0.0044052863436123,-inf
pensioni pension sammas,0.0,0.0044052863436123,-inf
tapsustatakse ajakohastatakse nouete,0.0,0.0044052863436123,-inf
salvestisi salvestised salvestiste,0.0,0.026431718061674,-inf
elatisraha elatisabi elatise,0.0,0.079295154185022,-inf
hanke hankija riigihangete,0.0,0.0044052863436123,-inf
elamisluba elamisloa viisa,0.0,0.0044052863436123,-inf
hiv narkomaania epideemia,0.0,0.0,
estonian air airi,0.0,0.0,
etv saateid pbk,0.0,0.0,
fie fuusilisest isikust,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
hadaolukorda eriolukord eriolukorra,0.0,0.0,
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
hambaravi hammaste hambad,0.0,0.0,
hansson ardo panga,0.0,0.0,
hoiu pangad pankade,0.0,0.0,
