topic_words3,Fraktsioonitud,Isamaa,difference
sigade katku katk,0.0375335120643431,0.0306122448979591,18.440233236151684
taanis saksamaal hollandis,0.0160857908847185,0.010204081632653,36.56462585034052
tulumaksuvaba maksususteemi tulumaksu,0.0160857908847185,0.010204081632653,36.56462585034052
huvigruppe huvigruppide kaasatud,0.0187667560321715,0.010204081632653,45.626822157434496
eriarstide eriarstiabi eriarsti,0.0187667560321715,0.010204081632653,45.626822157434496
palgalohe soolist meeste,0.0214477211796246,0.010204081632653,52.42346938775524
toovoimereformi toovoimega toovoimereform,0.0214477211796246,0.010204081632653,52.42346938775524
teenuseid teenused teenust,0.0294906166219839,0.010204081632653,65.39888682745844
krimmi agressiooni ukraina,0.0241286863270777,0.0,100.0
untso missioonide liikmesusest,0.0160857908847185,0.0,100.0
suuria euroopasse turgis,0.0160857908847185,0.0,100.0
prokuratuur prokuratuuri prokuror,0.0134048257372654,0.0,100.0
direktiivi direktiiv ulevotmise,0.0134048257372654,0.0,100.0
joustumine joustuma joustada,0.0134048257372654,0.0,100.0
vabatahtlike komandode paasteameti,0.0134048257372654,0.0,100.0
terviseandmed isikuandmeid terviseandmeid,0.0134048257372654,0.0,100.0
elektri elektrit taastuvenergia,0.0134048257372654,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0107238605898123,0.0,100.0
salvestisi salvestised salvestiste,0.0107238605898123,0.0,100.0
annetused annetusi annetuste,0.0107238605898123,0.0,100.0
missiooni missioonile missioon,0.0107238605898123,0.0,100.0
metsa metsade mets,0.0107238605898123,0.0,100.0
aasia aasias saatkonna,0.0107238605898123,0.0,100.0
estonian air airi,0.0080428954423592,0.0,100.0
hiv narkomaania epideemia,0.0080428954423592,0.0,100.0
apteeke apteegid apteekide,0.0080428954423592,0.0,100.0
tulubaasi omavalitsustele omavalitsuste,0.0080428954423592,0.0,100.0
liiklussurmade liikluses hukkunute,0.0080428954423592,0.0,100.0
leping ratifitseerida lepinguga,0.0080428954423592,0.0,100.0
korterid kortereid korterit,0.0080428954423592,0.0,100.0
valijate erakonda valijaid,0.0080428954423592,0.0,100.0
ulejaagis struktuurses struktuurse,0.0053619302949061,0.0,100.0
vaesuses suhtelises vaesuse,0.0053619302949061,0.0,100.0
eelarvele kulude riigieelarvele,0.0053619302949061,0.0,100.0
planeeringu keskkonnamoju keskkonnamojude,0.0053619302949061,0.0,100.0
toonadalal istungid taiendaval,0.0053619302949061,0.0,100.0
piirikontrolli schengeni valispiiri,0.0053619302949061,0.0,100.0
korrata stenogrammist vabandan,0.0053619302949061,0.0,100.0
korruptsiooni korruptsioon korruptsiooniga,0.0053619302949061,0.0,100.0
korteriuhistu korteriomanike korteriuhistute,0.0053619302949061,0.0,100.0
kulukuse krediidi kiirlaenude,0.0053619302949061,0.0,100.0
lng terminali gaasi,0.0053619302949061,0.0,100.0
maavalitsuste maavalitsused maakonna,0.0053619302949061,0.0,100.0
