topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Reformierakond,difference
estonian air airi,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
hadaolukorda eriolukord eriolukorra,0.0,0.0,
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
hambaravi hammaste hambad,0.0,0.0,
hansson ardo panga,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
annetus erjk annetuse,0.0,0.0,
volakirjade keskpank volakirju,0.0,0.004750593824228,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
kantsler kantsleri riigisekretar,0.0,0.002375296912114,-inf
teadus teaduse arendustegevuse,0.0,0.01187648456057,-inf
piima toorpiima toodangut,0.0,0.002375296912114,-inf
pagulasi pagulased pagulaste,0.0,0.014251781472684,-inf
teede teehoiuks teedele,0.0,0.002375296912114,-inf
teenistuse teenistuses avalikus,0.0,0.002375296912114,-inf
piirikontrolli schengeni valispiiri,0.0,0.002375296912114,-inf
operatsioonil sojalisel panustamisel,0.0,0.004750593824228,-inf
teenuseid teenused teenust,0.0,0.0190023752969121,-inf
ooteala piiriuletuse piiripunkti,0.0,0.002375296912114,-inf
oigusriik oigusriigi oigusriigist,0.0,0.002375296912114,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.002375296912114,-inf
noukogudesse ariuhingute noukogudes,0.0,0.009501187648456,-inf
piirilepingu piirileping piirilepingut,0.0,0.004750593824228,-inf
missiooni missioonile missioon,0.0,0.0308788598574821,-inf
piirivalve valvamise valvamine,0.0,0.002375296912114,-inf
liiklussurmade liikluses hukkunute,0.0,0.002375296912114,-inf
tootuid tootute tootu,0.0,0.004750593824228,-inf
aardla pria pealtnagija,0.0,0.0,
uliopilased uliopilastele uliopilaste,0.0,0.007125890736342,-inf
toovoimereformi toovoimega toovoimereform,0.0,0.009501187648456,-inf
lahususe voimude lahusus,0.0,0.002375296912114,-inf
kutsehariduse kutseharidus kutsehariduses,0.0,0.004750593824228,-inf
kusimusena tahtsa tahtsusega,0.0,0.004750593824228,-inf
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.004750593824228,-inf
suuria euroopasse turgis,0.0,0.014251781472684,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.002375296912114,-inf
korterelamute kortermajade kredexi,0.0,0.004750593824228,-inf
korrata stenogrammist vabandan,0.0,0.002375296912114,-inf
konkurss konkursi konkurssi,0.0,0.002375296912114,-inf
kohtla jarve johvi,0.0,0.004750593824228,-inf
tulubaasi omavalitsustele omavalitsuste,0.0,0.004750593824228,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.002375296912114,-inf
pensionifondide pensionifondid fondid,0.0,0.0213776722090261,-inf
kasvavad tuleval kasv,0.0,0.002375296912114,-inf
teatri teater rahvusooper,0.0,0.002375296912114,-inf
maavalitsuste maavalitsused maakonna,0.0,0.002375296912114,-inf
tervist tervis tervisega,0.0,0.002375296912114,-inf
tarbijakaitse amet ametile,0.0,0.002375296912114,-inf
ajakirjandus ajakirjanduse ajakirjandust,0.0,0.002375296912114,-inf
abielu kooselu samasooliste,0.0,0.002375296912114,-inf
etv saateid pbk,0.0,0.007125890736342,-inf
fie fuusilisest isikust,0.0,0.002375296912114,-inf
pensioniiga pensioniea eluiga,0.0,0.002375296912114,-inf
salastatud valisteabe riigisaladuse,0.0,0.004750593824228,-inf
vagivallale vihakone ohutamine,0.0,0.007125890736342,-inf
inimarengu aruanne aruandes,0.0,0.004750593824228,-inf
iive sundimus iibe,0.0,0.002375296912114,-inf
id mobiil kaardi,0.0,0.007125890736342,-inf
untso missioonide liikmesusest,0.0,0.0237529691211401,-inf
vagivalla naistevastase perevagivalla,0.0,0.002375296912114,-inf
