topic_words3,EKRE,Isamaa ja Res Publica Liidu fraktsioon,difference
vaesuses suhtelises vaesuse,0.0,0.0,
vagivalla naistevastase perevagivalla,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
salvestisi salvestised salvestiste,0.0,0.026431718061674,-inf
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0,
energiaagentuur agentuuri agentuur,0.0,0.0044052863436123,-inf
poolte kokkuleppel huvitise,0.0,0.0044052863436123,-inf
borsile ipo enefit,0.0,0.0044052863436123,-inf
danske filiaali rahapesu,0.0,0.0044052863436123,-inf
riigiabi komisjonilt loa,0.0,0.0220264317180616,-inf
ammendumiseni kaheni pikendada,0.0,0.0044052863436123,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0044052863436123,-inf
valispoliitika valispoliitikas diplomaatia,0.0,0.0044052863436123,-inf
kala kalurid kalurite,0.0,0.0044052863436123,-inf
riigipuha puhade tahtpaevade,0.0,0.0044052863436123,-inf
normitehnika mojude eeskiri,0.0,0.0044052863436123,-inf
moisteid moiste moisted,0.0,0.0088105726872246,-inf
ootuse oigusparase oiguskindluse,0.0,0.0220264317180616,-inf
erimargistatud kutust kutuse,0.0,0.0484581497797356,-inf
ts parvlaeva parvlaevad,0.0,0.0044052863436123,-inf
louis freeh kremli,0.0,0.0044052863436123,-inf
haale valimispaeval valimiste,0.0,0.0044052863436123,-inf
kulukuse krediidi kiirlaenude,0.0,0.013215859030837,-inf
ulikooliga kbfi instituudi,0.0,0.0044052863436123,-inf
kinnitamise paevakorra paevakord,0.0,0.0044052863436123,-inf
kinnisasja maad maa,0.0,0.0044052863436123,-inf
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0088105726872246,-inf
karistuse karistus tingimisi,0.0,0.0088105726872246,-inf
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0044052863436123,-inf
apteeke apteegid apteekide,0.0,0.0220264317180616,-inf
kohtla jarve johvi,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
keskkonnaameti uhendamine uhendamise,0.0,0.0,
keeleoskust oskuse keeleoskuse,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
kandidaati kandidaat valituks,0.0,0.0,
kandidaadi kandidaati kandidaat,0.0,0.0,
jahimehed jahimeeste jahti,0.0,0.0,
inimarengu aruanne aruandes,0.0,0.0,
hoiu pangad pankade,0.0,0.0,
hansson ardo panga,0.0,0.0,
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0088105726872246,-inf
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
haalte kandidaatidele haaletamisest,0.0,0.0,
fie fuusilisest isikust,0.0,0.0,
etv saateid pbk,0.0,0.0,
domeenide domeeni interneti,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
ametiuhingute tooandjate keskliit,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
treenerite spordi sport,0.0,0.039647577092511,-inf
virumaale virumaa toostusalade,0.0,0.0,
