topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,Isamaa,Keskerakond,Reformierakond,Sotsiaaldemokraadid
kasvavad tuleval kasv,0.001095290251916758,0.0,0.0,0.009404388714733543,0.003129890453834116,0.0015785319652722968,0.009041591320072333
katteallikas katteallikaid katteallikat,0.0032858707557502738,0.0,0.001841620626151013,0.0,0.003129890453834116,0.0023677979479084454,0.0
kauguhendus avaksite ettekandjalt,0.002190580503833516,0.0012062726176115801,0.0,0.003134796238244514,0.004694835680751174,0.0015785319652722968,0.0018083182640144665
keeleoskust oskuse keeleoskuse,0.004381161007667032,0.0036188178528347406,0.003683241252302026,0.0,0.001564945226917058,0.0007892659826361484,0.0
keskkonnaameti uhendamine uhendamise,0.001095290251916758,0.0012062726176115801,0.0,0.003134796238244514,0.0,0.0023677979479084454,0.0
kinnisasja maad maa,0.012048192771084338,0.0024125452352231603,0.01289134438305709,0.018808777429467086,0.001564945226917058,0.0,0.0162748643761302
kinnitamise paevakorra paevakord,0.0,0.0,0.0,0.006269592476489028,0.0,0.0015785319652722968,0.0
kirik kiriku maarja,0.001095290251916758,0.0,0.0,0.003134796238244514,0.001564945226917058,0.0007892659826361484,0.0
kodakondsust kodakondsuse kodanikuks,0.01095290251916758,0.0036188178528347406,0.001841620626151013,0.006269592476489028,0.003129890453834116,0.003946329913180742,0.0018083182640144665
kodualuse maamaksu maamaksust,0.001095290251916758,0.0,0.0,0.0,0.001564945226917058,0.0015785319652722968,0.0
kohanimenoukogu vonnu mulgi,0.001095290251916758,0.019300361881785282,0.0055248618784530384,0.0,0.003129890453834116,0.0015785319652722968,0.0018083182640144665
kohtla jarve johvi,0.00547645125958379,0.0036188178528347406,0.0,0.0,0.014084507042253521,0.0023677979479084454,0.0
kohtunike kohtususteem kohtuniku,0.012048192771084338,0.009650180940892641,0.007366482504604052,0.009404388714733543,0.010954616588419406,0.010260457774269928,0.003616636528028933
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.0012062726176115801,0.003683241252302026,0.006269592476489028,0.001564945226917058,0.0,0.0
kolledz kolledzi turi,0.0,0.0,0.0,0.0,0.001564945226917058,0.0,0.0
koneleja konsensuslikud repliigi,0.001095290251916758,0.0048250904704463205,0.0,0.0,0.0,0.0,0.0018083182640144665
konkurss konkursi konkurssi,0.0,0.0,0.0,0.003134796238244514,0.001564945226917058,0.0031570639305445935,0.0
koolilouna koolitoidu koolitoit,0.0,0.0,0.001841620626151013,0.003134796238244514,0.001564945226917058,0.0007892659826361484,0.007233273056057866
koolis kooli opilased,0.03943044906900329,0.028950542822677925,0.02578268876611418,0.018808777429467086,0.028169014084507043,0.043409629044988164,0.09403254972875226
koolituse koolitus koolitusele,0.001095290251916758,0.0,0.0,0.0,0.003129890453834116,0.0023677979479084454,0.0018083182640144665
korrata stenogrammist vabandan,0.0,0.0,0.001841620626151013,0.0,0.004694835680751174,0.0015785319652722968,0.0018083182640144665
