topic_words3,Fraktsioonitud,Keskerakond,difference
noukogudesse ariuhingute noukogudes,0.007366482504604,0.0046948356807511,36.26760563380337
salvestisi salvestised salvestiste,0.007366482504604,0.0046948356807511,36.26760563380337
palgatousu opetajate palgatous,0.007366482504604,0.0046948356807511,36.26760563380337
kohanimenoukogu vonnu mulgi,0.005524861878453,0.0031298904538341,43.348982785602395
psuhhiaatri alaealine psuhhiaatrilist,0.005524861878453,0.0031298904538341,43.348982785602395
liitlaste ohutorje keskmaa,0.003683241252302,0.001564945226917,57.51173708920315
jarviku jarvik maaeluministri,0.003683241252302,0.001564945226917,57.51173708920315
ametiuhingute tooandjate keskliit,0.003683241252302,0.001564945226917,57.51173708920315
kohtutaiturite kohtutaitur kohtutaituri,0.003683241252302,0.001564945226917,57.51173708920315
pensioni pension sammas,0.003683241252302,0.001564945226917,57.51173708920315
tervist tervis tervisega,0.003683241252302,0.001564945226917,57.51173708920315
kusimusena tahtsa tahtsusega,0.003683241252302,0.001564945226917,57.51173708920315
lae korgepalgaliste lagi,0.003683241252302,0.001564945226917,57.51173708920315
kandideerima ametikohale kandidaatide,0.003683241252302,0.001564945226917,57.51173708920315
keeleoskust oskuse keeleoskuse,0.003683241252302,0.001564945226917,57.51173708920315
kaasne lisakulutusi riigieelarvele,0.003683241252302,0.001564945226917,57.51173708920315
muundatud geneetiliselt gmo,0.003683241252302,0.001564945226917,57.51173708920315
riigikontrolli auditi auditit,0.003683241252302,0.001564945226917,57.51173708920315
lahususe voimude lahusus,0.009208103130755,0.0046948356807511,49.014084507042696
joustumine joustuma joustada,0.009208103130755,0.0046948356807511,49.014084507042696
kaitseliit kaitseliidule kaitseliidu,0.007366482504604,0.0031298904538341,57.51173708920179
oigusloome oigusloomes oiguspoliitika,0.007366482504604,0.0031298904538341,57.51173708920179
vaikesaarte saarte pusiasustusega,0.007366482504604,0.0031298904538341,57.51173708920179
oigusriik oigusriigi oigusriigist,0.005524861878453,0.001564945226917,71.67449139280211
tulubaasi omavalitsustele omavalitsuste,0.005524861878453,0.001564945226917,71.67449139280211
tooandja tervisesse maksuvabalt,0.005524861878453,0.001564945226917,71.67449139280211
korruptsiooni korruptsioon korruptsiooniga,0.005524861878453,0.001564945226917,71.67449139280211
hooldekodus hoolduse hooldekodu,0.011049723756906,0.0046948356807511,57.511737089202256
