topic_words3,Reformierakond,Sotsiaaldemokraadid,difference
keskkonnaameti uhendamine uhendamise,0.0048732943469785,0.0090293453724604,-85.2821670428896
teenistuse teenistuses avalikus,0.0048732943469785,0.0090293453724604,-85.2821670428896
kodualuse maamaksu maamaksust,0.0019493177387914,0.0045146726862302,-131.60270880361202
oigusloome oigusloomes oiguspoliitika,0.0019493177387914,0.0045146726862302,-131.60270880361202
toovoimereformi toovoimega toovoimereform,0.0019493177387914,0.0045146726862302,-131.60270880361202
lahususe voimude lahusus,0.0019493177387914,0.0045146726862302,-131.60270880361202
lasteaia lasteaias lasteaiakoha,0.0019493177387914,0.0045146726862302,-131.60270880361202
joustumine joustuma joustada,0.0038986354775828,0.0067720090293453,-73.70203160270901
normitehnika mojude eeskiri,0.0058479532163742,0.0090293453724604,-54.40180586907467
pealinnast tallinnast viljandisse,0.0009746588693957,0.0022573363431151,-131.60270880361202
id mobiil kaardi,0.0009746588693957,0.0022573363431151,-131.60270880361202
eelarvele kulude riigieelarvele,0.0009746588693957,0.0022573363431151,-131.60270880361202
post posti omniva,0.0009746588693957,0.0022573363431151,-131.60270880361202
tulubaasi tasandusfondi tulumaksuosa,0.0009746588693957,0.0022573363431151,-131.60270880361202
hoiu pangad pankade,0.0009746588693957,0.0022573363431151,-131.60270880361202
tapsustatakse ajakohastatakse nouete,0.0009746588693957,0.0022573363431151,-131.60270880361202
haale valimispaeval valimiste,0.0009746588693957,0.0022573363431151,-131.60270880361202
vanemahuvitist vanemahuvitise vanemahuvitis,0.0009746588693957,0.0022573363431151,-131.60270880361202
inflatsiooni inflatsioon hinnatous,0.0009746588693957,0.0022573363431151,-131.60270880361202
kusimusena tahtsa tahtsusega,0.0009746588693957,0.0022573363431151,-131.60270880361202
oiglase virumaale ulemineku,0.0009746588693957,0.0022573363431151,-131.60270880361202
annetused annetusi annetuste,0.0009746588693957,0.0022573363431151,-131.60270880361202
piirilepingu piirileping piirilepingut,0.0009746588693957,0.0022573363431151,-131.60270880361202
teadus teaduse arendustegevuse,0.0107212475633528,0.0135440180586907,-26.32875025651538
ametiuhingute tooandjate keskliit,0.0029239766081871,0.0045146726862302,-54.40180586907467
palgalohe soolist meeste,0.0029239766081871,0.0045146726862302,-54.40180586907467
ajakirjandus ajakirjanduse ajakirjandust,0.0068226120857699,0.0090293453724604,-32.34440503063543
aasia aasias saatkonna,0.0048732943469785,0.0067720090293453,-38.9616252821672
huvigruppe huvigruppide kaasatud,0.0097465886939571,0.0112866817155756,-15.801354401805831
katteallikas katteallikaid katteallikat,0.0019493177387914,0.0022573363431151,-15.801354401806009
kasvavad tuleval kasv,0.0019493177387914,0.0022573363431151,-15.801354401806009
elektri elektrit taastuvenergia,0.0019493177387914,0.0022573363431151,-15.801354401806009
noukogudesse ariuhingute noukogudes,0.0019493177387914,0.0022573363431151,-15.801354401806009
ts parvlaeva parvlaevad,0.0019493177387914,0.0022573363431151,-15.801354401806009
utah jordaania energia,0.0019493177387914,0.0022573363431151,-15.801354401806009
louis freeh kremli,0.0019493177387914,0.0022573363431151,-15.801354401806009
otsevalimise presidenti presidendi,0.0019493177387914,0.0022573363431151,-15.801354401806009
majandusaasta koondaruanne raamatupidamise,0.0019493177387914,0.0022573363431151,-15.801354401806009
jarviku jarvik maaeluministri,0.0653021442495126,0.0654627539503386,-0.24594858663802488
missiooni missioonile missioon,0.0068226120857699,0.0067720090293453,0.7416962270234315
eriarstide eriarstiabi eriarsti,0.0068226120857699,0.0067720090293453,0.7416962270234315
toonadalal istungid taiendaval,0.0116959064327485,0.0112866817155756,3.4988713318282976
untso missioonide liikmesusest,0.0048732943469785,0.0045146726862302,7.358916478555198
vabatahtlike komandode paasteameti,0.0029239766081871,0.0022573363431151,22.799097065462668
pensioni pension sammas,0.0087719298245614,0.0067720090293453,22.799097065463542
pohiseadusega riigikohus oiguskantsler,0.0087719298245614,0.0067720090293453,22.799097065463542
valijate erakonda valijaid,0.0087719298245614,0.0067720090293453,22.799097065463542
kohtla jarve johvi,0.0038986354775828,0.0022573363431151,42.099322799096996
