topic_words3,Eesti Vabaerakonna fraktsioon,Keskerakond,difference
prokuratuur prokuratuuri prokuror,0.0,0.0076335877862595,-inf
katteallikas katteallikaid katteallikat,0.0,0.0038167938931297,-inf
tapsustatakse ajakohastatakse nouete,0.0,0.0190839694656488,-inf
piirikontrolli schengeni valispiiri,0.0,0.0038167938931297,-inf
pensionitous pensionitousu pension,0.0,0.0572519083969465,-inf
palgatousu opetajate palgatous,0.0,0.0038167938931297,-inf
haale valimispaeval valimiste,0.0,0.0038167938931297,-inf
palgalohe soolist meeste,0.0,0.0076335877862595,-inf
teede teehoiuks teedele,0.0,0.0038167938931297,-inf
piirilepingu piirileping piirilepingut,0.0,0.0038167938931297,-inf
kasvavad tuleval kasv,0.0,0.015267175572519,-inf
kohanimenoukogu vonnu mulgi,0.0,0.0038167938931297,-inf
fie fuusilisest isikust,0.0,0.0038167938931297,-inf
hoiu pangad pankade,0.0,0.0038167938931297,-inf
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0114503816793893,-inf
slovakkia ungari portugal,0.0,0.0114503816793893,-inf
samba sammas sambasse,0.0,0.0190839694656488,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0038167938931297,-inf
valijate erakonda valijaid,0.0,0.0038167938931297,-inf
kinnitamise paevakorra paevakord,0.0,0.0038167938931297,-inf
untso missioonide liikmesusest,0.0,0.0076335877862595,-inf
konkurss konkursi konkurssi,0.0,0.0076335877862595,-inf
ulejaagis struktuurses struktuurse,0.0,0.0114503816793893,-inf
kusimusena tahtsa tahtsusega,0.0,0.0038167938931297,-inf
lasteaia lasteaias lasteaiakoha,0.0,0.0114503816793893,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0114503816793893,-inf
liitlaste ohutorje keskmaa,0.0,0.0038167938931297,-inf
lng terminali gaasi,0.0,0.0038167938931297,-inf
loomi loomade loomad,0.0,0.0076335877862595,-inf
ts parvlaeva parvlaevad,0.0,0.0038167938931297,-inf
miili baasvorgu lairiba,0.0,0.0038167938931297,-inf
treenerite spordi sport,0.0,0.0114503816793893,-inf
objekti anu raua,0.0,0.0038167938931297,-inf
hadaolukorda eriolukord eriolukorra,0.0,0.0038167938931297,-inf
kandidaadi kandidaati kandidaat,0.0,0.0076335877862595,-inf
hansson ardo panga,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
iive sundimus iibe,0.0,0.0038167938931297,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0114503816793893,-inf
abielu kooselu samasooliste,0.0,0.0,
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
arengufond arengufondi arengufondis,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
eriarstide eriarstiabi eriarsti,0.0,0.0038167938931297,-inf
domeenide domeeni interneti,0.0,0.0,
erimargistatud kutust kutuse,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
estonian air airi,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
hanke hankija riigihangete,0.0,0.0,
valitsemisalade katteallikaks riigieelarves,0.0,0.0038167938931297,-inf
id mobiil kaardi,0.0,0.0038167938931297,-inf
kaibemaksu kaibemaks kaibemaksumaara,0.0,0.0038167938931297,-inf
