topic_words3,Eesti Keskerakonna fraktsioon,Eesti Reformierakonna fraktsioon,difference
eelarvele kulude riigieelarvele,0.0041033067825247,0.0040823571175008,0.5105556599648103
puude raskusastme puuet,0.000724112961622,0.0007099751508697,1.952431664892656
kutsehariduse kutseharidus kutsehariduses,0.0030573658379596,0.0030173943911963,1.3073818732133142
poolte kokkuleppel huvitise,0.0028159948507522,0.0027511537096201,2.3026015518025433
kaitsekulud kaitsekulutused kaitsekulude,0.0018505109019229,0.0017749378771742,4.083900541746106
sularaha kommertspangad pangad,0.0025746238635449,0.002484913028044,3.484424920127193
voidusamba vabadussoja uurimiskomisjon,0.0011263979403009,0.0010649627263045,5.454130534009004
kandideerima ametikohale kandidaatide,0.0011263979403009,0.0010649627263045,5.454130534009004
elektri elektrit taastuvenergia,0.0165741411215705,0.0163294284700035,1.4764725953039994
suuria euroopasse turgis,0.0010459409445651,0.0009762158324458,6.666257065621567
palgalohe soolist meeste,0.0045055917612036,0.004348597799077,3.4844249201277266
valimisea valimisiga valimisoiguse,0.0033791938209027,0.0031948881789137,5.454130534003088
keeleoskust oskuse keeleoskuse,0.0026550808592807,0.002484913028044,6.409139316487755
piirikontrolli schengeni valispiiri,0.000724112961622,0.000621228257011,14.208377706779357
hiv narkomaania epideemia,0.000724112961622,0.000621228257011,14.208377706779357
koolituse koolitus koolitusele,0.0012068549360366,0.0010649627263045,11.757188498402664
inflatsiooni inflatsioon hinnatous,0.0035401078123742,0.0032836350727724,7.244772001161014
president ilves presidendi,0.0005631989701504,0.0004437344692935,21.211775445007916
uliopilased uliopilastele uliopilaste,0.0082870705607852,0.0078097266595669,5.760104221594464
varude varud varu,0.0004827419744146,0.0003549875754348,26.46432374866971
riigipuha puhade tahtpaevade,0.0023332528763375,0.0020411785587504,12.517902390655927
idapiiri piiririba valjaehitamine,0.0012873119317724,0.0010649627263045,17.272364217254214
lae korgepalgaliste lagi,0.0008045699573577,0.000621228257011,22.787539936093964
slovakkia ungari portugal,0.0063561026631265,0.0057685481008164,9.24394386702823
piirilepingu piirileping piirilepingut,0.0033791938209027,0.0029286474973375,13.332952989504557
korteriuhistu korteriomanike korteriuhistute,0.0026550808592807,0.0022186723464678,16.436731532580506
valitsemisalade katteallikaks riigieelarves,0.0008850269530935,0.000621228257011,29.806854487360525
elamisluba elamisloa viisa,0.0038619357953174,0.0032836350727724,14.9743743343996
koolis kooli opilased,0.0312977713412181,0.0296414625488107,5.292098195586522
etv saateid pbk,0.0059538176844476,0.0051473198438054,13.545894136948672
haalte kandidaatidele haaletamisest,0.0004827419744146,0.0002662406815761,44.84824281150228
humni humn laulda,0.0010459409445651,0.0007099751508697,32.12091422954035
rongi rongide rongid,0.0010459409445651,0.0007099751508697,32.12091422954035
est kavatsuste for,0.0002413709872073,8.874689385871494e-05,63.23216187432866
seksuaalse vangistusega vaarkohtlemise,0.0002413709872073,8.874689385871494e-05,63.23216187432866
kinnitamise paevakorra paevakord,0.000724112961622,0.0004437344692935,38.72026979056655
kauguhendus avaksite ettekandjalt,0.0032987368251669,0.0026624068157614,19.290111431466045
ooteala piiriuletuse piiripunkti,0.0012068549360366,0.0007987220447284,33.81789137379993
mes maale maaelu,0.0008850269530935,0.0005324813631522,39.83444670346156
riigiloivude riigiloivud riigiloivu,0.0041837637782605,0.0033723819666311,19.393585647580505
erimargistatud kutust kutuse,0.0049883337356183,0.0040823571175008,18.161908688036185
efsf esm kreekale,0.0128731193177246,0.0112708555200567,12.446585463259028
haiguspaevade haiguspaevi haiguspaeva,0.002172338884866,0.0015086971955981,30.549639095966214
memorandumi moistmise memorandum,0.0015286829189798,0.0009762158324458,36.14007062384795
riigimetsa majandamise noukokku,0.0015286829189798,0.0009762158324458,36.14007062384795
elatisraha elatisabi elatise,0.0016895969104513,0.0010649627263045,36.96942035600414
haaletamissedel haaletamiskasti sedeli,0.0006436559658862,0.0002662406815761,58.636182108631
iive sundimus iibe,0.0039423927910531,0.0029286474973375,25.71395970528868
tervist tervis tervisega,0.0016091399147155,0.0009762158324458,39.33306709265258
korruptsiooni korruptsioon korruptsiooniga,0.0016091399147155,0.0009762158324458,39.33306709265258
riigipalgaliste riigisektoris koondada,0.0027355378550164,0.001863684771033,31.8713587671472
liibanonis missioonil pikendamine,0.0004022849786788,8.874689385871494e-05,77.93929712459537
riigikontrolor karis riigikontrolori,0.0020918818891302,0.0013312034078807,36.36335709019349
vee monopolide veeteenuse,0.005068790731354,0.0038161164359247,24.713474314112776
reklaami reklaam alkoholireklaam,0.0039423927910531,0.0028399006034788,27.965051835431137
ene ergma aplaus,0.0005631989701504,0.0001774937877174,68.48471017800316
koneleja konsensuslikud repliigi,0.000724112961622,0.0002662406815761,63.23216187433993
teatri teater rahvusooper,0.0013677689275082,0.0007099751508697,48.09246382258939
