topic_words3,Eesti Reformierakonna fraktsioon,Isamaa fraktsioon,difference
tooandja tervisesse maksuvabalt,0.0026624068157614,0.0027014858171994,-1.46780729401132
rail trassi balticu,0.0064785232516861,0.0065285907248986,-0.7728223125458394
teenuseid teenused teenust,0.0020411785587504,0.0020261143628995,0.7380146036867231
riigipuha puhade tahtpaevade,0.0020411785587504,0.0020261143628995,0.7380146036867231
valimisea valimisiga valimisoiguse,0.0031948881789137,0.0031517334533993,1.350742908600735
tootuna arvele ariuhingu,0.0009762158324458,0.0009004952723998,7.756538823621671
tantsupeo laulu traditsiooni,0.0009762158324458,0.0009004952723998,7.756538823621671
koneleja konsensuslikud repliigi,0.0002662406815761,0.0002251238180999,15.44349392166331
hoiu pangad pankade,0.001242456514022,0.0011256190904997,9.4037434874949
psuhhiaatri alaealine psuhhiaatrilist,0.004348597799077,0.0040522287257991,6.815279015704895
poolte kokkuleppel huvitise,0.0027511537096201,0.0024763619990995,9.98823546498772
pollumeestele pollumehi pollumehed,0.003727369542066,0.0033768572714993,9.403743487489535
tooandja tooandjal tootaja,0.0032836350727724,0.0029266096352994,10.872871971475215
lasteaia lasteaias lasteaiakoha,0.004969826056088,0.004502476361999,9.403743487490868
vabatahtlike komandode paasteameti,0.0035498757543485,0.0031517334533993,11.215668617739267
oigusloome oigusloomes oiguspoliitika,0.001863684771033,0.0015758667266996,15.443493921660837
kusija vastaja vastasin,0.000621228257011,0.0004502476361999,27.522994789992694
tootuli lepitaja ametiuhingute,0.000621228257011,0.0004502476361999,27.522994789992694
valitsemisalade katteallikaks riigieelarves,0.000621228257011,0.0004502476361999,27.522994789992694
kolledz kolledzi turi,0.0003549875754348,0.0002251238180999,36.582620441247485
lipud lippude lipp,0.0008874689385871,0.0006753714542998,23.899144529494297
pealinnast tallinnast viljandisse,0.0023961661341853,0.0020261143628995,15.443493921660748
planeeringu keskkonnamoju keskkonnamojude,0.0011537096201632,0.0009004952723998,21.94784054306326
palgalohe soolist meeste,0.004348597799077,0.0038271049076992,11.992207959275698
kaibemaksu kaibemaks kaibemaksumaara,0.004348597799077,0.0038271049076992,11.992207959275698
tarbijakaitse amet ametile,0.0026624068157614,0.0022512381809995,15.443493921657234
kohtutaiturite kohtutaitur kohtutaituri,0.002484913028044,0.0020261143628995,18.463369138743808
rahvuse rahvust rahvusriik,0.0054135605253816,0.004727600180099,12.671149460072703
riigireformi riigireformist riigireform,0.0032836350727724,0.0027014858171994,17.728804896747754
ametiuhingute tooandjate keskliit,0.0055023074192403,0.004727600180099,14.079679307490661
tapsustatakse ajakohastatakse nouete,0.0038161164359247,0.0031517334533993,17.409924295572765
muuseum muuseumi muuseumide,0.0004437344692935,0.0002251238180999,49.26609635299799
president ilves presidendi,0.0004437344692935,0.0002251238180999,49.26609635299799
teadus teaduse arendustegevuse,0.0085197018104366,0.0074290859972985,12.801103106708508
salvestisi salvestised salvestiste,0.0110046148384806,0.009680324178298,12.033957386240008
maantee neljarealiseks ppp,0.0044373446929357,0.0036019810895992,18.825754164791565
iive sundimus iibe,0.0029286474973375,0.0022512381809995,23.13044901968735
valispoliitika valispoliitikas diplomaatia,0.0047923322683706,0.0038271049076992,20.141077592676574
karistuse karistus tingimisi,0.0097621583244586,0.0083295812696983,14.67479841185377
