topic_words3,Eesti Reformierakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
korrata stenogrammist vabandan,0.001242456514022,0.0007633587786259,38.56052344602354
aituma infotundi jahimehed,0.0015974440894568,0.0010178117048346,36.28498727735129
reklaami reklaam alkoholireklaam,0.0028399006034788,0.0020356234096692,28.32061068702133
virumaale virumaa toostusalade,0.0034611288604898,0.0025445292620865,26.482677627714445
memorandumi moistmise memorandum,0.0009762158324458,0.0005089058524173,47.86953504510441
lae korgepalgaliste lagi,0.000621228257011,0.0002544529262086,59.04034896402105
tootuli lepitaja ametiuhingute,0.000621228257011,0.0002544529262086,59.04034896402105
apteeke apteegid apteekide,0.0083422080227192,0.0068702290076335,17.64495695955923
riigikontrolli auditi auditit,0.0036386226482073,0.0026717557251908,26.572332898902353
vaesuses suhtelises vaesuse,0.0021299254526091,0.0013994910941475,34.29389312977306
lisaeelarve lisaeelarves lisaeelarvega,0.0021299254526091,0.0013994910941475,34.29389312977306
uhistranspordi uhistransport uhistransporti,0.0027511537096201,0.0019083969465648,30.632849051959166
kandidaati kandidaat valituks,0.0023074192403265,0.0015267175572519,33.83440986494204
kodakondsust kodakondsuse kodanikuks,0.0101171458998935,0.0083969465648854,17.00281237444849
vagivalla naistevastase perevagivalla,0.002484913028044,0.0016539440203562,33.440567066522135
riigipalgaliste riigisektoris koondada,0.001863684771033,0.0011450381679389,38.56052344602086
kaibemaksu kaibemaks kaibemaksumaara,0.004348597799077,0.0031806615776081,26.85776600716666
voidusamba vabadussoja uurimiskomisjon,0.0010649627263045,0.0005089058524173,52.21374045801198
rahvaalgatuse rahvaalgatus rahvahaaletus,0.001242456514022,0.0006361323155216,48.800436205018265
pealinnast tallinnast viljandisse,0.0023961661341853,0.0015267175572519,36.28498727735395
keskkonnaameti uhendamine uhendamise,0.0031948881789137,0.0021628498727735,32.302798982188655
eelarves riigieelarves reservist,0.0134895278665246,0.0111959287531806,17.002812374447583
ammendumiseni kaheni pikendada,0.0015086971955981,0.0007633587786259,49.40278401437089
tervist tervis tervisega,0.0009762158324458,0.0003816793893129,60.90215128383599
tootuna arvele ariuhingu,0.0009762158324458,0.0003816793893129,60.90215128383599
riigipuha puhade tahtpaevade,0.0020411785587504,0.0011450381679389,43.90308662462695
kutsehariduse kutseharidus kutsehariduses,0.0030173943911963,0.0019083969465648,36.753480017964044
valimisea valimisiga valimisoiguse,0.0031948881789137,0.0020356234096692,36.28498727735329
kaasne lisakulutusi riigieelarvele,0.0050585729499467,0.0035623409669211,29.578143832864274
kusija vastaja vastasin,0.000621228257011,0.0001272264631043,79.52017448201052
koosoleku elektrooniline koosolekut,0.0014199503017394,0.0006361323155216,55.200381679390084
huvihariduse huvitegevuse huviharidus,0.0016861909833155,0.0007633587786259,54.72880674969963
kinnisasja maad maa,0.0047035853745118,0.0030534351145038,35.08281722598209
riigireformi riigireformist riigireform,0.0032836350727724,0.0019083969465648,41.88157623272294
vanemahuvitist vanemahuvitise vanemahuvitis,0.0023074192403265,0.0011450381679389,50.375807398707614
opositsiooni koalitsioonil opositsioonil,0.005591054313099,0.0036895674300254,34.00945110868806
rahapesu terrorismi andmeburoo,0.0014199503017394,0.0005089058524173,64.16030534351066
moisteid moiste moisted,0.009318423855165,0.0067430025445292,27.637949836423253
ametipalkade riigiteenijate korgemate,0.0008874689385871,0.0001272264631043,85.66412213740668
deklaratsiooni deklaratsioone deklaratsioonis,0.0023961661341853,0.0011450381679389,52.21374045801651
oigusloome oigusloomes oiguspoliitika,0.001863684771033,0.0007633587786259,59.0403489640157
tooandja tooandjal tootaja,0.0032836350727724,0.0017811704834605,45.75613781720747
teenistuse teenistuses avalikus,0.0038161164359247,0.0021628498727735,43.323273566483564
hansson ardo panga,0.0013312034078807,0.0003816793893129,71.32824427481442
riigikontrolor karis riigikontrolori,0.0013312034078807,0.0003816793893129,71.32824427481442
tantsupeo laulu traditsiooni,0.0009762158324458,0.0001272264631043,86.96738376127865
eelarvele kulude riigieelarvele,0.0040823571175008,0.0022900763358778,43.90308662462695
koolis kooli opilased,0.0296414625488107,0.0245547073791348,17.160945285002462
poolte kokkuleppel huvitise,0.0027511537096201,0.0012722646310432,53.75523270130611
uuring uuringut uuringu,0.004348597799077,0.0024173027989821,44.41190216544794
lapsetoetust lapsetoetus lapsetoetuse,0.0056798012069577,0.0034351145038167,39.52051526717662
planeeringu keskkonnamoju keskkonnamojude,0.0011537096201632,0.0001272264631043,88.97240164415871
salvestisi salvestised salvestiste,0.0110046148384806,0.0077608142493638,29.476729869490548
tooandja tervisesse maksuvabalt,0.0026624068157614,0.0011450381679389,56.99236641221413
