topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Eesti Vabaerakonna fraktsioon,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
energiaagentuur agentuuri agentuur,0.002896451846488052,0.0006361323155216285,0.0005324813631522897,0.001085383502170767,0.0,0.03626943005181347,0.0021156558533145277,0.00022512381809995497,0.00025759917568263783,0.00040069453719780956
eriarstide eriarstiabi eriarsti,0.02260841580175396,0.0071246819338422395,0.006922257720979766,0.01085383502170767,0.02147239263803681,0.02072538860103627,0.018335684062059238,0.004727600180099055,0.011076764554353425,0.010418057967143048
erimargistatud kutust kutuse,0.004988333735618312,0.0010178117048346056,0.0040823571175008875,0.001447178002894356,0.024539877300613498,0.010362694300518135,0.005171603196991067,0.00765420981539847,0.008500772797527048,0.004674769600641111
eripensioni valjateenitud staazi,0.000724112961622013,0.0027989821882951653,0.0009762158324458644,0.001808972503617945,0.0,0.0,0.0004701457451810061,0.002476361999099505,0.0010303967027305513,0.0017363429945238414
erso teatri kontserdi,0.0005631989701504545,0.0003816793893129771,0.0006212282570110046,0.000723589001447178,0.0,0.0,0.0007052186177715092,0.00022512381809995497,0.0,0.0008013890743956191
est kavatsuste for,0.0002413709872073377,0.0003816793893129771,8.874689385871494e-05,0.002170767004341534,0.0,0.0,0.0011753643629525152,0.00022512381809995497,0.0,0.0005342593829304127
estonian air airi,0.004586048756939416,0.002035623409669211,0.0013312034078807242,0.001808972503617945,0.009202453987730062,0.0,0.005171603196991067,0.0006753714542998649,0.0,0.0016027781487912382
etv saateid pbk,0.005953817684447663,0.0062340966921119595,0.0051473198438054665,0.006874095513748191,0.0,0.0,0.0028208744710860366,0.003376857271499325,0.0020607934054611026,0.00293842660611727
fie fuusilisest isikust,0.0039423927910531825,0.0003816793893129771,0.002751153709620163,0.001808972503617945,0.006134969325153374,0.0051813471502590676,0.0018805829807240243,0.00405222872579919,0.0020607934054611026,0.006411112595164953
haale valimispaeval valimiste,0.00724112961622013,0.0047073791348600505,0.005591054313099041,0.007597684515195369,0.0,0.0,0.008227550540667606,0.00585321927059883,0.0018031942297784646,0.0018699078402564446
haaletamissedel haaletamiskasti sedeli,0.0006436559658862338,0.0003816793893129771,0.00026624068157614486,0.000723589001447178,0.0,0.0,0.0,0.0013507429085997298,0.0,0.0
haalte kandidaatidele haaletamisest,0.0004827419744146754,0.0,0.00026624068157614486,0.000361794500723589,0.0,0.0,0.0004701457451810061,0.00045024763619990995,0.0005151983513652757,0.00026712969146520634
hadaolukorda eriolukord eriolukorra,0.0040228497867889615,0.011195928753180661,0.006123535676251331,0.001808972503617945,0.006134969325153374,0.0,0.0028208744710860366,0.017109410175596577,0.0007727975270479134,0.004541204754908508
haiguspaevade haiguspaevi haiguspaeva,0.002172338884866039,0.0013994910941475826,0.001508697195598154,0.000361794500723589,0.003067484662576687,0.0,0.0018805829807240243,0.0036019810895992796,0.0007727975270479134,0.014692133030586349
hambaravi hammaste hambad,0.004425134765467857,0.0006361323155216285,0.0007099751508697196,0.000361794500723589,0.012269938650306749,0.0,0.0023507287259050304,0.0,0.0,0.0026712969146520634
hanke hankija riigihangete,0.005792903692976104,0.0027989821882951653,0.003549875754348598,0.005065123010130246,0.0,0.0025906735751295338,0.0037611659614480487,0.009004952723998198,0.0015455950540958269,0.003873380526245492
hansson ardo panga,0.000724112961622013,0.0003816793893129771,0.0013312034078807242,0.00361794500723589,0.0,0.0,0.00023507287259050304,0.00022512381809995497,0.0005151983513652757,0.00013356484573260317
hiv narkomaania epideemia,0.000724112961622013,0.0008905852417302799,0.0006212282570110046,0.001447178002894356,0.0,0.0,0.0016455101081335214,0.0,0.00025759917568263783,0.00040069453719780956
hoiu pangad pankade,0.0012068549360366883,0.0013994910941475826,0.0012424565140220093,0.0,0.0,0.0,0.0011753643629525152,0.0011256190904997748,0.0010303967027305513,0.0012020836115934285
hooldekodus hoolduse hooldekodu,0.00313782283369539,0.0015267175572519084,0.001597444089456869,0.001085383502170767,0.003067484662576687,0.0,0.006582040432534086,0.002926609635299415,0.0007727975270479134,0.012688660344597301
hoone rkas hoonet,0.004907876739882533,0.0053435114503816794,0.0029286474973375934,0.008683068017366137,0.0,0.03626943005181347,0.0054066760695815706,0.0015758667266996848,0.0061823802163833074,0.003873380526245492
humni humn laulda,0.0010459409445651299,0.0062340966921119595,0.0007099751508697196,0.0,0.0,0.0,0.00023507287259050304,0.0015758667266996848,0.0,0.0017363429945238414
huvigruppe huvigruppide kaasatud,0.00925255450961461,0.0064885496183206106,0.011448349307774228,0.01447178002894356,0.006134969325153374,0.012953367875647668,0.008932769158439116,0.009004952723998198,0.016743946419371457,0.010685187658608254
huvihariduse huvitegevuse huviharidus,0.0015286829189798052,0.0007633587786259542,0.0016861909833155839,0.001808972503617945,0.003067484662576687,0.0051813471502590676,0.0004701457451810061,0.005628095452498875,0.00025759917568263783,0.012020836115934286
id mobiil kaardi,0.002494166867809156,0.003816793893129771,0.003106141285055023,0.002894356005788712,0.0,0.0025906735751295338,0.0023507287259050304,0.0018009905447996398,0.0015455950540958269,0.0009349539201282223
