topic_words3,Isamaa fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
teenistuse teenistuses avalikus,0.0013507429085997,0.0021628498727735,-60.12298558100163
energiaagentuur agentuuri agentuur,0.0002251238180999,0.0006361323155216,-182.56997455476372
teatri teater rahvusooper,0.0002251238180999,0.0006361323155216,-182.56997455476372
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0002251238180999,0.0006361323155216,-182.56997455476372
uuring uuringut uuringu,0.0015758667266996,0.0024173027989821,-53.395129043986664
piirikontrolli schengeni valispiiri,0.0018009905447996,0.0026717557251908,-48.34923664122243
normitehnika mojude eeskiri,0.0020261143628995,0.0029262086513994,-44.424653661297164
riigiloivude riigiloivud riigiloivu,0.0020261143628995,0.0027989821882951,-38.14532089341575
vaesuses suhtelises vaesuse,0.0009004952723998,0.0013994910941475,-55.4134860050833
kandidaadi kandidaati kandidaat,0.0009004952723998,0.0013994910941475,-55.4134860050833
koneleja konsensuslikud repliigi,0.0002251238180999,0.0005089058524173,-126.05597964381982
memorandumi moistmise memorandum,0.0002251238180999,0.0005089058524173,-126.05597964381982
abipolitseinik abipolitseiniku abipolitseinike,0.0002251238180999,0.0005089058524173,-126.05597964381982
laari laar kandidatuuri,0.0011256190904997,0.0016539440203562,-46.93638676845459
vagivalla naistevastase perevagivalla,0.0011256190904997,0.0016539440203562,-46.93638676845459
idapiiri piiririba valjaehitamine,0.0029266096352994,0.0036895674300254,-26.069680955176228
kandideerima ametikohale kandidaatide,0.0004502476361999,0.0007633587786259,-69.54198473281612
korrata stenogrammist vabandan,0.0004502476361999,0.0007633587786259,-69.54198473281612
lipud lippude lipp,0.0006753714542998,0.0010178117048346,-50.70398642919093
liiklussurmade liikluses hukkunute,0.0009004952723998,0.0012722646310432,-41.28498727735048
nord stream streami,0.0013507429085997,0.0017811704834605,-31.865988125528595
karistuse karistus tingimisi,0.0083295812696983,0.0092875318066157,-11.500584554019214
kolledz kolledzi turi,0.0002251238180999,0.0003816793893129,-69.54198473283158
hansson ardo panga,0.0002251238180999,0.0003816793893129,-69.54198473283158
erso teatri kontserdi,0.0002251238180999,0.0003816793893129,-69.54198473283158
est kavatsuste for,0.0002251238180999,0.0003816793893129,-69.54198473283158
kutsehariduse kutseharidus kutsehariduses,0.0015758667266996,0.0019083969465648,-21.101417666304254
tootuid tootute tootu,0.0011256190904997,0.0013994910941475,-24.330788804072174
hoiu pangad pankade,0.0011256190904997,0.0013994910941475,-24.330788804072174
pensioniiga pensioniea eluiga,0.0011256190904997,0.0013994910941475,-24.330788804072174
deklaratsiooni deklaratsioone deklaratsioonis,0.0009004952723998,0.0011450381679389,-27.156488549617634
pensionifondide pensionifondid fondid,0.0029266096352994,0.0033078880407124,-13.027989821881192
eripensioni valjateenitud staazi,0.0024763619990995,0.0027989821882951,-13.027989821880533
kirik kiriku maarja,0.0011256190904997,0.0012722646310432,-13.027989821885413
apteeke apteegid apteekide,0.0065285907248986,0.0068702290076335,-5.232956041063608
ammendumiseni kaheni pikendada,0.0006753714542998,0.0007633587786259,-13.0279898218858
uliopilased uliopilastele uliopilaste,0.0090049527239981,0.0092875318066157,-3.138040712468484
valimiskomisjon proteste valimiskasti,0.0004502476361999,0.0005089058524173,-13.027989821884816
maavalitsuste maavalitsused maakonna,0.0027014858171994,0.0027989821882951,-3.608990670059243
lasteaia lasteaias lasteaiakoha,0.004502476361999,0.0045801526717557,-1.7251908396963438
eelarvele kulude riigieelarvele,0.0022512381809995,0.0022900763358778,-1.7251908396941091
kodakondsust kodakondsuse kodanikuks,0.0083295812696983,0.0083969465648854,-0.8087476789759475
reklaami reklaam alkoholireklaam,0.0020261143628995,0.0020356234096692,-0.4693242861223306
talupidajate kaubanduskoja kaubanduskoda,0.0011256190904997,0.0010178117048346,9.577608142488124
ooteala piiriuletuse piiripunkti,0.0009004952723998,0.0007633587786259,15.22900763359194
koolis kooli opilased,0.0254389914452949,0.0245547073791348,3.47609718750723
omandireformi tagastatud omandireform,0.0018009905447996,0.0015267175572519,15.229007633586388
jaatmeid liigiti prugi,0.0018009905447996,0.0015267175572519,15.229007633586388
tsernoboli represseeritud oigusvastaselt,0.0006753714542998,0.0005089058524173,24.648006785404533
kantsler kantsleri riigisekretar,0.0029266096352994,0.0025445292620865,13.055392444705468
varude varud varu,0.0022512381809995,0.0019083969465648,15.229007633589717
raamatukogu pimedate raamatukogude,0.0015758667266996,0.0012722646310432,19.265721555797157
tulumaksuvaba maksususteemi tulumaksu,0.0058532192705988,0.0052162849872773,10.881777255823534
teekasutustasu autode autod,0.0020261143628995,0.0016539440203562,18.368674017526832
krimmi agressiooni ukraina,0.0240882485366951,0.0227735368956743,5.457896363938713
korterid kortereid korterit,0.0042773525438991,0.0036895674300254,13.741797241194748
tootuli lepitaja ametiuhingute,0.0004502476361999,0.0002544529262086,43.48600508906869
muugimaksu muugimaks paadimaksu,0.0004502476361999,0.0002544529262086,43.48600508906869
pensioni pension sammas,0.0022512381809995,0.0017811704834605,20.880407124682847
soita jalakaija konniteel,0.0063034669067987,0.005470737913486,13.210650672482272
kaibemaksu kaibemaks kaibemaksumaara,0.0038271049076992,0.0031806615776081,16.891183954498196
pealinnast tallinnast viljandisse,0.0020261143628995,0.0015267175572519,24.648006785408253
riigikontrolor karis riigikontrolori,0.0006753714542998,0.0003816793893129,43.4860050890645
sularaha kommertspangad pangad,0.0006753714542998,0.0003816793893129,43.4860050890645
aardla pria pealtnagija,0.0006753714542998,0.0003816793893129,43.4860050890645
noukogudesse ariuhingute noukogudes,0.0022512381809995,0.0016539440203562,26.53180661577597
volakirjade keskpank volakirju,0.0031517334533993,0.0024173027989821,23.302435478009105
tulubaasi omavalitsustele omavalitsuste,0.0051778478162989,0.0041984732824427,18.914702953866506
ulikooliga kbfi instituudi,0.0015758667266996,0.0010178117048346,35.412577244635195
haale valimispaeval valimiste,0.0058532192705988,0.00470737913486,19.57623801135298
riigireformi riigireformist riigireform,0.0027014858171994,0.0019083969465648,29.357506361324763
terviseandmed isikuandmeid terviseandmeid,0.0164340387212967,0.0143765903307888,12.519432535117945
kusija vastaja vastasin,0.0004502476361999,0.0001272264631043,71.74300254453435
ootuse oigusparase oiguskindluse,0.0013507429085997,0.0007633587786259,43.486005089061294
post posti omniva,0.0006753714542998,0.0002544529262086,62.32400339270967
konkurss konkursi konkurssi,0.0027014858171994,0.0017811704834605,34.067005937235706
palgatousu opetajate palgatous,0.0063034669067987,0.0048346055979643,23.302435478008736
tootuna arvele ariuhingu,0.0009004952723998,0.0003816793893129,57.61450381680151
teede teehoiuks teedele,0.0018009905447996,0.0010178117048346,43.48600508905759
salvestisi salvestised salvestiste,0.009680324178298,0.0077608142493638,19.82898396354831
vee monopolide veeteenuse,0.0011256190904997,0.0005089058524173,54.78880407124406
puude raskusastme puuet,0.0011256190904997,0.0005089058524173,54.78880407124406
kandidaati kandidaat valituks,0.0024763619990995,0.0015267175572519,38.34836918806407
maksuamet tolliamet tolliameti,0.004952723998199,0.0035623409669211,28.073097386074746
valimisea valimisiga valimisoiguse,0.0031517334533993,0.0020356234096692,35.41257724463725
riigipuha puhade tahtpaevade,0.0020261143628995,0.0011450381679389,43.48600508905743
riigimetsa majandamise noukokku,0.0013507429085997,0.0006361323155216,52.905004240883166
untso missioonide liikmesusest,0.0033768572714993,0.0021628498727735,35.95080576760029
oigusloome oigusloomes oiguspoliitika,0.0015758667266996,0.0007633587786259,51.55943293347956
tooandja tooandjal tootaja,0.0029266096352994,0.0017811704834605,39.13877471129553
kusimusena tahtsa tahtsusega,0.0018009905447996,0.0008905852417302,50.55025445292956
domeenide domeeni interneti,0.0009004952723998,0.0002544529262086,71.74300254453435
jahimehed jahimeeste jahti,0.0020261143628995,0.0010178117048346,49.765337856938835
arengufond arengufondi arengufondis,0.004502476361999,0.0029262086513994,35.00890585241789
kinnitamise paevakorra paevakord,0.0011256190904997,0.0003816793893129,66.09160305343971
poolte kokkuleppel huvitise,0.0024763619990995,0.0012722646310432,48.62364099005541
kaitsekulud kaitsekulutused kaitsekulude,0.0038271049076992,0.0022900763358778,40.16165244723954
huvigruppe huvigruppide kaasatud,0.0090049527239981,0.0064885496183206,27.944656488548937
maantee neljarealiseks ppp,0.0036019810895992,0.0020356234096692,43.48600508905759
