,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
kannatama,0.6691917777061462,0.0249547584617606,16,0,9.08198070526123,8.43901538848877,115
tööelu,0.669144332408905,0.0239749028866257,17,-1,8.974610328674316,3.972522020339966,119
sündi,0.6687931418418884,0.0256825895027454,12,11,8.423171043395996,2.7834091186523438,138
nõustamisega,0.668714702129364,0.0248880844753247,12,-1,10.531562805175781,3.1373753547668457,22
paranema,0.668316662311554,0.0263058401076922,16,0,8.096923828125,8.367249488830566,100
taastama,0.6672216057777405,0.0257831550564139,10,0,9.522069931030273,8.131621360778809,77
suvekuudel,0.6669710874557495,0.0277128477433551,12,-1,8.032004356384277,3.9272775650024414,34
efektiivseks,0.666750431060791,0.0254101254796424,4,7,6.32785177230835,4.304933071136475,53
nõuaks,0.6660833358764648,0.0237600215229922,12,0,8.131892204284668,5.96254825592041,155
kartma,0.6654462814331055,0.0254033670864428,16,0,9.082596778869629,8.369524955749512,127
muretsen,0.6645362973213196,0.0247531600645019,12,11,2.7051308155059814,2.972560167312622,48
põhimõttelisest,0.6642141342163086,0.0250107144080574,12,-1,4.4056782722473145,2.787290334701538,24
põhihariduse,0.6641964912414551,0.0257922148758593,17,-1,8.682860374450684,3.7589492797851562,101
vajaduspõhist,0.6633514761924744,0.0265754906785373,17,-1,9.247794151306152,4.322904586791992,192
koolitamist,0.6627025604248047,0.026562074458815,12,-1,9.156843185424805,3.5703330039978027,25
ravi,0.6616992354393005,0.0290349907542533,8,-1,10.128260612487793,4.010096073150635,1114
ilmnema,0.6615848541259766,0.0264292888649295,10,0,8.165372848510742,8.348482131958008,41
rangete,0.6610938906669617,0.0267617148883049,12,-1,7.273471832275391,4.333012104034424,36
toime,0.6604794859886169,0.0269556458086176,0,-1,9.690437316894531,6.561351776123047,2152
sõlmimist,0.6603348851203918,0.0282023809246385,7,11,8.673433303833008,2.672942876815796,159
tahtma,0.659458339214325,0.0292564144147067,10,0,8.857295989990234,8.297908782958984,57
lubama,0.6575382947921753,0.025331829094879,10,0,8.994274139404297,8.365745544433594,87
peatuma,0.6574292778968811,0.0280753050436894,10,0,8.991833686828613,8.5742826461792,86
luba,0.6571540832519531,0.026636543529279,4,-1,8.530787467956543,4.074410438537598,1402
aktiivravi,0.6570855379104614,0.0285573916560901,17,-1,10.127375602722168,4.009675025939941,38
korrektseks,0.656395673751831,0.0262514377809014,19,4,12.453822135925293,6.023280143737793,48
väljuma,0.6562334299087524,0.0289619446734915,13,0,8.059722900390625,8.208552360534668,32
ratifitseerima,0.6560161113739014,0.0280503736555709,13,0,9.359346389770508,8.34583568572998,43
ulatuma,0.6559053659439087,0.0286531674606812,13,0,8.350290298461914,8.291999816894531,21
gümnaasiumiseaduse,0.6558297276496887,0.0282179415238479,2,10,10.124360084533691,2.4560539722442627,472
töödeldud,0.6555594205856323,0.0265164137998281,12,17,9.356078147888184,2.840428113937378,22
paindlikuks,0.6539866924285889,0.0283236401062224,4,7,6.264337062835693,4.269469738006592,63
rasketes,0.6532015800476074,0.0285328902634319,4,1,6.939215183258057,4.8126325607299805,32
ennetavaid,0.6531643867492676,0.0278090170826093,12,5,7.071292400360107,3.4377026557922363,29
elektrooniliseks,0.6524351835250854,0.0312644711036897,12,6,6.30974006652832,3.984398603439331,31
koordineerima,0.6519443988800049,0.0281893152340135,13,0,9.481518745422363,8.049299240112305,46
kindlustama,0.6518377065658569,0.0267097288625322,10,0,9.047056198120117,8.097177505493164,74
tööõnnetus-,0.6516200304031372,0.0287411703809433,2,-1,9.878389358520508,2.8670737743377686,101
aitamist,0.650855541229248,0.0298215348866472,12,-1,8.980920791625977,3.344289779663086,32
ühistranspordiseaduse,0.6507832407951355,0.029048192093427,2,10,10.120477676391602,2.455024480819702,217
tervishoiuteenuse,0.6506796479225159,0.0294375653034174,8,18,10.241540908813477,3.8651411533355713,484
sündima,0.6502824425697327,0.0296537403985264,16,0,8.182403564453125,8.261610984802246,77
tegelemist,0.6496543288230896,0.027778324687439,12,-1,8.35116958618164,5.32602596282959,99
pidurdama,0.6490756869316101,0.0292803658511646,13,0,9.69425106048584,7.918622970581055,28
huvitegevusest,0.648933470249176,0.0279101694656854,12,14,9.095611572265625,4.71186637878418,23
registreeritakse,0.6487135887145996,0.032074782979404,17,8,8.626495361328125,5.76745080947876,74
laiendan,0.6483917236328125,0.0282174944133891,12,0,2.7300500869750977,2.896821975708008,44
analüüsimine,0.6482806205749512,0.0284601664368655,12,-1,9.845721244812012,3.002514362335205,35
väljastamist,0.6481145620346069,0.029445798641316,17,-1,8.993708610534668,2.789767265319824,41
viitama,0.6478421688079834,0.0300523415465443,13,0,8.583109855651855,8.414101600646973,30
vananenud,0.647792398929596,0.0319793403921085,15,2,6.746963024139404,5.474262237548828,133
kollektiivlepingu,0.6476401686668396,0.0296212917958769,2,-1,9.789632797241211,2.8126347064971924,301
taastuma,0.6474192142486572,0.0304329764583334,13,0,8.135276794433594,8.394487380981445,33
omandamist,0.6471976637840271,0.0312351225552597,3,-1,8.746527671813965,3.2438108921051025,90
puuduses,0.6471239328384399,0.0292771305823404,12,14,9.613303184509277,4.639028549194336,33
põgenema,0.6467776298522949,0.0280820686269314,19,0,8.959067344665527,7.804449081420898,24
institutsioonis,0.6466090679168701,0.029669521662669,12,12,8.4060697555542,4.8107590675354,26
raviteenuse,0.6459571719169617,0.0303663703672392,17,18,10.20329761505127,3.847078323364258,36
tänuväärne,0.6459527015686035,0.02852112056343,15,2,6.844066619873047,5.442394733428955,182
spordiga,0.645591676235199,0.0299228497356829,17,-1,10.524121284484863,3.143157482147217,90
vastuoluline,0.6453944444656372,0.0322785313542746,15,2,6.779942512512207,5.457243919372559,103
omaalgatuslikult,0.6452336311340332,0.0294711654988822,12,0,9.936541557312012,7.449033737182617,42
detailne,0.6447216272354126,0.0294536184882483,15,2,6.826771259307861,5.414089679718018,121
käsitlema,0.6442272067070007,0.0307435392220328,6,0,9.808890342712402,8.50922679901123,279
kohtusse,0.6435291171073914,0.0293229209516941,4,-1,10.076491355895996,4.8566765785217285,1135
tähelepanuväärne,0.6432397961616516,0.0298291064614496,15,2,6.745316982269287,5.346590995788574,135
garanteerima,0.6426845788955688,0.0319293797325629,10,0,9.10655689239502,8.059839248657227,42
otsima,0.642279326915741,0.0309981364687216,11,0,9.299880981445312,7.553722858428955,826
täpsemat,0.6422457098960876,0.0305731180286432,7,9,8.5537109375,1.7455425262451172,183
õpetajakutse,0.6419233083724976,0.03080422113232,12,-1,9.177013397216797,3.51751971244812,20
lähtetoetust,0.6417776346206665,0.0295867156460787,17,-1,9.125284194946289,4.112393856048584,61
täiendavaks,0.6410571336746216,0.0326954248401047,17,15,9.373054504394531,3.5946478843688965,95
hindamisega,0.640881359577179,0.0303819982426427,17,-1,10.299495697021484,3.048194408416748,72
väheoluline,0.6408186554908752,0.031148284630997,15,2,6.734368801116943,5.317648410797119,41
