,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
firmalt,-0.7401098012924194,0.9841410672237,0,-1,9.341322898864746,11.862168312072754,21
idanaaber,-0.7398883700370789,0.9855515359713288,1,-1,9.183563232421875,10.050128936767578,26
auasi,-0.7395780086517334,0.9828739651320963,4,-1,7.0591959953308105,10.077282905578613,22
maht,-0.739498496055603,0.9845510645229896,7,18,9.17855453491211,11.105833053588867,1343
viive,-0.7389765977859497,0.9843881780864936,1,9,6.833511829376221,9.66060733795166,25
moona,-0.7386215329170227,0.9832150870737878,4,5,10.073103904724121,9.720616340637207,21
relvana,-0.7383684515953064,0.984374866793991,3,5,10.201485633850098,9.620918273925781,21
1994.,-0.7381942272186279,0.9846718881975108,11,0,-4.730015754699707,8.792561531066895,169
meeskond,-0.7378211617469788,0.9840083194869712,9,-1,9.011737823486328,9.620914459228516,216
reservi,-0.7374976277351379,0.9846451559337835,0,18,10.088787078857422,10.65719223022461,347
käibega,-0.7374719381332397,0.9844193149828848,10,2,12.323883056640625,11.447731971740723,31
uskus,-0.7373308539390564,0.9847322930643824,12,28,6.736767292022705,11.83243179321289,25
ilmekalt,-0.7372585535049438,0.9844213391339312,4,6,10.181214332580566,13.584983825683594,97
reklaam,-0.7369787693023682,0.9843859446378184,0,-1,11.454670906066895,11.120739936828613,249
päevaleht,-0.7368919253349304,0.9841409062137516,1,14,8.68144416809082,13.313769340515137,66
reaga,-0.7350252866744995,0.982937318139946,13,2,12.376363754272461,11.333517074584961,21
rahakott,-0.7348921298980713,0.9840129358212384,0,18,10.185437202453613,10.934242248535156,161
kingitus,-0.7344168424606323,0.9835252875199708,1,-1,7.258772373199463,11.273993492126465,118
lauseosa,-0.7336830496788025,0.9837205929609192,1,28,8.046527862548828,10.479284286499023,31
kohe-kohe,-0.7334416508674622,0.9844757013866956,19,-1,8.104804039001465,10.644631385803223,229
müüs,-0.7334092259407043,0.9837632696277272,0,22,7.243750095367432,8.662714004516602,39
päevakord,-0.7327172160148621,0.9831649910528112,1,13,7.843905925750732,13.215204238891602,783
arvutuskäik,-0.7325002551078796,0.9838949098273784,1,-1,8.08677864074707,11.451355934143066,22
rehve,-0.7321653962135315,0.9834193544599524,4,23,7.148674488067627,9.431110382080078,28
