,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
palge,-0.8453561067581177,0.993029305653676,1,-1,2.360992193222046,3.137167453765869,29
siim,-0.8374921679496765,0.9927581815157056,0,10,-0.7358847260475159,2.279481887817383,1395
väljakul,-0.8342404365539551,0.9929944661723004,1,23,0.8597869873046875,0.7636542320251465,61
pretsedenditult,-0.8306590914726257,0.9925740775440076,1,-1,1.945366382598877,-1.358368992805481,39
autoritega,-0.8302645087242126,0.9922304779207968,1,10,2.7858211994171143,0.1973467469215393,21
usutavalt,-0.8224989175796509,0.9922471887128208,1,-1,1.4286494255065918,1.2195771932601929,22
oskuslikult,-0.8206470012664795,0.9913691506687268,1,19,2.8495075702667236,1.1014001369476318,38
varemgi,-0.8193919658660889,0.9922665973101727,3,11,1.1585252285003662,1.1817495822906494,215
hardi,-0.8116308450698853,0.991492970942942,6,10,-0.4622116982936859,2.577108144760132,170
demagoogiat,-0.8075940608978271,0.9914154517774412,1,19,2.391292095184326,0.6965345740318298,32
kannan,-0.8030032515525818,0.9906413097100892,1,1,2.452373504638672,3.166714906692505,117
terras,-0.802306056022644,0.9898773883861548,16,13,-0.5348720550537109,1.5745651721954346,31
valeväiteid,-0.8022381663322449,0.990457971272128,1,4,3.370094060897827,0.5035610198974609,33
riho,-0.8018201589584351,0.9910231336621058,9,10,-0.48002538084983826,2.2993438243865967,398
sinagi,-0.8014867901802063,0.9898632314191717,1,10,0.8717190027236938,1.454480767250061,26
opositsioonis,-0.8005304932594299,0.9908931396334748,2,15,1.3215876817703247,0.6526330709457397,568
maalida,-0.7958402037620544,0.9899684313550212,1,20,2.6616263389587402,1.2189668416976929,39
möödaminnes,-0.795697033405304,0.9898275344358451,1,11,1.1491584777832031,1.2001078128814697,57
ardo,-0.7945898175239563,0.9898788076286869,3,13,-0.3720967769622803,1.4238654375076294,117
kosta,-0.7932823896408081,0.9896002689309192,1,-1,1.7221707105636597,1.7941405773162842,52
raivo,-0.792241632938385,0.9894139975693172,0,10,-0.7175735235214233,2.4272947311401367,1261
vasturepliigi,-0.7918522953987122,0.9912927095006512,1,6,-0.07049412280321121,1.6190756559371948,46
ironiseerida,-0.7914095520973206,0.989271984374442,1,-1,1.9225423336029053,0.1956080198287964,20
mainekahju,-0.7904199957847595,0.9886752881609784,1,23,1.6367861032485962,-0.7880274653434753,71
kiites,-0.790156900882721,0.9897099513716976,1,17,2.1652884483337402,2.142577886581421,31
televiisorist,-0.7890675663948059,0.9888973125848066,1,19,2.0008578300476074,0.8228623867034912,38
senikaua,-0.7883517742156982,0.9879426294526316,1,-1,1.1426681280136108,2.3455536365509033,158
edu,-0.7841192483901978,0.9891977515670995,4,-1,1.9145634174346924,-0.28733140230178833,902
jätkates,-0.7797467112541199,0.9886315714444646,1,5,2.7221102714538574,2.7284646034240723,107
rahvaesindaja,-0.7796528339385986,0.9887778830414108,6,10,-0.40738150477409363,2.0576183795928955,65
parlamentaarse,-0.7753419280052185,0.9878605912967692,4,23,0.663351833820343,-0.21468403935432434,576
liigagi,-0.7729284763336182,0.9877172372673172,1,14,2.1622021198272705,-1.8764405250549316,52
vastasseisu,-0.7647184133529663,0.9865237294584214,1,23,2.046844959259033,-0.020147182047367096,73
liitlassuhteid,-0.7639464735984802,0.9858083411036966,1,23,2.5258498191833496,0.4303739070892334,50
volmer,-0.7632949352264404,0.987117674139152,6,10,-0.5161994695663452,2.609750509262085,127
ekre-ga,-0.7607003450393677,0.9858880449109954,1,15,2.9061357975006104,-0.031206466257572174,37
ennist,-0.7601997256278992,0.987266547043396,3,11,1.032056450843811,1.3042398691177368,255
kiidaks,-0.7597456574440002,0.9866173953286338,1,17,2.2052054405212402,2.0873916149139404,22
8.,-0.759661853313446,0.9865713675350656,19,22,1.0680475234985352,2.435028076171875,1237
suveräänsus,-0.7591152787208557,0.9861378935655098,4,23,0.9475867748260498,-0.3444809317588806,102
asutamiskoosolek,-0.7553284764289856,0.9850166257667554,6,10,-0.35665738582611084,2.6623446941375732,80
brüsselile,-0.7534118294715881,0.9850485648041416,1,-1,1.6263322830200195,0.20701631903648376,30
vähim,-0.7504530549049377,0.985573919795123,1,23,1.075979471206665,-0.14055819809436798,47
teerulli,-0.7492837905883789,0.9854194593103512,1,-1,2.1119956970214844,0.36019766330718994,69
kaotusi,-0.7474316954612732,0.9847083686653488,1,4,3.511671304702759,0.747377872467041,31
edasimineku,-0.7465944290161133,0.9850413602083916,1,23,2.2137651443481445,-0.6547276377677917,33
patriotism,-0.7458329200744629,0.9856476477341412,1,23,1.0547065734863281,-0.22931765019893646,20
mäletate,-0.7451550960540771,0.9847974262445416,3,2,1.6709532737731934,2.4855868816375732,707
kiita,-0.7443123459815979,0.985923833034245,10,17,2.4051733016967773,1.8995689153671265,710
valimisplatvormis,-0.7433239817619324,0.985144156344382,1,15,1.2603155374526978,0.6185663342475891,20
omavalitsusreform,-0.7428017854690552,0.9853294502880966,1,23,1.0761996507644653,-0.6869843602180481,40
protseduurireegleid,-0.7427871227264404,0.9855030227737028,1,4,3.5895018577575684,0.7449696660041809,47
viidik,-0.7427394986152649,0.9848201636587132,16,5,-1.622165560722351,1.722333550453186,32
umbusaldust,-0.7427284717559814,0.98432311848868,5,-1,2.104825735092163,0.12463965266942978,109
ettekannetes,-0.7409611940383911,0.9852433711365296,3,11,1.0974534749984741,1.0818487405776978,63
valgeks,-0.7403228282928467,0.9851241676053112,1,-1,2.454806089401245,0.8237751722335815,29
sirgu,-0.7392916083335876,0.9853364202793832,1,-1,2.3095030784606934,0.638528048992157,30
vaimult,-0.7392242550849915,0.9839738325661864,1,24,1.7860521078109741,-1.250224232673645,28
nõrkust,-0.7388110756874084,0.9847967046679044,1,23,2.1204299926757812,0.32210132479667664,30
uhkus,-0.7383178472518921,0.983876897208934,1,23,1.0953391790390015,-0.4418891370296478,36
kristina,-0.7334175109863281,0.9834406347615468,9,10,-0.45275717973709106,2.565763235092163,284
jaak,-0.7315863370895386,0.9827245032601526,0,10,-0.7302377820014954,2.2421681880950928,3068
majandamise,-0.7304120063781738,0.9838723721409032,1,23,2.242588520050049,-0.5088587403297424,515
iseseisvus,-0.7284257411956787,0.9831417215443,4,23,0.947155237197876,-0.648797869682312,158
kokale,-0.7280442714691162,0.9822947602980252,16,5,-1.5917994976043701,1.6629341840744019,26
edulugu,-0.727108895778656,0.983160195773678,4,23,1.2835667133331299,-0.7623711824417114,119
ühtaegu,-0.7269079089164734,0.9837402936206932,1,23,0.8552103042602539,0.340323269367218,41
ärihuvid,-0.726567804813385,0.98222062589069,1,23,1.0634009838104248,-0.12935833632946014,27
määrida,-0.7257497906684875,0.9836171476860022,1,20,2.784580945968628,1.3172721862792969,37
latt,-0.7249686121940613,0.983090818013262,1,23,1.5036659240722656,-0.4101333022117615,51
taastanud,-0.7245287299156189,0.9828515978098312,4,23,0.6579832434654236,-0.4945310056209564,63
otsesõnu,-0.7236206531524658,0.9823621383405312,16,11,0.7541665434837341,1.2192200422286987,88
