,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
teravam,0.6336859464645386,0.0321887267771301,1,4,12.697656631469727,1.1815510988235474,56
kergemat,0.6335211992263794,0.0329852367907641,1,4,11.937171936035156,1.2262415885925293,24
719,0.6329509615898132,0.0318370381058131,11,0,7.45853853225708,-5.816745281219482,23
kasvavas,0.6328359842300415,0.0332786912640814,14,5,11.218326568603516,2.641902446746826,23
kõrgemasse,0.631991446018219,0.0330123982679679,15,3,11.63068675994873,0.6274713277816772,24
tudengi,0.6315382719039917,0.0323009522649757,9,7,9.206500053405762,1.2346731424331665,57
noorsootööd,0.6305781602859497,0.0332883691519774,3,7,8.95861530303955,1.25640869140625,31
lapsehoiu,0.6303672194480896,0.0318016103521926,9,7,10.581979751586914,1.378199577331543,37
seksuaalse,0.6300709247589111,0.0334938376639664,6,6,10.440762519836426,2.040804862976074,204
õpilasel,0.6298474669456482,0.0333715884180194,9,7,9.022811889648438,1.4388223886489868,41
täiskasvanuid,0.6297274827957153,0.0304011426552223,2,6,10.186427116394043,1.017037034034729,43
ilmneb,0.627674400806427,0.0324952597672348,16,5,10.823726654052734,2.776242971420288,178
134,0.6274057626724243,0.0345535292102304,11,0,7.1586432456970215,-5.511824607849121,73
täpsem,0.6271101832389832,0.0341470319467306,1,4,12.67850399017334,1.2527673244476318,230
navalnõi,0.626966118812561,0.0329780523933072,3,6,10.515240669250488,1.7237406969070435,25
lahku,0.6261518597602844,0.0337427135963422,4,2,10.842748641967773,0.5285870432853699,278
magistriõppes,0.6256358623504639,0.0356921905003919,9,7,9.289527893066406,1.1131618022918701,28
pedagoogi,0.6254287958145142,0.0335119388301184,3,7,9.590020179748535,1.5094664096832275,20
õppevara,0.6245265007019043,0.0328580561705417,9,7,9.257299423217773,1.0570752620697021,68
töölepingut,0.6241254210472107,0.0332724791931932,9,7,9.561830520629883,1.2643769979476929,42
emo-sse,0.6237783432006836,0.034308051054083,4,2,10.848775863647461,0.48589301109313965,43
kasvas,0.6237519383430481,0.0329241448110299,14,5,11.227313995361328,2.6492230892181396,639
doktoritööd,0.6234195232391357,0.0317356789879621,3,7,9.152510643005371,1.0208454132080078,28
133,0.6232444047927856,0.0371288532527745,11,0,7.11264705657959,-5.520814418792725,86
13,0.6226481199264526,0.0356585620254173,17,0,7.159797668457031,-5.483220100402832,1335
süvenema,0.6224201321601868,0.034519535938233,7,1,11.675180435180664,1.9502017498016357,44
416,0.6210860013961792,0.0356252305588616,11,0,7.297597408294678,-5.595407485961914,27
muretsema,0.620796799659729,0.0358654873292831,7,1,11.72254467010498,1.7638702392578125,303
konkreetsema,0.6203112602233887,0.0343420000906826,7,1,12.25783920288086,1.5016448497772217,30
erituge,0.6201697587966919,0.0358101699920191,3,6,9.541614532470703,1.4568324089050293,45
vähema,0.6192015409469604,0.0377194050635615,5,1,11.780522346496582,1.5838463306427002,57
ravi,0.6184239387512207,0.0358820209657216,18,6,10.235182762145996,1.477632999420166,1114
alliku,0.6177167296409607,0.0371796660452654,6,6,10.432087898254395,2.201397180557251,111
lühema,0.6175194978713989,0.0357118799814847,5,1,12.168128967285156,1.431613802909851,86
perevägivalla,0.6168792843818665,0.0356843471475634,2,6,10.58182144165039,1.7202630043029785,173
sügava,0.6162143349647522,0.0372796579111041,19,6,11.128353118896484,1.5746984481811523,357
konkreetsem,0.6152503490447998,0.0375665140819182,1,4,12.604312896728516,1.289505124092102,107
477,0.6147325038909912,0.0363855809504588,11,0,7.472864627838135,-5.712797164916992,24
õppimist,0.614081621170044,0.035155136087524,0,7,9.325486183166504,1.146436095237732,137
