topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
kontrollin haaled kandidaadi,0.0,0.00043346337234503684,0.0,0.0,0.0,0.0
koolilouna koolitoidu koolitoit,0.0,0.0,0.0,0.0,0.002657218777679362,0.0
koolis kooli opilased,0.03217821782178218,0.01517121803207629,0.03676470588235294,0.02040816326530612,0.029229406554472984,0.041916167664670656
koolituse koolitus koolitusele,0.0,0.0008669267446900737,0.0,0.0,0.0008857395925597874,0.0
koosoleku elektrooniline koosolekut,0.0024752475247524753,0.00043346337234503684,0.0024509803921568627,0.0,0.0,0.0
korrata stenogrammist vabandan,0.0,0.00043346337234503684,0.0012254901960784314,0.0,0.0,0.0
korruptsiooni korruptsioon korruptsiooniga,0.0,0.008669267446900737,0.0012254901960784314,0.0,0.005314437555358724,0.022754491017964073
korterelamute kortermajade kredexi,0.0024752475247524753,0.00043346337234503684,0.0012254901960784314,0.0,0.002657218777679362,0.004790419161676647
korterid kortereid korterit,0.0,0.002600780234070221,0.0,0.02040816326530612,0.001771479185119575,0.0011976047904191617
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,0.0012254901960784314,0.0,0.002657218777679362,0.0011976047904191617
krimmi agressiooni ukraina,0.009900990099009901,0.014737754659731253,0.00980392156862745,0.0,0.011514614703277236,0.0023952095808383233
kusija vastaja vastasin,0.0,0.0,0.0012254901960784314,0.0,0.0,0.0
kusimusena tahtsa tahtsusega,0.0,0.0013003901170351106,0.004901960784313725,0.0,0.001771479185119575,0.0023952095808383233
kutsehariduse kutseharidus kutsehariduses,0.007425742574257425,0.0013003901170351106,0.004901960784313725,0.0,0.001771479185119575,0.0011976047904191617
laari laar kandidatuuri,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0
lae korgepalgaliste lagi,0.0,0.0,0.0,0.0,0.0008857395925597874,0.0
lahususe voimude lahusus,0.0,0.004768097095795405,0.0024509803921568627,0.0,0.00354295837023915,0.0011976047904191617
lapsetoetust lapsetoetus lapsetoetuse,0.0049504950495049506,0.0013003901170351106,0.011029411764705883,0.0,0.0008857395925597874,0.00718562874251497
lasteaia lasteaias lasteaiakoha,0.0024752475247524753,0.003034243606415258,0.0,0.0,0.00354295837023915,0.013173652694610778
leping ratifitseerida lepinguga,0.0024752475247524753,0.002600780234070221,0.0024509803921568627,0.0,0.0008857395925597874,0.0
liibanonis missioonil pikendamine,0.0,0.0013003901170351106,0.0,0.0,0.0,0.0
liiklussurmade liikluses hukkunute,0.0024752475247524753,0.0,0.0024509803921568627,0.0,0.0,0.0
liitlaste ohutorje keskmaa,0.0049504950495049506,0.013437364542696142,0.007352941176470588,0.0,0.013286093888396812,0.0023952095808383233
lipu laevu kaubalaeva,0.0,0.003034243606415258,0.00980392156862745,0.0,0.00974313551815766,0.0
lipud lippude lipp,0.0,0.0017338534893801473,0.0,0.0,0.0008857395925597874,0.0
lisaeelarve lisaeelarves lisaeelarvega,0.017326732673267328,0.002600780234070221,0.00857843137254902,0.0,0.0070859167404783,0.0023952095808383233
lng terminali gaasi,0.0024752475247524753,0.00043346337234503684,0.0024509803921568627,0.0,0.00354295837023915,0.0
loomi loomade loomad,0.007425742574257425,0.0164716081491114,0.0024509803921568627,0.0,0.00974313551815766,0.008383233532934131
louis freeh kremli,0.0,0.002600780234070221,0.003676470588235294,0.0,0.0008857395925597874,0.0
maantee neljarealiseks ppp,0.0024752475247524753,0.002167316861725184,0.003676470588235294,0.02040816326530612,0.002657218777679362,0.0023952095808383233
maavalitsuste maavalitsused maakonna,0.0,0.00043346337234503684,0.0024509803921568627,0.0,0.001771479185119575,0.0011976047904191617
magustatud suhkrut joogi,0.0,0.0,0.0,0.0,0.0008857395925597874,0.0011976047904191617
majandusaasta koondaruanne raamatupidamise,0.0,0.0008669267446900737,0.00857843137254902,0.04081632653061224,0.001771479185119575,0.0023952095808383233
maksuamet tolliamet tolliameti,0.007425742574257425,0.0017338534893801473,0.006127450980392157,0.02040816326530612,0.001771479185119575,0.0011976047904191617
memorandumi moistmise memorandum,0.0,0.0,0.0012254901960784314,0.0,0.0008857395925597874,0.0
mes maale maaelu,0.0,0.0008669267446900737,0.0,0.02040816326530612,0.001771479185119575,0.0
metsa metsade mets,0.0,0.007802340702210663,0.00980392156862745,0.0,0.010628875110717449,0.02035928143712575
