topic_words3,EKRE,Fraktsioonitud,difference
reklaami reklaam alkoholireklaam,0.0017338534893801,0.0,100.0
pensioni pension sammas,0.0017338534893801,0.0,100.0
kaasne lisakulutusi riigieelarvele,0.0017338534893801,0.0,100.0
pensionifondide pensionifondid fondid,0.0017338534893801,0.0,100.0
piirikontrolli schengeni valispiiri,0.0017338534893801,0.0,100.0
volitust kaasuses jarvik,0.0017338534893801,0.0,100.0
untso missioonide liikmesusest,0.0017338534893801,0.0,100.0
riigireformi riigireformist riigireform,0.0017338534893801,0.0,100.0
muundatud geneetiliselt gmo,0.0017338534893801,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0017338534893801,0.0,100.0
katteallikas katteallikaid katteallikat,0.0017338534893801,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0017338534893801,0.0,100.0
president ilves presidendi,0.0017338534893801,0.0,100.0
volakirjade keskpank volakirju,0.0017338534893801,0.0,100.0
eripensioni valjateenitud staazi,0.0017338534893801,0.0,100.0
liibanonis missioonil pikendamine,0.0013003901170351,0.0,100.0
kusimusena tahtsa tahtsusega,0.0013003901170351,0.0,100.0
energiaagentuur agentuuri agentuur,0.0013003901170351,0.0,100.0
hanke hankija riigihangete,0.0013003901170351,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0013003901170351,0.0,100.0
pollumeestele pollumehi pollumehed,0.0013003901170351,0.0,100.0
lapsetoetust lapsetoetus lapsetoetuse,0.0013003901170351,0.0,100.0
veb fondi uurimiskomisjon,0.0013003901170351,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0013003901170351,0.0,100.0
muuseum muuseumi muuseumide,0.0013003901170351,0.0,100.0
ts parvlaeva parvlaevad,0.0013003901170351,0.0,100.0
ootuse oigusparase oiguskindluse,0.0013003901170351,0.0,100.0
suuria euroopasse turgis,0.0013003901170351,0.0,100.0
teede teehoiuks teedele,0.0013003901170351,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0013003901170351,0.0,100.0
poolte kokkuleppel huvitise,0.0013003901170351,0.0,100.0
operatsioonil sojalisel panustamisel,0.0013003901170351,0.0,100.0
keskkonnaameti uhendamine uhendamise,0.0013003901170351,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0013003901170351,0.0,100.0
haaletamissedel haaletamiskasti sedeli,0.0013003901170351,0.0,100.0
inimarengu aruanne aruandes,0.0013003901170351,0.0,100.0
jaatmeid liigiti prugi,0.0013003901170351,0.0,100.0
kutsehariduse kutseharidus kutsehariduses,0.0013003901170351,0.0,100.0
kinnitamise paevakorra paevakord,0.00086692674469,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.00086692674469,0.0,100.0
koolituse koolitus koolitusele,0.00086692674469,0.0,100.0
kandideerima ametikohale kandidaatide,0.00086692674469,0.0,100.0
kandidaati kandidaat valituks,0.00086692674469,0.0,100.0
tootuli lepitaja ametiuhingute,0.00086692674469,0.0,100.0
elatisraha elatisabi elatise,0.00086692674469,0.0,100.0
riigikontrolli auditi auditit,0.00086692674469,0.0,100.0
utah jordaania energia,0.00086692674469,0.0,100.0
uuring uuringut uuringu,0.00086692674469,0.0,100.0
vaikesaarte saarte pusiasustusega,0.00086692674469,0.0,100.0
voidusamba vabadussoja uurimiskomisjon,0.00086692674469,0.0,100.0
pensioniiga pensioniea eluiga,0.00086692674469,0.0,100.0
riigikontrolor karis riigikontrolori,0.00086692674469,0.0,100.0
tootuna arvele ariuhingu,0.00086692674469,0.0,100.0
riigipuha puhade tahtpaevade,0.00086692674469,0.0,100.0
samba sammas sambasse,0.00086692674469,0.0,100.0
teatri teater rahvusooper,0.00086692674469,0.0,100.0
puude raskusastme puuet,0.00086692674469,0.0,100.0
omandireformi tagastatud omandireform,0.00086692674469,0.0,100.0
jahimehed jahimeeste jahti,0.00086692674469,0.0,100.0
apteeke apteegid apteekide,0.00086692674469,0.0,100.0
relva relvade relvaluba,0.000433463372345,0.0,100.0
planeeringu keskkonnamoju keskkonnamojude,0.000433463372345,0.0,100.0
kirik kiriku maarja,0.000433463372345,0.0,100.0
kontrollin haaled kandidaadi,0.000433463372345,0.0,100.0
rahapesu terrorismi andmeburoo,0.000433463372345,0.0,100.0
koosoleku elektrooniline koosolekut,0.000433463372345,0.0,100.0
korrata stenogrammist vabandan,0.000433463372345,0.0,100.0
pealinnast tallinnast viljandisse,0.000433463372345,0.0,100.0
keeleoskust oskuse keeleoskuse,0.000433463372345,0.0,100.0
korterelamute kortermajade kredexi,0.000433463372345,0.0,100.0
post posti omniva,0.000433463372345,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.000433463372345,0.0,100.0
estonian air airi,0.000433463372345,0.0,100.0
ulikooliga kbfi instituudi,0.000433463372345,0.0,100.0
