topic_words3,Isamaa fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,difference
estonian air airi,0.0008857395925597,0.000433463372345,51.06198526224467
tooandja tervisesse maksuvabalt,0.0008857395925597,0.000433463372345,51.06198526224467
planeeringu keskkonnamoju keskkonnamojude,0.0008857395925597,0.000433463372345,51.06198526224467
kirik kiriku maarja,0.0008857395925597,0.000433463372345,51.06198526224467
rahapesu terrorismi andmeburoo,0.0008857395925597,0.000433463372345,51.06198526224467
aituma infotundi jahimehed,0.0008857395925597,0.000433463372345,51.06198526224467
erso teatri kontserdi,0.0008857395925597,0.000433463372345,51.06198526224467
ulikooliga kbfi instituudi,0.0008857395925597,0.000433463372345,51.06198526224467
soita jalakaija konniteel,0.0062001771479185,0.0047680970957954,23.097405412099754
riigiabi komisjonilt loa,0.0026572187776793,0.0017338534893801,34.74931368299404
tapsustatakse ajakohastatakse nouete,0.0026572187776793,0.0017338534893801,34.74931368299404
palgatousu opetajate palgatous,0.0053144375553587,0.0039011703511053,26.592977893368264
toonadalal istungid taiendaval,0.0221434898139946,0.0190723883831816,13.869094061551559
riigikontrolor karis riigikontrolori,0.0017714791851195,0.00086692674469,51.06198526224743
mes maale maaelu,0.0017714791851195,0.00086692674469,51.06198526224743
puude raskusastme puuet,0.0017714791851195,0.00086692674469,51.06198526224743
uuring uuringut uuringu,0.0017714791851195,0.00086692674469,51.06198526224743
majandusaasta koondaruanne raamatupidamise,0.0017714791851195,0.00086692674469,51.06198526224743
normitehnika mojude eeskiri,0.0035429583702391,0.0021673168617251,38.82748157780819
metsa metsade mets,0.0106288751107174,0.0078023407022106,26.592977893368264
teede teehoiuks teedele,0.0026572187776793,0.0013003901170351,51.06198526224459
karistuse karistus tingimisi,0.0106288751107174,0.0073688773298656,30.67114578818082
tervist tervis tervisega,0.0017714791851195,0.000433463372345,75.53099263112372
keeleoskust oskuse keeleoskuse,0.0017714791851195,0.000433463372345,75.53099263112372
maavalitsuste maavalitsused maakonna,0.0017714791851195,0.000433463372345,75.53099263112372
muugimaksu muugimaks paadimaksu,0.0017714791851195,0.000433463372345,75.53099263112372
toovoimereformi toovoimega toovoimereform,0.0017714791851195,0.000433463372345,75.53099263112372
kantsler kantsleri riigisekretar,0.0044286979627989,0.0021673168617251,51.061985262246836
kaitsekulud kaitsekulutused kaitsekulude,0.007971656333038,0.0047680970957954,40.18687087607706
samba sammas sambasse,0.0026572187776793,0.00086692674469,67.37465684149892
miili baasvorgu lairiba,0.0070859167404783,0.0039011703511053,44.94473342002646
kodakondsust kodakondsuse kodanikuks,0.0115146147032772,0.0073688773298656,36.004134573705464
inflatsiooni inflatsioon hinnatous,0.0044286979627989,0.0017338534893801,60.84958820979701
korterelamute kortermajade kredexi,0.0026572187776793,0.000433463372345,83.68732842074945
tulubaasi tasandusfondi tulumaksuosa,0.0026572187776793,0.000433463372345,83.68732842074945
hooldekodus hoolduse hooldekodu,0.0026572187776793,0.000433463372345,83.68732842074945
virumaale virumaa toostusalade,0.0062001771479185,0.0026007802340702,58.05313022478198
riigipalgaliste riigisektoris koondada,0.0044286979627989,0.0013003901170351,70.6371911573472
katteallikas katteallikaid katteallikat,0.0053144375553587,0.0017338534893801,67.37465684149763
piirikontrolli schengeni valispiiri,0.0053144375553587,0.0017338534893801,67.37465684149763
lng terminali gaasi,0.0035429583702391,0.000433463372345,87.7654963155622
vanemahuvitist vanemahuvitise vanemahuvitis,0.0035429583702391,0.000433463372345,87.7654963155622
annetused annetusi annetuste,0.0035429583702391,0.000433463372345,87.7654963155622
lisaeelarve lisaeelarves lisaeelarvega,0.0070859167404783,0.0026007802340702,63.29648894668431
joustumine joustuma joustada,0.0115146147032772,0.0056350238404854,51.06198526224587
valispoliitika valispoliitikas diplomaatia,0.0062001771479185,0.0017338534893801,72.03542014985518
borsile ipo enefit,0.0070859167404783,0.0021673168617251,69.41374078890453
opositsioonis koalitsiooni opositsiooni,0.0354295837023915,0.023840485478977,32.710229735587426
piirilepingu piirileping piirilepingut,0.0159433126660761,0.0082358040745557,48.343206665703185
varude varud varu,0.007971656333038,0.0021673168617251,72.8122140345815
uhistranspordi uhistransport uhistransporti,0.0070859167404783,0.0013003901170351,81.64824447334216
hanke hankija riigihangete,0.0070859167404783,0.0013003901170351,81.64824447334216
lipu laevu kaubalaeva,0.0097431355181576,0.0030342436064152,68.85762698506561
idapiiri piiririba valjaehitamine,0.007971656333038,0.0017338534893801,78.24977122766495
teadus teaduse arendustegevuse,0.0168290522586359,0.0065019505851755,61.36472520703597
koolis kooli opilased,0.0292294065544729,0.0151712180320762,48.09604497510885
valdkonnad laekumisest fikseeritakse,0.0106288751107174,0.0017338534893801,83.68732842074881
opositsiooni koalitsioonil opositsioonil,0.0168290522586359,0.0056350238404854,66.51609517943137
alkoholi kange lahja,0.0150575730735163,0.0043346337234503,71.21293250720345
pensionitous pensionitousu pension,0.012400354295837,0.0013003901170351,89.51328255619549
objekti anu raua,0.0168290522586359,0.0039011703511053,76.81883512422158
huvihariduse huvitegevuse huviharidus,0.0168290522586359,0.0013003901170351,92.2729450414072
hadaolukorda eriolukord eriolukorra,0.04162976085031,0.0190723883831816,54.185688330612706
arengukavad arengukavade pohialuste,0.0301151461470327,0.0104031209362808,65.45551900864398
elektri elektrit taastuvenergia,0.054030115146147,0.0273081924577373,49.45746018887634
treenerite spordi sport,0.0088573959255978,0.0,100.0
kinnisasja maad maa,0.007971656333038,0.0,100.0
kodualuse maamaksu maamaksust,0.0044286979627989,0.0,100.0
riigimetsa majandamise noukokku,0.0035429583702391,0.0,100.0
koolilouna koolitoidu koolitoit,0.0026572187776793,0.0,100.0
erimargistatud kutust kutuse,0.0026572187776793,0.0,100.0
korteriuhistu korteriomanike korteriuhistute,0.0026572187776793,0.0,100.0
skais arendused infosusteemide,0.0026572187776793,0.0,100.0
