topic_words3,Isamaa,Keskerakond,difference
ootuse oigusparase oiguskindluse,0.0,0.0043383947939262,-inf
omandireformi tagastatud omandireform,0.0,0.0021691973969631,-inf
ammendumiseni kaheni pikendada,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
sigade katku katk,0.0,0.0043383947939262,-inf
aasia aasias saatkonna,0.0,0.0108459869848156,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0065075921908893,-inf
elatisraha elatisabi elatise,0.0,0.0021691973969631,-inf
vee monopolide veeteenuse,0.0,0.0021691973969631,-inf
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0021691973969631,-inf
valismaale valjarande valjaranne,0.0,0.0021691973969631,-inf
est kavatsuste for,0.0,0.0021691973969631,-inf
kandideerima ametikohale kandidaatide,0.0,0.0021691973969631,-inf
haaletamissedel haaletamiskasti sedeli,0.0,0.0021691973969631,-inf
skais arendused infosusteemide,0.0,0.0021691973969631,-inf
normitehnika mojude eeskiri,0.0,0.0021691973969631,-inf
nord stream streami,0.0,0.0021691973969631,-inf
muraste kase kompleksi,0.0,0.0021691973969631,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0021691973969631,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0,
