2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
memorandumi moistmise memorandum 0.101% -> 0.097% (-3.452%),teenuseid teenused teenust 0.146% -> 0.132% (-9.382%),piirivalve valvamise valvamine 0.119% -> 0.105% (-11.455%),aituma infotundi jahimehed 0.211% -> 0.203% (-3.945%),normitehnika mojude eeskiri 0.316% -> 0.322% (1.609%),metsa metsade mets 0.35% -> 0.347% (-0.843%),kohtla jarve johvi 0.326% -> 0.294% (-9.763%),valismaale valjarande valjaranne 0.346% -> 0.345% (-0.507%),domeenide domeeni interneti 0.051% -> 0.036% (-29.714%),ulikooliga kbfi instituudi 0.233% -> 0.224% (-3.747%),tarbijakaitse amet ametile 0.382% -> 0.364% (-4.696%),tooandja tervisesse maksuvabalt 0.07% -> 0.055% (-21.372%)
riigiabi komisjonilt loa 0.202% -> 0.195% (-3.452%),haiguspaevade haiguspaevi haiguspaeva 0.049% -> 0.04% (-18.444%),katteallikas katteallikaid katteallikat 0.714% -> 0.675% (-5.552%),eripensioni valjateenitud staazi 0.042% -> 0.038% (-9.949%),ametipalkade riigiteenijate korgemate 0.0% -> 0.0% (10.444%),teenistuse teenistuses avalikus 0.14% -> 0.137% (-2.346%),tarbijakaitse amet ametile 0.126% -> 0.105% (-16.745%),uuring uuringut uuringu 0.462% -> 0.459% (-0.507%),sularaha kommertspangad pangad 0.115% -> 0.09% (-21.905%),kasvavad tuleval kasv 0.269% -> 0.258% (-4.068%),lipud lippude lipp 0.067% -> 0.059% (-12.894%),kontroll kohaloleku registreeris 0.07% -> 0.055% (-21.372%)
tooandja tervisesse maksuvabalt 0.378% -> 0.357% (-5.597%),lae korgepalgaliste lagi 0.049% -> 0.04% (-18.444%),haalte kandidaatidele haaletamisest 0.053% -> 0.042% (-20.31%),lisaeelarve lisaeelarves lisaeelarvega 0.042% -> 0.038% (-9.949%),kauguhendus avaksite ettekandjalt 0.114% -> 0.112% (-1.827%),ajakirjandus ajakirjanduse ajakirjandust 0.322% -> 0.315% (-2.019%),abipolitseinik abipolitseiniku abipolitseinike 0.032% -> 0.021% (-33.396%),treenerite spordi sport 0.367% -> 0.357% (-2.718%),nord stream streami 0.115% -> 0.09% (-21.905%),liitlaste ohutorje keskmaa 0.43% -> 0.415% (-3.547%),pensioniiga pensioniea eluiga 0.18% -> 0.164% (-8.538%),lipu laevu kaubalaeva 0.352% -> 0.314% (-10.888%)
arengufond arengufondi arengufondis 0.744% -> 0.714% (-3.997%),planeeringu keskkonnamoju keskkonnamojude 0.178% -> 0.159% (-11.029%),kirik kiriku maarja 0.053% -> 0.042% (-20.31%),valdkonnad laekumisest fikseeritakse 0.042% -> 0.038% (-9.949%),katteallikas katteallikaid katteallikat 0.696% -> 0.685% (-1.604%),kodakondsust kodakondsuse kodanikuks 0.238% -> 0.231% (-2.788%),pohiseadusega riigikohus oiguskantsler 0.704% -> 0.651% (-7.55%),haalte kandidaatidele haaletamisest 0.042% -> 0.038% (-8.798%),tooandja tervisesse maksuvabalt 0.115% -> 0.09% (-21.905%),vaikesaarte saarte pusiasustusega 0.09% -> 0.079% (-12.41%),keeleoskust oskuse keeleoskuse 0.056% -> 0.047% (-16.378%),lahususe voimude lahusus 0.293% -> 0.258% (-11.937%)
miili baasvorgu lairiba 0.076% -> 0.065% (-14.179%),palgalohe soolist meeste 1.055% -> 1.006% (-4.642%),erso teatri kontserdi 0.053% -> 0.042% (-20.31%),eelarvele kulude riigieelarvele 0.548% -> 0.532% (-3.022%),hoiu pangad pankade 0.203% -> 0.196% (-3.361%),kinnitamise paevakorra paevakord 0.475% -> 0.462% (-2.788%),arengufond arengufondi arengufondis 1.019% -> 0.955% (-6.274%),pealinnast tallinnast viljandisse 0.682% -> 0.664% (-2.718%),tsernoboli represseeritud oigusvastaselt 0.013% -> 0.0% (-98.594%),aituma infotundi jahimehed 0.161% -> 0.146% (-9.629%),koolilouna koolitoidu koolitoit 0.056% -> 0.047% (-16.378%),pohiseadusega riigikohus oiguskantsler 0.704% -> 0.646% (-8.267%)
kusimusena tahtsa tahtsusega 0.252% -> 0.227% (-9.888%),erso teatri kontserdi 0.065% -> 0.053% (-18.444%),tulubaasi tasandusfondi tulumaksuosa 0.979% -> 0.928% (-5.233%),riigimetsa majandamise noukokku 0.084% -> 0.076% (-9.949%),opositsioonis koalitsiooni opositsiooni 1.405% -> 1.384% (-1.496%),opositsiooni koalitsioonil opositsioonil 0.252% -> 0.242% (-4.015%),koosoleku elektrooniline koosolekut 0.011% -> 0.0% (-99.001%),taanis saksamaal hollandis 0.567% -> 0.549% (-3.168%),vee monopolide veeteenuse 0.013% -> 0.0% (-98.594%),krimmi agressiooni ukraina 0.969% -> 0.92% (-4.995%),aituma infotundi jahimehed 0.146% -> 0.129% (-11.554%),kandidaati kandidaat valituks 0.117% -> 0.092% (-21.372%)
moisteid moiste moisted 0.643% -> 0.6% (-6.607%),idapiiri piiririba valjaehitamine 0.081% -> 0.066% (-18.444%),koolituse koolitus koolitusele 0.079% -> 0.063% (-20.31%),kaitseliit kaitseliidule kaitseliidu 0.38% -> 0.354% (-6.614%),noukogudesse ariuhingute noukogudes 0.658% -> 0.643% (-2.299%),jalitustegevuse jalitustoimingu sideandmete 0.112% -> 0.105% (-6.102%),kasvavad tuleval kasv 0.21% -> 0.178% (-15.08%),virumaale virumaa toostusalade 0.567% -> 0.549% (-3.168%),matusetoetust matusetoetus matusetoetuse 0.013% -> 0.0% (-98.594%),teede teehoiuks teedele 0.179% -> 0.157% (-12.41%),oppelaenu sugava puudega 0.045% -> 0.035% (-21.604%),kohtutaiturite kohtutaitur kohtutaituri 0.117% -> 0.092% (-21.372%)
lisaeelarve lisaeelarves lisaeelarvega 0.063% -> 0.049% (-22.761%),oiglase virumaale ulemineku 0.097% -> 0.079% (-18.444%),raamatukogu pimedate raamatukogude 0.079% -> 0.063% (-20.31%),loomi loomade loomad 0.169% -> 0.152% (-9.949%),untso missioonide liikmesusest 0.418% -> 0.405% (-2.943%),valismaale valjarande valjaranne 0.489% -> 0.473% (-3.419%),mes maale maaelu 0.095% -> 0.073% (-22.296%),krimmi agressiooni ukraina 1.007% -> 0.983% (-2.465%),energiaagentuur agentuuri agentuur 0.013% -> 0.0% (-98.594%),vanemahuvitist vanemahuvitise vanemahuvitis 0.215% -> 0.191% (-11.367%),kinnitamise paevakorra paevakord 0.382% -> 0.352% (-7.77%),ametipalkade riigiteenijate korgemate 0.012% -> 0.0% (-98.427%)
rahvaalgatuse rahvaalgatus rahvahaaletus 0.063% -> 0.049% (-22.761%),pensionitous pensionitousu pension 0.324% -> 0.291% (-10.288%),piirilepingu piirileping piirilepingut 0.172% -> 0.148% (-14.18%),borsile ipo enefit 0.211% -> 0.19% (-9.949%),valitsemisalade katteallikaks riigieelarves 0.076% -> 0.07% (-7.963%),ametiuhingute tooandjate keskliit 0.308% -> 0.294% (-4.394%),vee monopolide veeteenuse 0.084% -> 0.063% (-25.071%),koneleja konsensuslikud repliigi 0.084% -> 0.077% (-8.798%),tulubaasi tasandusfondi tulumaksuosa 0.332% -> 0.287% (-13.494%),seksuaalse vangistusega vaarkohtlemise 0.018% -> 0.011% (-37.436%),eelarvele kulude riigieelarvele 0.213% -> 0.188% (-11.977%),est kavatsuste for 0.012% -> 0.0% (-98.427%)
sigade katku katk 0.025% -> 0.016% (-35.635%),tantsupeo laulu traditsiooni 0.016% -> 0.0% (-99.184%),eelarves riigieelarves reservist 1.535% -> 1.455% (-5.196%),slovakkia ungari portugal 0.464% -> 0.43% (-7.22%),lahususe voimude lahusus 0.279% -> 0.266% (-4.616%),oigusloome oigusloomes oiguspoliitika 0.308% -> 0.294% (-4.394%),lng terminali gaasi 0.179% -> 0.147% (-17.725%),sularaha kommertspangad pangad 0.126% -> 0.115% (-8.798%),miili baasvorgu lairiba 0.255% -> 0.215% (-15.657%),muugimaksu muugimaks paadimaksu 0.018% -> 0.011% (-37.436%),kolledz kolledzi turi 0.034% -> 0.023% (-30.315%),arengufond arengufondi arengufondis 0.481% -> 0.424% (-11.783%)
huvihariduse huvitegevuse huviharidus 0.101% -> 0.081% (-19.543%),muugimaksu muugimaks paadimaksu 0.178% -> 0.146% (-18.444%),annetused annetusi annetuste 0.198% -> 0.169% (-14.997%),lipud lippude lipp 0.063% -> 0.051% (-19.954%),laari laar kandidatuuri 0.063% -> 0.056% (-11.645%),kasvavad tuleval kasv 0.224% -> 0.21% (-6.102%),eripensioni valjateenitud staazi 0.147% -> 0.115% (-21.503%),kontrollin haaled kandidaadi 0.031% -> 0.026% (-18.932%),riigikontrolor karis riigikontrolori 0.077% -> 0.054% (-29.714%),koolilouna koolitoidu koolitoit 0.072% -> 0.056% (-21.795%),huvigruppe huvigruppide kaasatud 0.853% -> 0.798% (-6.475%),piirikontrolli schengeni valispiiri 0.223% -> 0.184% (-17.234%)
pagulasi pagulased pagulaste 0.101% -> 0.081% (-19.543%),kauguhendus avaksite ettekandjalt 0.211% -> 0.172% (-18.444%),salastatud valisteabe riigisaladuse 0.106% -> 0.084% (-20.31%),kala kalurid kalurite 0.295% -> 0.266% (-9.949%),samba sammas sambasse 0.152% -> 0.14% (-7.963%),kala kalurid kalurite 0.126% -> 0.116% (-8.188%),majandusaasta koondaruanne raamatupidamise 0.242% -> 0.199% (-17.469%),tapsustatakse ajakohastatakse nouete 0.472% -> 0.447% (-5.42%),koneleja konsensuslikud repliigi 0.077% -> 0.054% (-29.714%),raamatukogu pimedate raamatukogude 0.072% -> 0.056% (-21.795%),tantsupeo laulu traditsiooni 0.101% -> 0.082% (-18.701%),koondaruande majandusaasta koondaruanne 0.023% -> 0.0% (-99.214%)
tooandja tooandjal tootaja 0.227% -> 0.195% (-14.179%),riigipalgaliste riigisektoris koondada 0.227% -> 0.185% (-18.444%),riigipuha puhade tahtpaevade 0.013% -> 0.0% (-98.406%),ametiuhingute tooandjate keskliit 0.295% -> 0.266% (-9.949%),korteriuhistu korteriomanike korteriuhistute 0.354% -> 0.336% (-5.334%),erso teatri kontserdi 0.014% -> 0.011% (-24.881%),tootuna arvele ariuhingu 0.137% -> 0.105% (-23.15%),ammendumiseni kaheni pikendada 0.315% -> 0.293% (-6.771%),hoone rkas hoonet 0.434% -> 0.377% (-13.176%),voidusamba vabadussoja uurimiskomisjon 0.018% -> 0.0% (-99.374%),vanemahuvitist vanemahuvitise vanemahuvitis 0.191% -> 0.164% (-13.919%),omandireformi tagastatud omandireform 0.059% -> 0.037% (-37.098%)
toovoimereformi toovoimega toovoimereform 0.139% -> 0.114% (-18.08%),noukogudesse ariuhingute noukogudes 0.422% -> 0.357% (-15.307%),muundatud geneetiliselt gmo 0.013% -> 0.0% (-98.406%),kohtutaiturite kohtutaitur kohtutaituri 0.148% -> 0.127% (-14.237%),hanke hankija riigihangete 0.241% -> 0.224% (-6.994%),kolledz kolledzi turi 0.084% -> 0.074% (-12.361%),teenistuse teenistuses avalikus 0.137% -> 0.105% (-23.15%),katteallikas katteallikaid katteallikat 0.199% -> 0.179% (-10.398%),lipu laevu kaubalaeva 0.612% -> 0.538% (-12.143%),ene ergma aplaus 0.036% -> 0.022% (-37.436%),veb fondi uurimiskomisjon 0.09% -> 0.07% (-21.604%),muraste kase kompleksi 0.035% -> 0.018% (-47.581%)
psuhhiaatri alaealine psuhhiaatrilist 0.403% -> 0.357% (-11.497%),koolis kooli opilased 1.914% -> 1.773% (-7.385%),koosoleku elektrooniline koosolekut 0.013% -> 0.0% (-98.406%),domeenide domeeni interneti 0.021% -> 0.013% (-39.966%),hadaolukorda eriolukord eriolukorra 0.241% -> 0.224% (-6.994%),kusija vastaja vastasin 0.084% -> 0.074% (-12.361%),aardla pria pealtnagija 0.063% -> 0.042% (-33.396%),viirust vaktsineeritud viiruse 0.105% -> 0.089% (-14.878%),vagivalla naistevastase perevagivalla 0.383% -> 0.323% (-15.657%),kodualuse maamaksu maamaksust 0.179% -> 0.146% (-18.666%),aardla pria pealtnagija 0.011% -> 0.0% (-98.955%),estonian air airi 0.035% -> 0.018% (-47.581%)
jarviku jarvik maaeluministri 0.265% -> 0.227% (-14.179%),riigireformi riigireformist riigireform 0.081% -> 0.053% (-34.755%),treenerite spordi sport 0.159% -> 0.127% (-20.31%),virumaale virumaa toostusalade 0.569% -> 0.519% (-8.837%),tantsupeo laulu traditsiooni 0.051% -> 0.042% (-17.167%),riigiabi komisjonilt loa 0.196% -> 0.179% (-8.784%),energiaagentuur agentuuri agentuur 0.063% -> 0.042% (-33.396%),salvestisi salvestised salvestiste 0.525% -> 0.485% (-7.582%),haiguspaevade haiguspaevi haiguspaeva 0.038% -> 0.0% (-99.531%),leping ratifitseerida lepinguga 0.502% -> 0.438% (-12.857%),annetused annetusi annetuste 0.168% -> 0.141% (-16.378%),erso teatri kontserdi 0.035% -> 0.018% (-47.581%)
inimarengu aruanne aruandes 1.134% -> 1.055% (-7.028%),pagulasi pagulased pagulaste 0.081% -> 0.053% (-34.755%),planeeringu keskkonnamoju keskkonnamojude 0.159% -> 0.127% (-20.31%),lahususe voimude lahusus 0.316% -> 0.279% (-11.95%),vaikesaarte saarte pusiasustusega 0.127% -> 0.112% (-11.645%),valispoliitika valispoliitikas diplomaatia 0.475% -> 0.441% (-7.206%),memorandumi moistmise memorandum 0.074% -> 0.0% (-99.857%),kinnitamise paevakorra paevakord 0.472% -> 0.434% (-8.123%),memorandumi moistmise memorandum 0.038% -> 0.0% (-99.531%),kontrollin haaled kandidaadi 0.054% -> 0.034% (-37.436%),palgatousu opetajate palgatous 0.965% -> 0.891% (-7.627%),oppelaenu sugava puudega 0.035% -> 0.0% (-99.476%)
kontroll kohaloleku registreeris 0.013% -> 0.0% (-98.713%),jahimehed jahimeeste jahti 0.097% -> 0.066% (-32.036%),ulejaagis struktuurses struktuurse 1.323% -> 1.223% (-7.559%),normitehnika mojude eeskiri 0.358% -> 0.316% (-11.715%),muugimaksu muugimaks paadimaksu 0.038% -> 0.028% (-26.371%),eripensioni valjateenitud staazi 0.168% -> 0.147% (-12.361%),normitehnika mojude eeskiri 0.441% -> 0.378% (-14.367%),operatsioonil sojalisel panustamisel 0.094% -> 0.077% (-18.932%),riigimetsa majandamise noukokku 0.038% -> 0.0% (-99.531%),haaletamissedel haaletamiskasti sedeli 0.054% -> 0.034% (-37.436%),ene ergma aplaus 0.022% -> 0.0% (-99.477%),vallaga vald sauga 0.211% -> 0.166% (-21.372%)
aasia aasias saatkonna 0.441% -> 0.389% (-11.727%),kulukuse krediidi kiirlaenude 0.065% -> 0.04% (-38.833%),jaatmeid liigiti prugi 0.397% -> 0.337% (-14.997%),president ilves presidendi 0.084% -> 0.063% (-24.957%),idapiiri piiririba valjaehitamine 0.266% -> 0.238% (-10.593%),muundatud geneetiliselt gmo 0.056% -> 0.042% (-24.881%),tooandja tooandjal tootaja 0.305% -> 0.252% (-17.32%),suuria euroopasse turgis 0.094% -> 0.077% (-18.932%),oppelaenu sugava puudega 0.102% -> 0.072% (-29.714%),taanis saksamaal hollandis 0.287% -> 0.236% (-17.884%),lae korgepalgaliste lagi 0.022% -> 0.012% (-47.736%),vaesuses suhtelises vaesuse 0.211% -> 0.166% (-21.372%)
lahususe voimude lahusus 0.214% -> 0.178% (-16.704%),koondaruande majandusaasta koondaruanne 0.065% -> 0.04% (-38.833%),kontrollin haaled kandidaadi 0.026% -> 0.0% (-99.203%),karistuse karistus tingimisi 0.991% -> 0.912% (-8.033%),kusija vastaja vastasin 0.101% -> 0.084% (-17.167%),lisaeelarve lisaeelarves lisaeelarvega 0.056% -> 0.042% (-24.881%),vagivalla naistevastase perevagivalla 0.41% -> 0.346% (-15.465%),riigikontrolor karis riigikontrolori 0.094% -> 0.077% (-18.932%),teede teehoiuks teedele 0.23% -> 0.179% (-21.905%),loomi loomade loomad 0.52% -> 0.449% (-13.704%),ametipalkade riigiteenijate korgemate 0.022% -> 0.012% (-47.736%),ts parvlaeva parvlaevad 0.106% -> 0.074% (-30.109%)
korrata stenogrammist vabandan 0.088% -> 0.065% (-26.439%),lisaeelarve lisaeelarves lisaeelarvega 0.049% -> 0.026% (-45.629%),est kavatsuste for 0.026% -> 0.0% (-99.203%),tootuid tootute tootu 0.464% -> 0.405% (-12.678%),tarbijakaitse amet ametile 0.177% -> 0.154% (-13.222%),tarbijakaitse amet ametile 0.154% -> 0.126% (-18.052%),tapsustatakse ajakohastatakse nouete 0.546% -> 0.472% (-13.543%),kala kalurid kalurite 0.178% -> 0.153% (-14.163%),suuria euroopasse turgis 0.077% -> 0.0% (-99.766%),elatisraha elatisabi elatise 0.251% -> 0.202% (-19.56%),arengufond arengufondi arengufondis 0.539% -> 0.481% (-10.716%),teatri teater rahvusooper 0.047% -> 0.0% (-99.607%)
mes maale maaelu 0.126% -> 0.097% (-22.761%),hansson ardo panga 0.049% -> 0.026% (-45.629%),valdkonnad laekumisest fikseeritakse 0.066% -> 0.042% (-36.248%),miili baasvorgu lairiba 0.105% -> 0.076% (-27.959%),eriarstide eriarstiabi eriarsti 1.051% -> 0.993% (-5.524%),aardla pria pealtnagija 0.084% -> 0.063% (-24.881%),poolte kokkuleppel huvitise 0.179% -> 0.136% (-23.602%),voidusamba vabadussoja uurimiskomisjon 0.021% -> 0.013% (-39.199%),keeleoskust oskuse keeleoskuse 0.332% -> 0.269% (-18.901%),teatri teater rahvusooper 0.126% -> 0.0% (-99.911%),planeeringu keskkonnamoju keskkonnamojude 0.067% -> 0.047% (-30.315%),energiaagentuur agentuuri agentuur 0.047% -> 0.0% (-99.607%)
piirikontrolli schengeni valispiiri 0.05% -> 0.032% (-35.635%),kontrollin haaled kandidaadi 0.049% -> 0.026% (-45.629%),muraste kase kompleksi 0.093% -> 0.063% (-31.694%),ametipalkade riigiteenijate korgemate 0.084% -> 0.0% (-99.85%),piirivalve valvamise valvamine 0.342% -> 0.308% (-10.009%),arengufond arengufondi arengufondis 1.105% -> 1.019% (-7.766%),lapsetoetust lapsetoetus lapsetoetuse 0.525% -> 0.451% (-14.081%),ene ergma aplaus 0.021% -> 0.013% (-39.199%),maksuamet tolliamet tolliameti 0.51% -> 0.43% (-15.657%),magustatud suhkrut joogi 0.072% -> 0.045% (-37.436%),ooteala piiriuletuse piiripunkti 0.034% -> 0.0% (-99.652%),memorandumi moistmise memorandum 0.047% -> 0.0% (-99.607%)
skais arendused infosusteemide 0.164% -> 0.13% (-20.781%),liitlaste ohutorje keskmaa 0.162% -> 0.119% (-26.599%),hadaolukorda eriolukord eriolukorra 0.093% -> 0.063% (-31.694%),moisteid moiste moisted 0.654% -> 0.57% (-12.854%),kinnisasja maad maa 0.519% -> 0.475% (-8.412%),annetus erjk annetuse 0.112% -> 0.084% (-24.881%),kaitsekulud kaitsekulutused kaitsekulude 0.168% -> 0.126% (-25.071%),lasteaia lasteaias lasteaiakoha 0.451% -> 0.408% (-9.505%),aardla pria pealtnagija 0.089% -> 0.0% (-99.799%),oppelaenu sugava puudega 0.072% -> 0.045% (-37.436%),valitsemisalade katteallikaks riigieelarves 0.034% -> 0.0% (-99.652%),riigikontrolli auditi auditit 0.129% -> 0.092% (-28.52%)
est kavatsuste for 0.025% -> 0.0% (-99.356%),puude raskusastme puuet 0.162% -> 0.119% (-26.599%),erimargistatud kutust kutuse 0.238% -> 0.19% (-20.31%),koondaruande majandusaasta koondaruanne 0.063% -> 0.038% (-39.966%),vallaga vald sauga 0.696% -> 0.643% (-7.629%),valimisliitude volikogusse volikokku 1.524% -> 1.418% (-6.963%),kaibemaksu kaibemaks kaibemaksumaara 0.242% -> 0.189% (-21.813%),ooteala piiriuletuse piiripunkti 0.052% -> 0.038% (-27.039%),ulikooliga kbfi instituudi 0.293% -> 0.233% (-20.547%),koondaruande majandusaasta koondaruanne 0.072% -> 0.045% (-37.436%),kulukuse krediidi kiirlaenude 0.045% -> 0.0% (-99.739%),tootuli lepitaja ametiuhingute 0.059% -> 0.0% (-99.685%)
estonian air airi 0.202% -> 0.162% (-19.543%),koosoleku elektrooniline koosolekut 0.032% -> 0.013% (-59.222%),kohanimenoukogu vonnu mulgi 0.04% -> 0.021% (-46.873%),nord stream streami 0.063% -> 0.038% (-39.966%),iive sundimus iibe 0.228% -> 0.196% (-14.099%),ene ergma aplaus 0.056% -> 0.0% (-99.812%),domeenide domeeni interneti 0.042% -> 0.021% (-50.047%),kaitsekulud kaitsekulutused kaitsekulude 0.126% -> 0.102% (-18.932%),hambaravi hammaste hambad 0.038% -> 0.018% (-53.143%),riigiabi komisjonilt loa 0.395% -> 0.325% (-17.529%),moisteid moiste moisted 0.471% -> 0.411% (-12.894%),hoone rkas hoonet 0.399% -> 0.332% (-16.747%)
elamisluba elamisloa viisa 0.454% -> 0.389% (-14.179%),direktiivi direktiiv ulevotmise 0.454% -> 0.37% (-18.444%),danske filiaali rahapesu 0.04% -> 0.021% (-46.873%),aardla pria pealtnagija 0.063% -> 0.038% (-39.966%),liitlaste ohutorje keskmaa 0.468% -> 0.419% (-10.451%),jaatmeid liigiti prugi 0.336% -> 0.284% (-15.491%),tootuli lepitaja ametiuhingute 0.042% -> 0.021% (-50.047%),noukogudesse ariuhingute noukogudes 0.535% -> 0.485% (-9.394%),kinnitamise paevakorra paevakord 0.434% -> 0.359% (-17.311%),haale valimispaeval valimiste 0.233% -> 0.18% (-22.998%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.056% -> 0.0% (-99.791%),slovakkia ungari portugal 0.622% -> 0.535% (-13.954%)
maantee neljarealiseks ppp 0.277% -> 0.227% (-18.08%),majandusaasta koondaruanne raamatupidamise 0.487% -> 0.397% (-18.444%),talupidajate kaubanduskoja kaubanduskoda 0.04% -> 0.021% (-46.873%),memorandumi moistmise memorandum 0.148% -> 0.0% (-99.914%),est kavatsuste for 0.013% -> 0.0% (-98.896%),kodualuse maamaksu maamaksust 0.168% -> 0.126% (-24.881%),tulubaasi omavalitsustele omavalitsuste 0.725% -> 0.63% (-13.126%),kinnisasja maad maa 0.661% -> 0.6% (-9.281%),tootuli lepitaja ametiuhingute 0.102% -> 0.0% (-99.824%),kandidaati kandidaat valituks 0.233% -> 0.18% (-22.998%),eripensioni valjateenitud staazi 0.101% -> 0.07% (-30.315%),operatsioonil sojalisel panustamisel 0.082% -> 0.0% (-99.775%)
rahapesu terrorismi andmeburoo 0.063% -> 0.0% (-99.743%),katteallikas katteallikaid katteallikat 0.844% -> 0.714% (-15.307%),koneleja konsensuslikud repliigi 0.04% -> 0.021% (-46.873%),varude varud varu 0.148% -> 0.0% (-99.914%),voidusamba vabadussoja uurimiskomisjon 0.013% -> 0.0% (-98.896%),laari laar kandidatuuri 0.056% -> 0.032% (-43.661%),riigipuha puhade tahtpaevade 0.084% -> 0.052% (-37.559%),joustumine joustuma joustada 0.609% -> 0.549% (-9.846%),riigikontrolli auditi auditit 0.536% -> 0.448% (-16.326%),utah jordaania energia 0.143% -> 0.101% (-29.615%),reklaami reklaam alkoholireklaam 0.157% -> 0.117% (-25.338%),muugimaksu muugimaks paadimaksu 0.106% -> 0.0% (-99.825%)
opositsiooni koalitsioonil opositsioonil 0.176% -> 0.13% (-26.439%),rahvuse rahvust rahvusriik 0.422% -> 0.331% (-21.58%),relva relvade relvaluba 0.119% -> 0.084% (-29.164%),planeeringu keskkonnamoju keskkonnamojude 0.127% -> 0.089% (-29.96%),muundatud geneetiliselt gmo 0.076% -> 0.056% (-26.371%),abipolitseinik abipolitseiniku abipolitseinike 0.056% -> 0.032% (-43.661%),riigikontrolor karis riigikontrolori 0.137% -> 0.094% (-30.835%),rahvahaaletuse rahvahaaletus rahvahaaletusel 0.115% -> 0.089% (-22.617%),haaletamissedel haaletamiskasti sedeli 0.089% -> 0.054% (-39.755%),nord stream streami 0.09% -> 0.056% (-37.436%),uuring uuringut uuringu 0.37% -> 0.305% (-17.645%),riigikontrolor karis riigikontrolori 0.141% -> 0.0% (-99.869%)
varude varud varu 0.038% -> 0.016% (-57.09%),piirivalve valvamise valvamine 0.178% -> 0.119% (-33.272%),kolledz kolledzi turi 0.053% -> 0.0% (-99.602%),tarbijakaitse amet ametile 0.232% -> 0.177% (-23.593%),kontrollin haaled kandidaadi 0.025% -> 0.014% (-44.778%),valdkonnad laekumisest fikseeritakse 0.07% -> 0.042% (-39.905%),erimargistatud kutust kutuse 0.242% -> 0.178% (-26.157%),otsevalimise presidenti presidendi 0.367% -> 0.319% (-13.141%),tulubaasi omavalitsustele omavalitsuste 0.383% -> 0.305% (-20.343%),riigipalgaliste riigisektoris koondada 0.413% -> 0.337% (-18.394%),magustatud suhkrut joogi 0.045% -> 0.023% (-47.736%),missiooni missioonile missioon 0.891% -> 0.775% (-13.095%)
tapsustatakse ajakohastatakse nouete 0.756% -> 0.649% (-14.179%),hadaolukorda eriolukord eriolukorra 0.146% -> 0.093% (-36.567%),tervist tervis tervisega 0.053% -> 0.0% (-99.602%),viirust vaktsineeritud viiruse 0.084% -> 0.051% (-39.966%),erimargistatud kutust kutuse 0.785% -> 0.713% (-9.151%),oppelaenu sugava puudega 0.028% -> 0.011% (-62.441%),haale valimispaeval valimiste 1.05% -> 0.913% (-13.082%),oigusloome oigusloomes oiguspoliitika 0.304% -> 0.255% (-16.136%),est kavatsuste for 0.408% -> 0.0% (-99.956%),ammendumiseni kaheni pikendada 0.413% -> 0.337% (-18.394%),hambaravi hammaste hambad 0.045% -> 0.023% (-47.736%),alkoholi kange lahja 0.493% -> 0.406% (-17.628%)
riigireformi riigireformist riigireform 0.126% -> 0.081% (-35.635%),kandidaadi kandidaati kandidaat 0.195% -> 0.132% (-32.036%),operatsioonil sojalisel panustamisel 0.053% -> 0.0% (-99.602%),lae korgepalgaliste lagi 0.084% -> 0.051% (-39.966%),korrata stenogrammist vabandan 0.127% -> 0.098% (-22.689%),oigusriik oigusriigi oigusriigist 0.21% -> 0.158% (-24.881%),soita jalakaija konniteel 0.609% -> 0.504% (-17.32%),koolilouna koolitoidu koolitoit 0.105% -> 0.077% (-27.039%),prokuratuur prokuratuuri prokuror 1.518% -> 1.345% (-11.405%),kaitseliit kaitseliidule kaitseliidu 0.341% -> 0.269% (-20.971%),koondaruande majandusaasta koondaruanne 0.045% -> 0.023% (-47.736%),kinnitamise paevakorra paevakord 0.352% -> 0.277% (-21.372%)
kohtutaiturite kohtutaitur kohtutaituri 0.391% -> 0.0% (-99.958%),oppelaenu sugava puudega 0.195% -> 0.132% (-32.036%),energiaagentuur agentuuri agentuur 0.053% -> 0.0% (-99.602%),riigiabi komisjonilt loa 0.337% -> 0.266% (-21.205%),seksuaalse vangistusega vaarkohtlemise 0.025% -> 0.0% (-99.448%),hadaolukorda eriolukord eriolukorra 0.224% -> 0.168% (-24.881%),joustumine joustuma joustada 0.725% -> 0.609% (-16.021%),kasvavad tuleval kasv 0.178% -> 0.14% (-21.316%),volakirjade keskpank volakirju 0.396% -> 0.305% (-22.912%),otsevalimise presidenti presidendi 0.305% -> 0.236% (-22.715%),valismaale valjarande valjaranne 0.202% -> 0.152% (-24.508%),majandusaasta koondaruanne raamatupidamise 0.211% -> 0.0% (-99.913%)
