2010 vs 2011,2011 vs 2012,2012 vs 2013,2013 vs 2014,2014 vs 2015,2015 vs 2016,2016 vs 2017,2017 vs 2018,2018 vs 2019,2019 vs 2020,2020 vs 2021,2021 vs 2022
hooldekodus hoolduse hooldekodu 0.164% -> 0.211% (28.731%),tarbijakaitse amet ametile 0.162% -> 0.212% (30.49%),volitust kaasuses jarvik 0.079% -> 0.127% (59.381%),hambaravi hammaste hambad 0.148% -> 0.19% (28.645%),riigikontrolor karis riigikontrolori 0.165% -> 0.224% (35.931%),planeeringu keskkonnamoju keskkonnamojude 0.098% -> 0.137% (39.506%),huvigruppe huvigruppide kaasatud 0.767% -> 0.86% (12.223%),kohtunike kohtususteem kohtuniku 0.955% -> 1.085% (13.585%),muugimaksu muugimaks paadimaksu 0.0% -> 0.018% (13957.15%),korterelamute kortermajade kredexi 0.646% -> 0.752% (16.439%),borsile ipo enefit 0.236% -> 0.293% (24.437%),ooteala piiriuletuse piiripunkti 0.0% -> 0.055% (47076.756%)
koneleja konsensuslikud repliigi 0.0% -> 0.114% (90011.664%),kohtutaiturite kohtutaitur kohtutaituri 0.0% -> 0.079% (48833.848%),piima toorpiima toodangut 0.185% -> 0.253% (36.612%),uuring uuringut uuringu 0.274% -> 0.329% (20.068%),viirust vaktsineeritud viiruse 0.051% -> 0.084% (65.666%),tootuna arvele ariuhingu 0.098% -> 0.137% (39.506%),varude varud varu 0.084% -> 0.115% (37.37%),kantsler kantsleri riigisekretar 0.273% -> 0.345% (26.279%),kaasne lisakulutusi riigieelarvele 0.383% -> 0.43% (12.457%),borsile ipo enefit 0.179% -> 0.236% (31.385%),varude varud varu 0.247% -> 0.305% (23.532%),aardla pria pealtnagija 0.0% -> 0.037% (31351.171%)
liibanonis missioonil pikendamine 0.315% -> 0.373% (18.432%),taanis saksamaal hollandis 0.552% -> 0.635% (15.138%),riigiabi komisjonilt loa 0.265% -> 0.337% (27.504%),kontrollin haaled kandidaadi 0.0% -> 0.025% (11906.826%),koneleja konsensuslikud repliigi 0.076% -> 0.112% (47.259%),maksuamet tolliamet tolliameti 0.643% -> 0.735% (14.311%),koolituse koolitus koolitusele 0.084% -> 0.115% (37.37%),normitehnika mojude eeskiri 0.378% -> 0.459% (21.602%),muraste kase kompleksi 0.038% -> 0.054% (40.572%),moisteid moiste moisted 0.395% -> 0.471% (19.441%),valispoliitika valispoliitikas diplomaatia 0.55% -> 0.633% (15.194%),leping ratifitseerida lepinguga 0.27% -> 0.314% (16.233%)
salvestisi salvestised salvestiste 0.227% -> 0.276% (21.579%),vee monopolide veeteenuse 0.26% -> 0.318% (22.335%),lahususe voimude lahusus 0.251% -> 0.316% (25.827%),rahapesu terrorismi andmeburoo 0.0% -> 0.025% (11906.826%),memorandumi moistmise memorandum 0.0% -> 0.182% (143477.342%),rahvaalgatuse rahvaalgatus rahvahaaletus 0.154% -> 0.2% (29.751%),objekti anu raua 0.095% -> 0.126% (33.207%),ametiuhingute tooandjate keskliit 0.441% -> 0.523% (18.707%),id mobiil kaardi 0.255% -> 0.287% (12.457%),lapsetoetust lapsetoetus lapsetoetuse 0.233% -> 0.292% (25.129%),lipu laevu kaubalaeva 0.292% -> 0.352% (20.609%),valitsemisalade katteallikaks riigieelarves 0.0% -> 0.018% (15625.585%)
operatsioonil sojalisel panustamisel 0.0% -> 0.049% (38519.284%),tooandja tervisesse maksuvabalt 0.357% -> 0.423% (18.628%),pensionitous pensionitousu pension 0.291% -> 0.358% (23.158%),operatsioonil sojalisel panustamisel 0.0% -> 0.025% (11906.826%),kontroll kohaloleku registreeris 0.0% -> 0.084% (66166.466%),vee monopolide veeteenuse 0.056% -> 0.084% (50.237%),jaatmeid liigiti prugi 0.284% -> 0.336% (18.407%),kusimusena tahtsa tahtsusega 0.21% -> 0.268% (27.683%),sigade katku katk 0.077% -> 0.09% (17.143%),jaatmeid liigiti prugi 0.233% -> 0.292% (25.129%),piirikontrolli schengeni valispiiri 0.18% -> 0.223% (24.126%),domeenide domeeni interneti 0.023% -> 0.037% (57.256%)
pohiseadusega riigikohus oiguskantsler 0.857% -> 0.941% (9.8%),hanke hankija riigihangete 0.568% -> 0.648% (14.179%),seksuaalse vangistusega vaarkohtlemise 0.106% -> 0.148% (39.458%),tsernoboli represseeritud oigusvastaselt 0.021% -> 0.038% (80.102%),opositsiooni koalitsioonil opositsioonil 0.203% -> 0.252% (24.25%),volitust kaasuses jarvik 0.056% -> 0.084% (50.237%),erso teatri kontserdi 0.011% -> 0.021% (99.811%),planeeringu keskkonnamoju keskkonnamojude 0.21% -> 0.268% (27.683%),voidusamba vabadussoja uurimiskomisjon 0.013% -> 0.018% (40.572%),huvihariduse huvitegevuse huviharidus 0.126% -> 0.168% (34.066%),seksuaalse vangistusega vaarkohtlemise 0.011% -> 0.023% (109.055%),voidusamba vabadussoja uurimiskomisjon 0.023% -> 0.037% (57.256%)
riigikontrolli auditi auditit 0.58% -> 0.649% (11.94%),teekasutustasu autode autod 0.065% -> 0.093% (42.724%),maantee neljarealiseks ppp 0.146% -> 0.19% (30.402%),muugimaksu muugimaks paadimaksu 0.021% -> 0.038% (80.102%),korterelamute kortermajade kredexi 0.253% -> 0.308% (21.489%),ametipalkade riigiteenijate korgemate 0.0% -> 0.063% (44971.242%),id mobiil kaardi 0.41% -> 0.462% (12.714%),psuhhiaatri alaealine psuhhiaatrilist 0.346% -> 0.408% (17.918%),kandidaati kandidaat valituks 0.217% -> 0.233% (7.496%),korruptsiooni korruptsioon korruptsiooniga 0.108% -> 0.146% (35.556%),domeenide domeeni interneti 0.011% -> 0.023% (109.055%),kolledz kolledzi turi 0.023% -> 0.037% (57.256%)
samba sammas sambasse 0.202% -> 0.243% (20.685%),ooteala piiriuletuse piiripunkti 0.065% -> 0.093% (42.724%),koondaruande majandusaasta koondaruanne 0.04% -> 0.063% (59.381%),humni humn laulda 0.021% -> 0.038% (80.102%),treenerite spordi sport 0.671% -> 0.755% (12.528%),volakirjade keskpank volakirju 0.573% -> 0.651% (13.594%),est kavatsuste for 0.0% -> 0.021% (19881.112%),tarbijakaitse amet ametile 0.105% -> 0.14% (33.763%),teatri teater rahvusooper 0.115% -> 0.126% (9.333%),vee monopolide veeteenuse 0.0% -> 0.045% (24925.704%),teatri teater rahvusooper 0.0% -> 0.047% (41710.99%),volitust kaasuses jarvik 0.07% -> 0.092% (31.047%)
ootuse oigusparase oiguskindluse 0.189% -> 0.227% (20.149%),miili baasvorgu lairiba 0.065% -> 0.093% (42.724%),teatri teater rahvusooper 0.04% -> 0.063% (59.381%),salastatud valisteabe riigisaladuse 0.084% -> 0.114% (35.077%),varude varud varu 0.0% -> 0.042% (33033.233%),seksuaalse vangistusega vaarkohtlemise 0.0% -> 0.053% (37459.369%),ene ergma aplaus 0.0% -> 0.021% (19881.112%),elamisluba elamisloa viisa 0.43% -> 0.498% (15.671%),tapsustatakse ajakohastatakse nouete 0.447% -> 0.466% (4.425%),riigimetsa majandamise noukokku 0.0% -> 0.045% (24925.704%),ts parvlaeva parvlaevad 0.079% -> 0.106% (34.392%),muundatud geneetiliselt gmo 0.059% -> 0.074% (25.805%)
konkurss konkursi konkurssi 0.088% -> 0.114% (28.731%),abielu kooselu samasooliste 0.146% -> 0.185% (26.866%),lapsetoetust lapsetoetus lapsetoetuse 2.858% -> 3.016% (5.516%),hoone rkas hoonet 0.337% -> 0.392% (16.316%),haaletamissedel haaletamiskasti sedeli 0.025% -> 0.042% (65.666%),ugri rahvaste polisrahvaste 0.0% -> 0.053% (37459.369%),kolledz kolledzi turi 0.074% -> 0.094% (28.45%),koondaruande majandusaasta koondaruanne 0.031% -> 0.051% (62.137%),hadaolukorda eriolukord eriolukorra 0.191% -> 0.197% (3.086%),arengufond arengufondi arengufondis 0.466% -> 0.539% (15.503%),skais arendused infosusteemide 0.079% -> 0.106% (34.392%),tsernoboli represseeritud oigusvastaselt 0.012% -> 0.018% (57.256%)
