topic_words3,Fraktsioonitud,Reformierakond,difference
opositsioonis koalitsiooni opositsiooni,0.0100334448160535,0.0066006600660066,34.21342134213414
volitust kaasuses jarvik,0.0066889632107023,0.0033003300330033,50.66006600660037
alkoholi kange lahja,0.0066889632107023,0.0033003300330033,50.66006600660037
hanke hankija riigihangete,0.0066889632107023,0.0033003300330033,50.66006600660037
kala kalurid kalurite,0.0066889632107023,0.0033003300330033,50.66006600660037
missiooni missioonile missioon,0.0066889632107023,0.0033003300330033,50.66006600660037
arengufond arengufondi arengufondis,0.020066889632107,0.0132013201320132,34.21342134213414
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0100334448160535,0.0049504950495049,50.6600660066011
jaatmeid liigiti prugi,0.0133779264214046,0.0066006600660066,50.66006600660037
estonian air airi,0.020066889632107,0.0115511551155115,42.43674367436762
maantee neljarealiseks ppp,0.0066889632107023,0.0016501650165016,75.33003300330094
sularaha kommertspangad pangad,0.0066889632107023,0.0016501650165016,75.33003300330094
lasteaia lasteaias lasteaiakoha,0.0066889632107023,0.0016501650165016,75.33003300330094
oigusriik oigusriigi oigusriigist,0.0066889632107023,0.0016501650165016,75.33003300330094
untso missioonide liikmesusest,0.0066889632107023,0.0016501650165016,75.33003300330094
teekasutustasu autode autod,0.0100334448160535,0.0033003300330033,67.10671067106708
riigikontrolli auditi auditit,0.0133779264214046,0.0049504950495049,62.99504950495065
eelarves riigieelarves reservist,0.0167224080267558,0.0066006600660066,60.52805280528041
kohtunike kohtususteem kohtuniku,0.0100334448160535,0.0016501650165016,83.55335533553404
efsf esm kreekale,0.0100334448160535,0.0016501650165016,83.55335533553404
fie fuusilisest isikust,0.0100334448160535,0.0016501650165016,83.55335533553404
eriarstide eriarstiabi eriarsti,0.0100334448160535,0.0016501650165016,83.55335533553404
ts parvlaeva parvlaevad,0.0133779264214046,0.0033003300330033,75.33003300330017
noukogudesse ariuhingute noukogudes,0.0234113712374581,0.0099009900990099,57.708628005657545
valimisliitude volikogusse volikokku,0.0434782608695652,0.0231023102310231,46.86468646864685
palgalohe soolist meeste,0.0234113712374581,0.0066006600660066,71.8057520037717
lapsetoetust lapsetoetus lapsetoetuse,0.0234113712374581,0.0066006600660066,71.8057520037717
koolis kooli opilased,0.0334448160535117,0.0115511551155115,65.4620462046206
ooteala piiriuletuse piiripunkti,0.0301003344481605,0.0016501650165016,94.51778511184467
elektri elektrit taastuvenergia,0.0702341137123745,0.0198019801980198,71.80575200377177
kaitseliit kaitseliidule kaitseliidu,0.0167224080267558,0.0,100.0
veb fondi uurimiskomisjon,0.0100334448160535,0.0,100.0
varude varud varu,0.0066889632107023,0.0,100.0
rongi rongide rongid,0.0066889632107023,0.0,100.0
piirilepingu piirileping piirilepingut,0.0066889632107023,0.0,100.0
tarbijakaitse amet ametile,0.0066889632107023,0.0,100.0
tulubaasi tasandusfondi tulumaksuosa,0.0066889632107023,0.0,100.0
palgatousu opetajate palgatous,0.0066889632107023,0.0,100.0
id mobiil kaardi,0.0066889632107023,0.0,100.0
koolilouna koolitoidu koolitoit,0.0033444816053511,0.0,100.0
jarviku jarvik maaeluministri,0.0033444816053511,0.0,100.0
rail trassi balticu,0.0033444816053511,0.0,100.0
vanemahuvitist vanemahuvitise vanemahuvitis,0.0033444816053511,0.0,100.0
konkurss konkursi konkurssi,0.0033444816053511,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0033444816053511,0.0,100.0
piirivalve valvamise valvamine,0.0033444816053511,0.0,100.0
elatisraha elatisabi elatise,0.0033444816053511,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0033444816053511,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.0033444816053511,0.0,100.0
treenerite spordi sport,0.0033444816053511,0.0,100.0
