topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
efsf esm kreekale,0.010033444816053512,0.004545454545454545,0.014823261117445839,0.0016501650165016502,0.0016474464579901153
elamisluba elamisloa viisa,0.0,0.0022727272727272726,0.014823261117445839,0.0,0.0016474464579901153
elatisraha elatisabi elatise,0.0033444816053511705,0.0,0.0011402508551881414,0.0,0.0
elektri elektrit taastuvenergia,0.07023411371237458,0.045454545454545456,0.01710376282782212,0.019801980198019802,0.014827018121911038
ene ergma aplaus,0.0,0.0,0.0011402508551881414,0.0,0.0
eriarstide eriarstiabi eriarsti,0.010033444816053512,0.04318181818181818,0.03876852907639681,0.0016501650165016502,0.011532125205930808
erimargistatud kutust kutuse,0.0033444816053511705,0.0022727272727272726,0.002280501710376283,0.0016501650165016502,0.0
eripensioni valjateenitud staazi,0.0,0.0022727272727272726,0.0,0.0,0.0
estonian air airi,0.020066889632107024,0.0,0.012542759407069556,0.01155115511551155,0.0
etv saateid pbk,0.0033444816053511705,0.0022727272727272726,0.0011402508551881414,0.0016501650165016502,0.0
fie fuusilisest isikust,0.010033444816053512,0.0,0.0,0.0016501650165016502,0.0032948929159802307
haale valimispaeval valimiste,0.006688963210702341,0.0,0.01710376282782212,0.006600660066006601,0.0016474464579901153
haaletamissedel haaletamiskasti sedeli,0.0,0.0,0.0011402508551881414,0.0,0.0
haalte kandidaatidele haaletamisest,0.0,0.0,0.0011402508551881414,0.0,0.0
hadaolukorda eriolukord eriolukorra,0.0,0.0022727272727272726,0.0011402508551881414,0.0,0.0
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,0.0,0.0016501650165016502,0.0016474464579901153
hambaravi hammaste hambad,0.0,0.0,0.004561003420752566,0.0,0.0032948929159802307
hanke hankija riigihangete,0.006688963210702341,0.004545454545454545,0.002280501710376283,0.0033003300330033004,0.0032948929159802307
hansson ardo panga,0.0,0.0022727272727272726,0.0,0.0,0.0
hiv narkomaania epideemia,0.0,0.0,0.0,0.0,0.0016474464579901153
hoiu pangad pankade,0.0033444816053511705,0.0,0.0,0.0033003300330033004,0.0
hooldekodus hoolduse hooldekodu,0.0033444816053511705,0.0022727272727272726,0.0034207525655644243,0.0,0.0016474464579901153
hoone rkas hoonet,0.0033444816053511705,0.0022727272727272726,0.0068415051311288486,0.0033003300330033004,0.0032948929159802307
huvigruppe huvigruppide kaasatud,0.006688963210702341,0.01818181818181818,0.014823261117445839,0.024752475247524754,0.016474464579901153
huvihariduse huvitegevuse huviharidus,0.0,0.0,0.004561003420752566,0.0,0.0
id mobiil kaardi,0.006688963210702341,0.0,0.0011402508551881414,0.0,0.0032948929159802307
iive sundimus iibe,0.0033444816053511705,0.006818181818181818,0.009122006841505131,0.0016501650165016502,0.008237232289950576
inflatsiooni inflatsioon hinnatous,0.0,0.0,0.0011402508551881414,0.0,0.0
inimarengu aruanne aruandes,0.010033444816053512,0.0,0.004561003420752566,0.013201320132013201,0.0032948929159802307
jaatmeid liigiti prugi,0.013377926421404682,0.0,0.002280501710376283,0.006600660066006601,0.0032948929159802307
jahimehed jahimeeste jahti,0.026755852842809364,0.011363636363636364,0.0068415051311288486,0.0462046204620462,0.036243822075782535
jalitustegevuse jalitustoimingu sideandmete,0.0033444816053511705,0.0,0.002280501710376283,0.0049504950495049506,0.0
jarviku jarvik maaeluministri,0.0033444816053511705,0.0,0.004561003420752566,0.0,0.006589785831960461
joustumine joustuma joustada,0.010033444816053512,0.006818181818181818,0.005701254275940707,0.013201320132013201,0.009884678747940691
kaasne lisakulutusi riigieelarvele,0.0033444816053511705,0.00909090909090909,0.009122006841505131,0.009900990099009901,0.0016474464579901153
kaibemaksu kaibemaks kaibemaksumaara,0.006688963210702341,0.004545454545454545,0.021664766248574687,0.006600660066006601,0.004942339373970346
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0,0.0011402508551881414,0.0,0.0
kaitseliit kaitseliidule kaitseliidu,0.016722408026755852,0.0,0.0,0.0,0.004942339373970346
kala kalurid kalurite,0.006688963210702341,0.004545454545454545,0.002280501710376283,0.0033003300330033004,0.004942339373970346
