topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
kauguhendus avaksite ettekandjalt,0.0,0.0019880715705765406,0.0,0.004452359750667854,0.0031007751937984496,0.0016638935108153079
keeleoskust oskuse keeleoskuse,0.0,0.0,0.0,0.0,0.0031007751937984496,0.0
keskkonnaameti uhendamine uhendamise,0.0,0.005964214711729622,0.001976284584980237,0.0026714158504007124,0.004651162790697674,0.0
kinnisasja maad maa,0.0,0.011928429423459244,0.009881422924901186,0.018699910952804988,0.020155038759689922,0.016638935108153077
kirik kiriku maarja,0.0,0.0,0.003952569169960474,0.0,0.0,0.0
kodakondsust kodakondsuse kodanikuks,0.0,0.017892644135188866,0.001976284584980237,0.005342831700801425,0.012403100775193798,0.004991680532445923
kodualuse maamaksu maamaksust,0.0,0.0536779324055666,0.1383399209486166,0.05075690115761353,0.018604651162790697,0.036605657237936774
kohtla jarve johvi,0.0,0.0019880715705765406,0.0,0.008014247551202136,0.0015503875968992248,0.0
kohtunike kohtususteem kohtuniku,0.028169014084507043,0.013916500994035786,0.005928853754940711,0.004452359750667854,0.018604651162790697,0.0033277870216306157
koneleja konsensuslikud repliigi,0.014084507042253521,0.0,0.001976284584980237,0.0026714158504007124,0.0,0.0
konkurss konkursi konkurssi,0.0,0.0,0.0,0.0026714158504007124,0.0015503875968992248,0.0
koolilouna koolitoidu koolitoit,0.0,0.0019880715705765406,0.007905138339920948,0.024933214603739984,0.007751937984496124,0.0016638935108153079
koolis kooli opilased,0.0,0.005964214711729622,0.01383399209486166,0.02226179875333927,0.0031007751937984496,0.008319467554076539
koolituse koolitus koolitusele,0.0,0.0,0.0,0.0,0.0015503875968992248,0.0016638935108153079
koosoleku elektrooniline koosolekut,0.0,0.0,0.0,0.0,0.0031007751937984496,0.0
korrata stenogrammist vabandan,0.0,0.0,0.0,0.0008904719501335708,0.0015503875968992248,0.0
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0019880715705765406,0.0,0.0017809439002671415,0.0,0.0
korterelamute kortermajade kredexi,0.0,0.003976143141153081,0.005928853754940711,0.0026714158504007124,0.009302325581395349,0.0066555740432612314
korterid kortereid korterit,0.0,0.003976143141153081,0.003952569169960474,0.004452359750667854,0.0,0.0066555740432612314
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,0.003952569169960474,0.0008904719501335708,0.0015503875968992248,0.0
krimmi agressiooni ukraina,0.014084507042253521,0.003976143141153081,0.003952569169960474,0.003561887800534283,0.007751937984496124,0.008319467554076539
kulukuse krediidi kiirlaenude,0.0,0.0,0.001976284584980237,0.0008904719501335708,0.0015503875968992248,0.0
kusija vastaja vastasin,0.0,0.0019880715705765406,0.0,0.0,0.0015503875968992248,0.0
kusimusena tahtsa tahtsusega,0.0,0.0,0.003952569169960474,0.0017809439002671415,0.0031007751937984496,0.0033277870216306157
kutsehariduse kutseharidus kutsehariduses,0.0,0.0,0.003952569169960474,0.0026714158504007124,0.0015503875968992248,0.0
laari laar kandidatuuri,0.0,0.0,0.0,0.0008904719501335708,0.0015503875968992248,0.0
lae korgepalgaliste lagi,0.0,0.0,0.0,0.0,0.0,0.0016638935108153079
lahususe voimude lahusus,0.0,0.0,0.0,0.0008904719501335708,0.004651162790697674,0.0
lapsetoetust lapsetoetus lapsetoetuse,0.0,0.003976143141153081,0.019762845849802372,0.005342831700801425,0.0015503875968992248,0.03494176372712146
lasteaia lasteaias lasteaiakoha,0.0,0.0019880715705765406,0.019762845849802372,0.012466607301869992,0.009302325581395349,0.004991680532445923
leping ratifitseerida lepinguga,0.0,0.0,0.001976284584980237,0.004452359750667854,0.0015503875968992248,0.004991680532445923
