topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Reformierakond,difference
uuring uuringut uuringu,0.0,0.0031007751937984,-inf
vagivallale vihakone ohutamine,0.0,0.0077519379844961,-inf
vaikesaarte saarte pusiasustusega,0.0,0.0015503875968992,-inf
valimiskomisjon proteste valimiskasti,0.0,0.0031007751937984,-inf
valismaale valjarande valjaranne,0.0,0.0015503875968992,-inf
vallaga vald sauga,0.0,0.0062015503875968,-inf
vanemahuvitist vanemahuvitise vanemahuvitis,0.0,0.0015503875968992,-inf
tooandja tooandjal tootaja,0.0,0.0062015503875968,-inf
psuhhiaatri alaealine psuhhiaatrilist,0.0,0.0046511627906976,-inf
teenistuse teenistuses avalikus,0.0,0.0062015503875968,-inf
teede teehoiuks teedele,0.0,0.0015503875968992,-inf
normitehnika mojude eeskiri,0.0,0.0077519379844961,-inf
muundatud geneetiliselt gmo,0.0,0.0015503875968992,-inf
kohtla jarve johvi,0.0,0.0015503875968992,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0015503875968992,-inf
opositsioonis koalitsiooni opositsiooni,0.0,0.0077519379844961,-inf
oppelaenu sugava puudega,0.0,0.0031007751937984,-inf
otsevalimise presidenti presidendi,0.0,0.0046511627906976,-inf
palgalohe soolist meeste,0.0,0.0124031007751937,-inf
palgatousu opetajate palgatous,0.0,0.0046511627906976,-inf
pensioni pension sammas,0.0,0.0093023255813953,-inf
pensionifondide pensionifondid fondid,0.0,0.0062015503875968,-inf
pensioniiga pensioniea eluiga,0.0,0.0015503875968992,-inf
pensionitous pensionitousu pension,0.0,0.0062015503875968,-inf
piima toorpiima toodangut,0.0,0.0046511627906976,-inf
piirilepingu piirileping piirilepingut,0.0,0.0015503875968992,-inf
piirivalve valvamise valvamine,0.0,0.0015503875968992,-inf
poolte kokkuleppel huvitise,0.0,0.0015503875968992,-inf
muugimaksu muugimaks paadimaksu,0.0,0.0031007751937984,-inf
ootuse oigusparase oiguskindluse,0.0,0.0046511627906976,-inf
post posti omniva,0.0,0.0015503875968992,-inf
omandireformi tagastatud omandireform,0.0,0.0031007751937984,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0015503875968992,-inf
leping ratifitseerida lepinguga,0.0,0.0015503875968992,-inf
maantee neljarealiseks ppp,0.0,0.0015503875968992,-inf
maavalitsuste maavalitsused maakonna,0.0,0.0031007751937984,-inf
majandusaasta koondaruanne raamatupidamise,0.0,0.0077519379844961,-inf
virumaale virumaa toostusalade,0.0,0.0031007751937984,-inf
memorandumi moistmise memorandum,0.0,0.0031007751937984,-inf
mes maale maaelu,0.0,0.0015503875968992,-inf
missiooni missioonile missioon,0.0,0.0031007751937984,-inf
raamatukogu pimedate raamatukogude,0.0,0.0015503875968992,-inf
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0,0.0015503875968992,-inf
rail trassi balticu,0.0,0.0015503875968992,-inf
ametipalkade riigiteenijate korgemate,0.0,0.0062015503875968,-inf
eripensioni valjateenitud staazi,0.0,0.0015503875968992,-inf
erimargistatud kutust kutuse,0.0,0.0155038759689922,-inf
elamisluba elamisloa viisa,0.0,0.0031007751937984,-inf
efsf esm kreekale,0.0,0.0465116279069767,-inf
eelarves riigieelarves reservist,0.0,0.0093023255813953,-inf
eelarvele kulude riigieelarvele,0.0,0.0062015503875968,-inf
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0031007751937984,-inf
danske filiaali rahapesu,0.0,0.0015503875968992,-inf
arengufond arengufondi arengufondis,0.0,0.0046511627906976,-inf
apteeke apteegid apteekide,0.0,0.0046511627906976,-inf
annetused annetusi annetuste,0.0,0.0015503875968992,-inf
annetus erjk annetuse,0.0,0.0046511627906976,-inf
alkoholi kange lahja,0.0,0.0062015503875968,-inf
reklaami reklaam alkoholireklaam,0.0,0.0015503875968992,-inf
abielu kooselu samasooliste,0.0,0.0031007751937984,-inf
kandideerima ametikohale kandidaatide,0.0,0.0031007751937984,-inf
kantsler kantsleri riigisekretar,0.0,0.0015503875968992,-inf
inflatsiooni inflatsioon hinnatous,0.0,0.0046511627906976,-inf
kasvavad tuleval kasv,0.0,0.0093023255813953,-inf
konkurss konkursi konkurssi,0.0,0.0015503875968992,-inf
koolituse koolitus koolitusele,0.0,0.0015503875968992,-inf
kulukuse krediidi kiirlaenude,0.0,0.0015503875968992,-inf
korrata stenogrammist vabandan,0.0,0.0015503875968992,-inf
karistuse karistus tingimisi,0.0,0.0062015503875968,-inf
kusija vastaja vastasin,0.0,0.0015503875968992,-inf
koosoleku elektrooniline koosolekut,0.0,0.0031007751937984,-inf
estonian air airi,0.0,0.0031007751937984,-inf
fie fuusilisest isikust,0.0,0.013953488372093,-inf
haale valimispaeval valimiste,0.0,0.0015503875968992,-inf
haalte kandidaatidele haaletamisest,0.0,0.0015503875968992,-inf
riigiabi komisjonilt loa,0.0,0.0015503875968992,-inf
riigiloivude riigiloivud riigiloivu,0.0,0.0015503875968992,-inf
riigipalgaliste riigisektoris koondada,0.0,0.0031007751937984,-inf
riigipuha puhade tahtpaevade,0.0,0.0062015503875968,-inf
salvestisi salvestised salvestiste,0.0,0.0077519379844961,-inf
skais arendused infosusteemide,0.0,0.0015503875968992,-inf
slovakkia ungari portugal,0.0,0.0093023255813953,-inf
soita jalakaija konniteel,0.0,0.0031007751937984,-inf
taanis saksamaal hollandis,0.0,0.013953488372093,-inf
tantsupeo laulu traditsiooni,0.0,0.0015503875968992,-inf
tapsustatakse ajakohastatakse nouete,0.0,0.0031007751937984,-inf
teekasutustasu autode autod,0.0,0.0015503875968992,-inf
lapsetoetust lapsetoetus lapsetoetuse,0.0,0.0015503875968992,-inf
volakirjade keskpank volakirju,0.0,0.013953488372093,-inf
laari laar kandidatuuri,0.0,0.0015503875968992,-inf
kandidaati kandidaat valituks,0.0,0.0031007751937984,-inf
kandidaadi kandidaati kandidaat,0.0,0.0046511627906976,-inf
kaasne lisakulutusi riigieelarvele,0.0,0.0062015503875968,-inf
joustumine joustuma joustada,0.0,0.0170542635658914,-inf
jarviku jarvik maaeluministri,0.0,0.0015503875968992,-inf
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0077519379844961,-inf
jaatmeid liigiti prugi,0.0,0.0015503875968992,-inf
lahususe voimude lahusus,0.0,0.0046511627906976,-inf
hanke hankija riigihangete,0.0,0.0015503875968992,-inf
hambaravi hammaste hambad,0.0,0.0015503875968992,-inf
volitust kaasuses jarvik,0.0,0.0,
