topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraadid,difference
katteallikas katteallikaid katteallikat,0.0138339920948616,0.0199667221297836,-44.33087710957923
eriarstide eriarstiabi eriarsti,0.0197628458498023,0.0266222961730449,-34.7088186356077
eelarves riigieelarves reservist,0.0098814229249011,0.0149750415973377,-51.547420965058855
ulejaagis struktuurses struktuurse,0.0098814229249011,0.0149750415973377,-51.547420965058855
vaikesaarte saarte pusiasustusega,0.0059288537549407,0.0099833610648918,-68.38602329450869
korterid kortereid korterit,0.0039525691699604,0.0066555740432612,-68.38602329451152
opositsioonis koalitsiooni opositsiooni,0.0039525691699604,0.0066555740432612,-68.38602329451152
rail trassi balticu,0.0059288537549407,0.0083194675540765,-40.32168607875725
huvigruppe huvigruppide kaasatud,0.0059288537549407,0.0083194675540765,-40.32168607875725
haale valimispaeval valimiste,0.0019762845849802,0.0033277870216306,-68.38602329451152
uuring uuringut uuringu,0.0019762845849802,0.0033277870216306,-68.38602329451152
aasia aasias saatkonna,0.0019762845849802,0.0033277870216306,-68.38602329451152
voidusamba vabadussoja uurimiskomisjon,0.0019762845849802,0.0033277870216306,-68.38602329451152
oppelaenu sugava puudega,0.0019762845849802,0.0033277870216306,-68.38602329451152
ametiuhingute tooandjate keskliit,0.0019762845849802,0.0033277870216306,-68.38602329451152
kaibemaksu kaibemaks kaibemaksumaara,0.0039525691699604,0.0049916805324459,-26.289517470883634
kaitsekulud kaitsekulutused kaitsekulude,0.0039525691699604,0.0049916805324459,-26.289517470883634
kaasne lisakulutusi riigieelarvele,0.0039525691699604,0.0049916805324459,-26.289517470883634
psuhhiaatri alaealine psuhhiaatrilist,0.0039525691699604,0.0049916805324459,-26.289517470883634
piirilepingu piirileping piirilepingut,0.0039525691699604,0.0049916805324459,-26.289517470883634
volakirjade keskpank volakirju,0.0059288537549407,0.0066555740432612,-12.257348863005799
korterelamute kortermajade kredexi,0.0059288537549407,0.0066555740432612,-12.257348863005799
riigikontrolli auditi auditit,0.0079051383399209,0.0083194675540765,-5.241264559068385
ene ergma aplaus,0.0019762845849802,0.0016638935108153,15.806988352744241
moisteid moiste moisted,0.0019762845849802,0.0016638935108153,15.806988352744241
piima toorpiima toodangut,0.0019762845849802,0.0016638935108153,15.806988352744241
normitehnika mojude eeskiri,0.0019762845849802,0.0016638935108153,15.806988352744241
reklaami reklaam alkoholireklaam,0.0019762845849802,0.0016638935108153,15.806988352744241
samba sammas sambasse,0.0019762845849802,0.0016638935108153,15.806988352744241
soita jalakaija konniteel,0.0019762845849802,0.0016638935108153,15.806988352744241
puude raskusastme puuet,0.0019762845849802,0.0016638935108153,15.806988352744241
etv saateid pbk,0.0019762845849802,0.0016638935108153,15.806988352744241
elatisraha elatisabi elatise,0.0019762845849802,0.0016638935108153,15.806988352744241
kandidaadi kandidaati kandidaat,0.0019762845849802,0.0016638935108153,15.806988352744241
oigusloome oigusloomes oiguspoliitika,0.0039525691699604,0.0033277870216306,15.806988352744241
riigiloivude riigiloivud riigiloivu,0.0039525691699604,0.0033277870216306,15.806988352744241
kusimusena tahtsa tahtsusega,0.0039525691699604,0.0033277870216306,15.806988352744241
piirivalve valvamise valvamine,0.0059288537549407,0.0049916805324459,15.806988352745655
pensionifondide pensionifondid fondid,0.0059288537549407,0.0049916805324459,15.806988352745655
terviseandmed isikuandmeid terviseandmeid,0.0059288537549407,0.0049916805324459,15.806988352745655
ajakirjandus ajakirjanduse ajakirjandust,0.0059288537549407,0.0049916805324459,15.806988352745655
vallaga vald sauga,0.0059288537549407,0.0049916805324459,15.806988352745655
karistuse karistus tingimisi,0.0059288537549407,0.0049916805324459,15.806988352745655
valimisliitude volikogusse volikokku,0.0079051383399209,0.0066555740432612,15.806988352745293
