topic_words3,Isamaa,Reformierakond,difference
riigireformi riigireformist riigireform,0.0009505703422053,0.0019193857965451,-101.91938579654946
kandideerima ametikohale kandidaatide,0.0009505703422053,0.0019193857965451,-101.91938579654946
keeleoskust oskuse keeleoskuse,0.0009505703422053,0.0019193857965451,-101.91938579654946
kutsehariduse kutseharidus kutsehariduses,0.0009505703422053,0.0019193857965451,-101.91938579654946
tervist tervis tervisega,0.0009505703422053,0.0019193857965451,-101.91938579654946
pealinnast tallinnast viljandisse,0.0009505703422053,0.0019193857965451,-101.91938579654946
toovoimereformi toovoimega toovoimereform,0.0009505703422053,0.0019193857965451,-101.91938579654946
eelarvele kulude riigieelarvele,0.0009505703422053,0.0019193857965451,-101.91938579654946
psuhhiaatri alaealine psuhhiaatrilist,0.0009505703422053,0.0019193857965451,-101.91938579654946
hoone rkas hoonet,0.0009505703422053,0.0019193857965451,-101.91938579654946
kodualuse maamaksu maamaksust,0.0114068441064638,0.0134357005758157,-17.786308381318445
arengufond arengufondi arengufondis,0.0028517110266159,0.0038387715930902,-34.612923864366316
miili baasvorgu lairiba,0.0028517110266159,0.0038387715930902,-34.612923864366316
virumaale virumaa toostusalade,0.0028517110266159,0.0038387715930902,-34.612923864366316
lipu laevu kaubalaeva,0.0028517110266159,0.0038387715930902,-34.612923864366316
elektri elektrit taastuvenergia,0.0522813688212927,0.055662188099808,-6.466585238178355
lisaeelarve lisaeelarves lisaeelarvega,0.0047528517110266,0.0057581573896353,-21.151631477927104
raamatukogu pimedate raamatukogude,0.0047528517110266,0.0057581573896353,-21.151631477927104
huvihariduse huvitegevuse huviharidus,0.0047528517110266,0.0057581573896353,-21.151631477927104
lasteaia lasteaias lasteaiakoha,0.0085551330798479,0.0095969289827255,-12.177436553635946
salvestisi salvestised salvestiste,0.0095057034220532,0.0095969289827255,-0.9596928982725871
alkoholi kange lahja,0.0057034220532319,0.0057581573896353,-0.9596928982729402
koolilouna koolitoidu koolitoit,0.0038022813688212,0.0038387715930902,-0.9596928982747289
riigiloivude riigiloivud riigiloivu,0.0019011406844106,0.0019193857965451,-0.9596928982747289
tantsupeo laulu traditsiooni,0.0019011406844106,0.0019193857965451,-0.9596928982747289
nord stream streami,0.0019011406844106,0.0019193857965451,-0.9596928982747289
piirivalve valvamise valvamine,0.0019011406844106,0.0019193857965451,-0.9596928982747289
pensioniiga pensioniea eluiga,0.0019011406844106,0.0019193857965451,-0.9596928982747289
pollumeestele pollumehi pollumehed,0.0019011406844106,0.0019193857965451,-0.9596928982747289
jaatmeid liigiti prugi,0.0019011406844106,0.0019193857965451,-0.9596928982747289
pensionifondide pensionifondid fondid,0.0019011406844106,0.0019193857965451,-0.9596928982747289
piima toorpiima toodangut,0.0019011406844106,0.0019193857965451,-0.9596928982747289
id mobiil kaardi,0.0019011406844106,0.0019193857965451,-0.9596928982747289
uliopilased uliopilastele uliopilaste,0.0199619771863117,0.019193857965451,3.847911525454583
tulubaasi omavalitsustele omavalitsuste,0.0085551330798479,0.0076775431861804,10.258050757091233
moisteid moiste moisted,0.0066539923954372,0.0057581573896353,13.463120372908694
prokuratuur prokuratuuri prokuror,0.0047528517110266,0.0038387715930902,19.232245681381922
hadaolukorda eriolukord eriolukorra,0.0047528517110266,0.0038387715930902,19.232245681381922
ametiuhingute tooandjate keskliit,0.0047528517110266,0.0038387715930902,19.232245681381922
aituma infotundi jahimehed,0.0028517110266159,0.0019193857965451,32.693538067816846
lahususe voimude lahusus,0.0028517110266159,0.0019193857965451,32.693538067816846
vee monopolide veeteenuse,0.0028517110266159,0.0019193857965451,32.693538067816846
valijate erakonda valijaid,0.0028517110266159,0.0019193857965451,32.693538067816846
teadus teaduse arendustegevuse,0.0028517110266159,0.0019193857965451,32.693538067816846
teenuseid teenused teenust,0.0028517110266159,0.0019193857965451,32.693538067816846
keskkonnaameti uhendamine uhendamise,0.0028517110266159,0.0019193857965451,32.693538067816846
samba sammas sambasse,0.0028517110266159,0.0019193857965451,32.693538067816846
pagulasi pagulased pagulaste,0.0161596958174904,0.0134357005758157,16.856723495540002
etv saateid pbk,0.0057034220532319,0.0038387715930902,32.69353806781803
kala kalurid kalurite,0.0085551330798479,0.0057581573896353,32.69353806781844
tooandja tooandjal tootaja,0.0038022813688212,0.0019193857965451,49.52015355086263
kodakondsust kodakondsuse kodanikuks,0.0038022813688212,0.0019193857965451,49.52015355086263
jarviku jarvik maaeluministri,0.0038022813688212,0.0019193857965451,49.52015355086263
loomi loomade loomad,0.0038022813688212,0.0019193857965451,49.52015355086263
kaasne lisakulutusi riigieelarvele,0.0038022813688212,0.0019193857965451,49.52015355086263
liitlaste ohutorje keskmaa,0.0180608365019011,0.0134357005758157,25.60864733811501
rail trassi balticu,0.0066539923954372,0.0038387715930902,42.30874691527246
kauguhendus avaksite ettekandjalt,0.0066539923954372,0.0038387715930902,42.30874691527246
terviseandmed isikuandmeid terviseandmeid,0.0095057034220532,0.0057581573896353,39.42418426103645
kaitseliit kaitseliidule kaitseliidu,0.0095057034220532,0.0057581573896353,39.42418426103645
konkurss konkursi konkurssi,0.0047528517110266,0.0019193857965451,59.61612284069096
kaitsekulud kaitsekulutused kaitsekulude,0.0047528517110266,0.0019193857965451,59.61612284069096
hooldekodus hoolduse hooldekodu,0.0047528517110266,0.0019193857965451,59.61612284069096
kinnisasja maad maa,0.0076045627376425,0.0038387715930902,49.5201535508633
palgatousu opetajate palgatous,0.0057034220532319,0.0019193857965451,66.34676903390901
vanemahuvitist vanemahuvitise vanemahuvitis,0.0057034220532319,0.0019193857965451,66.34676903390901
