topic_words3,EKRE,Fraktsioonitud,Isamaa,Keskerakond,Reformierakond,Sotsiaaldemokraadid
hiv narkomaania epideemia,0.002336448598130841,0.0,0.0,0.0,0.0019193857965451055,0.0
hoiu pangad pankade,0.000778816199376947,0.0,0.0,0.005747126436781609,0.0,0.0
hooldekodus hoolduse hooldekodu,0.000778816199376947,0.0,0.004752851711026616,0.005747126436781609,0.0019193857965451055,0.009940357852882704
hoone rkas hoonet,0.00778816199376947,0.0,0.0009505703422053232,0.0,0.0019193857965451055,0.003976143141153081
humni humn laulda,0.003115264797507788,0.0,0.0,0.0,0.0019193857965451055,0.0019880715705765406
huvigruppe huvigruppide kaasatud,0.007009345794392523,0.015384615384615385,0.005703422053231939,0.040229885057471264,0.013435700575815739,0.009940357852882704
huvihariduse huvitegevuse huviharidus,0.000778816199376947,0.0,0.004752851711026616,0.0,0.005758157389635317,0.02584493041749503
id mobiil kaardi,0.0,0.0,0.0019011406844106464,0.0,0.0019193857965451055,0.0019880715705765406
idapiiri piiririba valjaehitamine,0.003115264797507788,0.0,0.0009505703422053232,0.0,0.0,0.0
iive sundimus iibe,0.008566978193146417,0.0,0.0038022813688212928,0.0,0.005758157389635317,0.0
inflatsiooni inflatsioon hinnatous,0.02881619937694704,0.03076923076923077,0.013307984790874524,0.022988505747126436,0.03262955854126679,0.033797216699801194
inimarengu aruanne aruandes,0.000778816199376947,0.0,0.0009505703422053232,0.0,0.0,0.0
jaatmeid liigiti prugi,0.001557632398753894,0.0,0.0019011406844106464,0.0,0.0019193857965451055,0.0
jahimehed jahimeeste jahti,0.000778816199376947,0.0,0.0,0.0,0.0,0.0
jarviku jarvik maaeluministri,0.014018691588785047,0.0,0.0038022813688212928,0.0,0.0019193857965451055,0.0
joustumine joustuma joustada,0.006230529595015576,0.0,0.008555133079847909,0.0,0.013435700575815739,0.0
kaasne lisakulutusi riigieelarvele,0.003894080996884735,0.0,0.0038022813688212928,0.005747126436781609,0.0019193857965451055,0.0019880715705765406
kaibemaksu kaibemaks kaibemaksumaara,0.006230529595015576,0.015384615384615385,0.008555133079847909,0.005747126436781609,0.0,0.003976143141153081
kaitsekulud kaitsekulutused kaitsekulude,0.000778816199376947,0.0,0.004752851711026616,0.005747126436781609,0.0019193857965451055,0.0019880715705765406
