,female_effect_size,female_p_value
haridusele,0.25569623708724976,0.2292934722727794
küsimustest,-0.18188618123531342,0.7015376845681299
töö-,0.5224250555038452,0.06152902691523887
sissetulekute,0.08550732582807541,0.4032026807175825
esitamiseks,0.36797693371772766,0.13956614791468946
vaktsiini,0.3795856833457947,0.13152487235859667
põllumajanduspoliitika,0.04170567914843559,0.4507324584541983
väärtuste,-0.082390695810318,0.5953469868601694
partner,-0.2593631446361542,0.7744576769147204
püsti,-0.30284857749938965,0.8096608137987173
läbipaistev,0.07420514523983002,0.41564611142874797
tänulik,-0.37679392099380493,0.8646971905848672
elluviimiseks,0.05985810607671738,0.4308904809835743
piire,-0.31451764702796936,0.8265456798030539
vajadused,0.15165108442306519,0.3341620180728947
õppetoetuste,0.4125628173351288,0.11849387298509795
määramise,0.12834693491458893,0.3510928084205974
turvaline,0.16821320354938507,0.31239528983055576
loeb,-0.20892925560474396,0.7301838460017653
ministrilt,0.15647250413894653,0.3283572922271686
sõnastada,-0.14485123753547668,0.6615092587030822
karistuse,0.1452685296535492,0.3383860302907199
sõnavõtt,-0.11060302704572678,0.6281116394577588
marek,-0.34310007095336914,0.840787480827065
osalise,0.5319104194641113,0.057359642753779805
ettepanekutest,-0.3439573645591736,0.8395244407179531
mõttega,-0.20431745052337646,0.7199264423222291
suhelda,0.11637738347053528,0.37010930629590844
suurendatakse,0.27626726031303406,0.21270644496122149
vastustest,0.24782103300094604,0.23806479179244033
juurdepääsu,0.2584260404109955,0.2306373039633609
missioonil,0.04422307014465332,0.4560948557326897
siht,-0.1727382391691208,0.690603736960403
kasumi,0.08697357028722763,0.39782563255872894
vähenema,0.5769884586334229,0.046131925022269926
võtsin,-0.11394071578979492,0.6291522693379101
õieti,-0.20921199023723602,0.7279839509462755
riigilõivu,0.3325119912624359,0.16593433154086656
avaldust,0.07645146548748016,0.41822565602638373
ainete,0.22040870785713196,0.2619218488309094
detsember,0.12529489398002625,0.3540624868635168
teemale,-0.08452975004911423,0.5987109005484836
märk,-0.2987770736217499,0.8102510128926491
küsisime,0.3633391261100769,0.1473697613179279
põhjustatud,-0.004814933054149151,0.507931729704264
keskkonnamõju,0.19241172075271606,0.2892698233847777
riiklikud,0.26871296763420105,0.21748112677981524
augustil,-0.13341110944747925,0.6501435991280314
tõniste,-0.30412757396698,0.8146335487375803
keeld,0.013660409487783909,0.48806989434696235
tunnustan,-0.5539518594741821,0.946213431290115
ülesannet,0.10755813121795654,0.3782901771837116
valitakse,0.4224308431148529,0.11020844060680202
valitsuste,-0.39333903789520264,0.8706537575521991
regioonis,-0.024173583835363388,0.5280255140401816
tendents,0.021354299038648605,0.46814348711513065
liidule,-0.26363980770111084,0.7748799957616642
patsiendi,0.6753718256950378,0.022199172818790247
valima,0.5102351307868958,0.0683895903915901
juske,-0.25979703664779663,0.7737752253633919
taotlema,0.9717726111412048,0.002300503834079648
võimalustest,0.0894370898604393,0.39476767322998485
sularaha,0.3971785008907318,0.12610702704160137
partnerid,-0.10562063753604889,0.6130540075137733
reservide,-0.057420674711465836,0.5699772738109732
möönan,0.17216944694519043,0.3094416676626549
pikemas,0.2954561114311218,0.19719183028271947
talituse,-0.19815552234649658,0.7215849056035162
mängu,-0.4749540686607361,0.9167000963358063
majandusse,0.014028125442564487,0.4817251302318283
seitsmenda,-0.17178300023078918,0.6934721382961768
õiguses,0.054031386971473694,0.4424798089753651
jätkusuutlikkuse,0.19622813165187836,0.28628987533628125
78,0.11385457962751389,0.37022461564232745
välisministeerium,-0.12095774710178375,0.6424619639655156
