,female_effect_size,female_p_value
toitlustamise,0.2947796583175659,0.197071650710823
magistriõppes,0.6256358623504639,0.03569219050039196
vestluste,0.17897069454193115,0.30353007224469075
eelpool,0.056393906474113464,0.4413805238158488
logopeed,0.06825924664735794,0.41967951277453475
ujuda,-0.15977773070335388,0.6869549457281258
mugavad,-0.010286855511367321,0.5085818777209419
täisliikmeks,-0.008802145719528198,0.5081333376184065
eelarverea,-0.328465074300766,0.8306149266654017
jagunemist,0.2453901618719101,0.2367706870915538
506,-0.08934120088815689,0.6043112635857062
lõimunud,0.04520346596837044,0.44964869770683646
eesrindlik,-0.14961202442646027,0.666706197255555
täiendusõpet,0.24002428352832794,0.24136479640746433
rehve,-0.7321653962135315,0.9834193544599524
444,0.2493373602628708,0.23580898878971546
majanduskoostöö,-0.12066951394081116,0.6404084270211313
stabiilsusmehhanismis,-0.11458727717399597,0.6296876734694773
takistuste,0.14999064803123474,0.33076559583352727
kodanikuühiskonnast,0.02946663834154606,0.46524727359927764
võimsam,0.07391897588968277,0.4089322154884527
ringhäälingunõukogu,-0.11527176201343536,0.6315271456751109
vihakõnet,-0.24620608985424042,0.7646788420641331
börsihinna,0.06948181986808777,0.4278080110386119
ärajätmist,0.13058088719844818,0.3457955059304445
võlgasid,-0.23434756696224213,0.7555193671781277
jäetaks,0.0602821484208107,0.43004905320541253
vabalevis,-0.09719812124967575,0.6094372766788234
ämaris,-0.40116411447525024,0.8794371107467003
lisanduva,0.14784908294677734,0.3249588502380226
paigaldatakse,0.07111497968435287,0.4233203447598384
tegudeni,0.02598498947918415,0.4671486440081326
välispäritolu,0.05169329792261124,0.4413085544158717
pagulastest,0.0021490356884896755,0.4929001245798734
it-sektoris,0.04168706759810448,0.4560069713079523
tõrjumine,-0.11957072466611862,0.6391341872206128
välistudengeid,0.10377782583236694,0.37732130257117247
sihtasutustes,0.042383480817079544,0.4440078738738089
intressitulu,-0.4278884828090668,0.8930368076094389
peitubki,-0.031814225018024445,0.5376904597414983
kulupõhised,0.08084158599376678,0.4021984375262728
eksisteerimise,0.23238162696361542,0.24780642095450411
naudime,-0.015208413824439049,0.5181739657566715
530,-0.14155378937721252,0.6595720668058387
ütlebki,-0.026091264560818672,0.5259633390110291
põhja-tallinna,0.2101297825574875,0.2687864873327369
kolmandikule,0.17348258197307587,0.3141369309148039
pereõde,0.453963041305542,0.09476446556090456
tegevaid,-0.1006326973438263,0.6122937630745753
nõutust,0.02818121574819088,0.46891697732791626
pisikest,-0.22514362633228302,0.7385896192951298
765,0.07880434393882751,0.40627176162413015
patrullide,0.21325497329235077,0.26822367867707964
riigikogulaste,0.08640379458665848,0.39721696339469537
tööstusala,-0.01010268647223711,0.5101578775921092
vedajate,0.07234996557235718,0.4236269503445991
ohustaks,0.18820884823799133,0.29069034917135284
näites,-0.4160684645175934,0.887235917458517
põllumajanduslik,0.05998438969254494,0.4261271207937497
astmeid,-0.3724481165409088,0.860556696390474
väikesaari,0.07950420677661896,0.4125697695544295
ratifitseerimisele,0.027544157579541206,0.466684985504496
eritoidu,0.3918709456920624,0.1275980737393183
äärmus,-0.6576486825942993,0.972117204349566
ülesandel,-0.12325002998113632,0.6372265222556482
423,0.16012215614318848,0.3172368556616846
vabadel,-0.1582040935754776,0.6787868567788335
lend,-0.5962246656417847,0.9600376126959486
toitlustamine,0.08552095293998718,0.3940184984927232
lennud,-0.28358694911003113,0.7942642902617009
752,0.18354283273220062,0.2872206223955889
toitlustamist,0.2592880129814148,0.23139760868453285
eesistujale,-0.18156301975250244,0.7059160478439975
netovara,-0.0013393923873081803,0.49681317843828665
rakendatavate,0.20128558576107025,0.2764150507130614
eraellu,0.14561684429645538,0.3333037715647067
inimõigustest,0.04198655113577843,0.44919050587977616
kooseluleping,0.25565746426582336,0.23028345629772617
netosissetulek,-0.08045193552970886,0.5915048134536147
572,0.28095191717147827,0.20246369663870312
töölisi,-0.09804990887641907,0.6155727685013903
abipolitseinikuks,0.31844639778137207,0.1728068362904258
seinale,-0.300604909658432,0.8100029637010218
ustav,0.18528836965560913,0.2998079501259697
koolitoidule,0.1366247534751892,0.3478245917967353
kindlustusmaaklerite,0.15543892979621887,0.3237258381437307
megavatt-tundi,0.018749529495835304,0.47970983211999774
kohatasust,0.008317484520375729,0.49478325769815124
miljardini,-0.12257412075996399,0.6363386392937477
399,-0.04257122799754143,0.5490540205657798
teenusel,0.13564437627792358,0.3455592232531908
pudru,-0.10690709948539734,0.6209810340406066
lääne-tallinna,0.146744966506958,0.3298086473853131
koroonaviirust,-0.05107484757900238,0.5551688233766459
riigivalitsemine,-0.0219330582767725,0.5229464855744503
tööturuameti,0.3369976580142975,0.16228603463534097
taasiseseisvusaja,-0.21155007183551788,0.725861917440842
lesepensioni,0.1269354671239853,0.3545190944446315
loot,-0.8630891442298889,0.9936496207972052
keskkonnainspektsioonil,0.09255323559045792,0.3898614038154723
sinnapaika,0.23293116688728333,0.25216225291186745
lennukompanii,-1.0729773044586182,0.999158831855235
märgistamist,0.07376711815595627,0.41544092545889333
ainekava,0.32558053731918335,0.17010873498215506
lõdvendada,-0.16123205423355103,0.6807565776546449
õigusloomepoliitika,-0.05859014764428139,0.5669352902730347
tegevuspõhisele,0.13224096596240997,0.351613760462417
palgatasemega,-0.032798923552036285,0.5407784704265779
üldhooldusteenuse,0.40563374757766724,0.11685922991226083
valetamises,0.1552191823720932,0.3221611701074132
kliimale,0.16528695821762085,0.30919907770721977
taastuks,0.0773693323135376,0.4124719960386549
rahvuslus,-0.23508408665657043,0.754417671555961
piirivalves,0.07860560715198517,0.41399608131165644
viipekeel,-0.06480925530195236,0.579378868921382
aktsiisilaekumine,-0.17550380527973175,0.6912759977755463
praktikuna,-0.03842649608850479,0.5441597751075151
sorte,0.31485801935195923,0.17697140992356997
huvitegevusse,0.2903909385204315,0.20375537377999908
jagaks,-0.057365503162145615,0.5659863116566076
piirilepete,0.186038538813591,0.29120508391714295
katkestamisega,0.0615517720580101,0.4362940091631844
"4,47",-0.05947304144501686,0.568962980014198
lastekaitsetöötajaid,0.17149223387241364,0.3066222794378104
noortegarantii,0.3236131966114044,0.17427562788347573
võrguteenuste,0.23292335867881775,0.24404623218223964
postiliidu,-0.049796245992183685,0.5613175796781726
eestlasena,-0.3325169086456299,0.8386195973199916
