topic_words3,Isamaa,Sotsiaaldemokraadid,difference
aituma infotundi jahimehed,0.0308641975308641,0.0030864197530864,90.00000000000003
uhistranspordi uhistransport uhistransporti,0.0781893004115226,0.0061728395061728,92.1052631578948
joustumine joustuma joustada,0.0164609053497942,0.0,100.0
omandireformi tagastatud omandireform,0.0123456790123456,0.0,100.0
eripensioni valjateenitud staazi,0.0102880658436214,0.0,100.0
elamisluba elamisloa viisa,0.0102880658436214,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0102880658436214,0.0,100.0
moisteid moiste moisted,0.0102880658436214,0.0,100.0
maksuamet tolliamet tolliameti,0.0082304526748971,0.0,100.0
kinnisasja maad maa,0.0082304526748971,0.0,100.0
riigiabi komisjonilt loa,0.0082304526748971,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0061728395061728,0.0,100.0
kantsler kantsleri riigisekretar,0.0061728395061728,0.0,100.0
tapsustatakse ajakohastatakse nouete,0.0061728395061728,0.0,100.0
kasvavad tuleval kasv,0.0061728395061728,0.0,100.0
tarbijakaitse amet ametile,0.0061728395061728,0.0,100.0
arengukavad arengukavade pohialuste,0.0061728395061728,0.0,100.0
rail trassi balticu,0.0061728395061728,0.0,100.0
konkurss konkursi konkurssi,0.0061728395061728,0.0,100.0
korterid kortereid korterit,0.0061728395061728,0.0,100.0
haaletamissedel haaletamiskasti sedeli,0.0061728395061728,0.0,100.0
etv saateid pbk,0.0041152263374485,0.0,100.0
kaibemaksu kaibemaks kaibemaksumaara,0.0041152263374485,0.0,100.0
louis freeh kremli,0.0041152263374485,0.0,100.0
mes maale maaelu,0.0041152263374485,0.0,100.0
normitehnika mojude eeskiri,0.0041152263374485,0.0,100.0
tervist tervis tervisega,0.0041152263374485,0.0,100.0
piima toorpiima toodangut,0.0041152263374485,0.0,100.0
fie fuusilisest isikust,0.0041152263374485,0.0,100.0
idapiiri piiririba valjaehitamine,0.0041152263374485,0.0,100.0
volakirjade keskpank volakirju,0.0041152263374485,0.0,100.0
teede teehoiuks teedele,0.0041152263374485,0.0,100.0
skais arendused infosusteemide,0.0041152263374485,0.0,100.0
aasia aasias saatkonna,0.0041152263374485,0.0,100.0
vagivallale vihakone ohutamine,0.0041152263374485,0.0,100.0
teekasutustasu autode autod,0.0041152263374485,0.0,100.0
tooandja tervisesse maksuvabalt,0.0020576131687242,0.0,100.0
tooandja tooandjal tootaja,0.0020576131687242,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0020576131687242,0.0,100.0
muundatud geneetiliselt gmo,0.0020576131687242,0.0,100.0
objekti anu raua,0.0020576131687242,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0020576131687242,0.0,100.0
pagulasi pagulased pagulaste,0.0020576131687242,0.0,100.0
kaitseliit kaitseliidule kaitseliidu,0.0020576131687242,0.0,100.0
piirikontrolli schengeni valispiiri,0.0020576131687242,0.0,100.0
domeenide domeeni interneti,0.0020576131687242,0.0,100.0
kauguhendus avaksite ettekandjalt,0.0020576131687242,0.0,100.0
kirik kiriku maarja,0.0020576131687242,0.0,100.0
tulubaasi omavalitsustele omavalitsuste,0.0020576131687242,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0020576131687242,0.0,100.0
talupidajate kaubanduskoja kaubanduskoda,0.0020576131687242,0.0,100.0
inimarengu aruanne aruandes,0.0020576131687242,0.0,100.0
annetused annetusi annetuste,0.0020576131687242,0.0,100.0
piirilepingu piirileping piirilepingut,0.0020576131687242,0.0,100.0
sigade katku katk,0.0020576131687242,0.0,100.0
