topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,difference
memorandumi moistmise memorandum,0.0014409221902017,0.0013175230566534,8.563899868252191
hadaolukorda eriolukord eriolukorra,0.0014409221902017,0.0013175230566534,8.563899868252191
samba sammas sambasse,0.0014409221902017,0.0013175230566534,8.563899868252191
korrata stenogrammist vabandan,0.0014409221902017,0.0013175230566534,8.563899868252191
katteallikas katteallikaid katteallikat,0.0014409221902017,0.0013175230566534,8.563899868252191
kala kalurid kalurite,0.0014409221902017,0.0013175230566534,8.563899868252191
tarbijakaitse amet ametile,0.0014409221902017,0.0013175230566534,8.563899868252191
majandusaasta koondaruanne raamatupidamise,0.0014409221902017,0.0013175230566534,8.563899868252191
kandidaadi kandidaati kandidaat,0.0014409221902017,0.0013175230566534,8.563899868252191
piirikontrolli schengeni valispiiri,0.0014409221902017,0.0013175230566534,8.563899868252191
deklaratsiooni deklaratsioone deklaratsioonis,0.0014409221902017,0.0013175230566534,8.563899868252191
inimarengu aruanne aruandes,0.0028818443804034,0.0026350461133069,8.563899868248715
teede teehoiuks teedele,0.0028818443804034,0.0026350461133069,8.563899868248715
eripensioni valjateenitud staazi,0.0028818443804034,0.0026350461133069,8.563899868248715
hooldekodus hoolduse hooldekodu,0.0028818443804034,0.0026350461133069,8.563899868248715
kantsler kantsleri riigisekretar,0.0028818443804034,0.0026350461133069,8.563899868248715
piirivalve valvamise valvamine,0.0028818443804034,0.0026350461133069,8.563899868248715
veb fondi uurimiskomisjon,0.0043227665706051,0.0039525691699604,8.563899868247562
liitlaste ohutorje keskmaa,0.0043227665706051,0.0039525691699604,8.563899868247562
pohiseadusega riigikohus oiguskantsler,0.0057636887608069,0.0052700922266139,8.563899868248567
pensioniiga pensioniea eluiga,0.0057636887608069,0.0052700922266139,8.563899868248567
eriarstide eriarstiabi eriarsti,0.0172910662824207,0.0158102766798418,8.563899868247995
danske filiaali rahapesu,0.0115273775216138,0.0092226613965744,19.993412384716844
korterid kortereid korterit,0.0057636887608069,0.0039525691699604,31.422924901186853
loomi loomade loomad,0.0043227665706051,0.0026350461133069,39.04259991216581
