topic_words3,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,difference
riigireformi riigireformist riigireform,0.0,0.0,
liibanonis missioonil pikendamine,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
kirik kiriku maarja,0.0,0.0,
kodakondsust kodakondsuse kodanikuks,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
kolledz kolledzi turi,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
kontrollin haaled kandidaadi,0.0,0.0,
koolilouna koolitoidu koolitoit,0.0,0.0,
koolituse koolitus koolitusele,0.0,0.0,
korrata stenogrammist vabandan,0.0,0.0,
korteriuhistu korteriomanike korteriuhistute,0.0,0.0,
keskkonnaameti uhendamine uhendamise,0.0,0.0,
kulukuse krediidi kiirlaenude,0.0,0.0,
lahususe voimude lahusus,0.0,0.0,
liitlaste ohutorje keskmaa,0.0,0.0,
riigikontrolor karis riigikontrolori,0.0,0.0,
lipud lippude lipp,0.0,0.0,
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0,
lng terminali gaasi,0.0,0.0,
maantee neljarealiseks ppp,0.0,0.0,
majandusaasta koondaruanne raamatupidamise,0.0,0.0,
missiooni missioonile missioon,0.0,0.0,
nord stream streami,0.0,0.0,
objekti anu raua,0.0,0.0,
ootuse oigusparase oiguskindluse,0.0,0.0,
palgalohe soolist meeste,0.0,0.0,
palgatousu opetajate palgatous,0.0,0.0,
president ilves presidendi,0.0,0.0,
rahapesu terrorismi andmeburoo,0.0,0.0,
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0,
hiv narkomaania epideemia,0.0,0.0,
piirivalve valvamise valvamine,0.0,0.0031746031746031,-inf
haalte kandidaatidele haaletamisest,0.0,0.0,
utah jordaania energia,0.0,0.0095238095238095,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0031746031746031,-inf
kusimusena tahtsa tahtsusega,0.0,0.0031746031746031,-inf
vabatahtlike komandode paasteameti,0.0,0.0031746031746031,-inf
muundatud geneetiliselt gmo,0.0,0.0158730158730158,-inf
miili baasvorgu lairiba,0.0,0.0063492063492063,-inf
lipu laevu kaubalaeva,0.0,0.0031746031746031,-inf
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0380952380952381,-inf
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
hoone rkas hoonet,0.0,0.0222222222222222,-inf
magustatud suhkrut joogi,0.0,0.0031746031746031,-inf
hanke hankija riigihangete,0.0,0.0031746031746031,-inf
aasia aasias saatkonna,0.0,0.0031746031746031,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0031746031746031,-inf
alkoholi kange lahja,0.0,0.0095238095238095,-inf
krimmi agressiooni ukraina,0.0,0.0063492063492063,-inf
oigusloome oigusloomes oiguspoliitika,0.0,0.0031746031746031,-inf
korterelamute kortermajade kredexi,0.0,0.0095238095238095,-inf
oigusriik oigusriigi oigusriigist,0.0,0.0031746031746031,-inf
omandireformi tagastatud omandireform,0.0,0.0031746031746031,-inf
ooteala piiriuletuse piiripunkti,0.0,0.0031746031746031,-inf
oppelaenu sugava puudega,0.0,0.0031746031746031,-inf
otsevalimise presidenti presidendi,0.0,0.0063492063492063,-inf
kodualuse maamaksu maamaksust,0.0,0.0095238095238095,-inf
pagulasi pagulased pagulaste,0.0,0.0031746031746031,-inf
kala kalurid kalurite,0.0,0.0380952380952381,-inf
pensionifondide pensionifondid fondid,0.0,0.0031746031746031,-inf
treenerite spordi sport,0.0,0.0063492063492063,-inf
jarviku jarvik maaeluministri,0.0,0.0031746031746031,-inf
valimiskomisjon proteste valimiskasti,0.0,0.0031746031746031,-inf
jahimehed jahimeeste jahti,0.0,0.0031746031746031,-inf
jaatmeid liigiti prugi,0.0,0.0126984126984126,-inf
seksuaalse vangistusega vaarkohtlemise,0.0,0.0095238095238095,-inf
annetus erjk annetuse,0.0,0.0031746031746031,-inf
apteeke apteegid apteekide,0.0,0.0095238095238095,-inf
rahvuse rahvust rahvusriik,0.0,0.0031746031746031,-inf
haale valimispaeval valimiste,0.0,0.0,
etv saateid pbk,0.0,0.0,
est kavatsuste for,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
ene ergma aplaus,0.0,0.0,
elatisraha elatisabi elatise,0.0,0.0,
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
ammendumiseni kaheni pikendada,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
abielu kooselu samasooliste,0.0,0.0,
uliopilased uliopilastele uliopilaste,0.0,0.0222222222222222,-inf
raamatukogu pimedate raamatukogude,0.0,0.0063492063492063,-inf
tervist tervis tervisega,0.0,0.0031746031746031,-inf
arengufond arengufondi arengufondis,0.0,0.0158730158730158,-inf
reklaami reklaam alkoholireklaam,0.0,0.0031746031746031,-inf
riigikontrolli auditi auditit,0.0,0.0095238095238095,-inf
energiaagentuur agentuuri agentuur,0.0,0.0317460317460317,-inf
elamisluba elamisloa viisa,0.0,0.0031746031746031,-inf
tooandja tooandjal tootaja,0.0,0.0031746031746031,-inf
riigimetsa majandamise noukokku,0.0,0.0031746031746031,-inf
vee monopolide veeteenuse,0.0,0.0126984126984126,-inf
teede teehoiuks teedele,0.0,0.0031746031746031,-inf
poolte kokkuleppel huvitise,0.0,0.0063492063492063,-inf
teadus teaduse arendustegevuse,0.0,0.0063492063492063,-inf
direktiivi direktiiv ulevotmise,0.0,0.0095238095238095,-inf
danske filiaali rahapesu,0.0,0.0031746031746031,-inf
salastatud valisteabe riigisaladuse,0.0,0.0031746031746031,-inf
tarbijakaitse amet ametile,0.0,0.0063492063492063,-inf
volitust kaasuses jarvik,0.0,0.0,
