topic_words3,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
idapiiri piiririba valjaehitamine,0.0,0.0,0.0044444444444444444,0.0,0.0004037141703673799,0.0,0.0
iive sundimus iibe,0.003067484662576687,0.006349206349206349,0.0,0.0021141649048625794,0.0036334275333064193,0.0072992700729927005,0.0033333333333333335
inflatsiooni inflatsioon hinnatous,0.003067484662576687,0.0031746031746031746,0.0,0.004228329809725159,0.005651998385143318,0.0020855057351407717,0.0
inimarengu aruanne aruandes,0.018404907975460124,0.006349206349206349,0.0044444444444444444,0.010570824524312896,0.010092854259184497,0.01564129301355579,0.008333333333333333
jaatmeid liigiti prugi,0.0,0.012698412698412698,0.0,0.019027484143763214,0.004037141703673799,0.006256517205422315,0.0016666666666666668
jahimehed jahimeeste jahti,0.0,0.0031746031746031746,0.0,0.0021141649048625794,0.0004037141703673799,0.0010427528675703858,0.0016666666666666668
jalitustegevuse jalitustoimingu sideandmete,0.006134969325153374,0.0,0.0,0.012684989429175475,0.0004037141703673799,0.0031282586027111575,0.0
jarviku jarvik maaeluministri,0.0,0.0031746031746031746,0.0044444444444444444,0.0,0.0044408558740411785,0.0010427528675703858,0.008333333333333333
joustumine joustuma joustada,0.003067484662576687,0.0,0.022222222222222223,0.012684989429175475,0.0024222850222042794,0.018769551616266946,0.01
kaasne lisakulutusi riigieelarvele,0.006134969325153374,0.0031746031746031746,0.0,0.004228329809725159,0.003229713362939039,0.004171011470281543,0.0016666666666666668
kaibemaksu kaibemaks kaibemaksumaara,0.012269938650306749,0.0031746031746031746,0.013333333333333334,0.006342494714587738,0.02866370609608397,0.005213764337851929,0.0016666666666666668
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0,0.0,0.0021141649048625794,0.0004037141703673799,0.0010427528675703858,0.0
kaitseliit kaitseliidule kaitseliidu,0.0,0.0,0.0044444444444444444,0.0,0.0016148566814695195,0.0020855057351407717,0.0
kala kalurid kalurite,0.0,0.0380952380952381,0.0,0.0021141649048625794,0.0044408558740411785,0.005213764337851929,0.021666666666666667
kandidaadi kandidaati kandidaat,0.0,0.0,0.0,0.0021141649048625794,0.0004037141703673799,0.0010427528675703858,0.0016666666666666668
kandidaati kandidaat valituks,0.0,0.0,0.0,0.02536997885835095,0.0020185708518368995,0.004171011470281543,0.0033333333333333335
kandideerima ametikohale kandidaatide,0.0,0.0,0.0,0.0,0.0008074283407347598,0.0,0.0016666666666666668
kantsler kantsleri riigisekretar,0.003067484662576687,0.0031746031746031746,0.0,0.0,0.0008074283407347598,0.0020855057351407717,0.0016666666666666668
karistuse karistus tingimisi,0.003067484662576687,0.009523809523809525,0.013333333333333334,0.012684989429175475,0.0036334275333064193,0.010427528675703858,0.008333333333333333
kasvavad tuleval kasv,0.0,0.0,0.0,0.0021141649048625794,0.0,0.0031282586027111575,0.0
katteallikas katteallikaid katteallikat,0.003067484662576687,0.009523809523809525,0.0044444444444444444,0.012684989429175475,0.003229713362939039,0.016684045881126174,0.0
kauguhendus avaksite ettekandjalt,0.0,0.0,0.0,0.0021141649048625794,0.0012111425111021397,0.0010427528675703858,0.0016666666666666668
keeleoskust oskuse keeleoskuse,0.0,0.0,0.0,0.0021141649048625794,0.0012111425111021397,0.0020855057351407717,0.0
keskkonnaameti uhendamine uhendamise,0.0,0.0,0.0,0.0021141649048625794,0.0008074283407347598,0.0010427528675703858,0.0
kinnisasja maad maa,0.006134969325153374,0.025396825396825397,0.013333333333333334,0.006342494714587738,0.0072668550666128385,0.004171011470281543,0.01
kinnitamise paevakorra paevakord,0.0,0.0,0.0,0.0,0.0004037141703673799,0.0,0.0
kirik kiriku maarja,0.0,0.0,0.0044444444444444444,0.006342494714587738,0.0,0.0020855057351407717,0.0
kodakondsust kodakondsuse kodanikuks,0.0,0.0,0.0,0.010570824524312896,0.008074283407347598,0.0031282586027111575,0.0
kodualuse maamaksu maamaksust,0.0,0.009523809523809525,0.0044444444444444444,0.0021141649048625794,0.0020185708518368995,0.0010427528675703858,0.0033333333333333335
kohanimenoukogu vonnu mulgi,0.0,0.0,0.0,0.0,0.0008074283407347598,0.0,0.0
kohtla jarve johvi,0.003067484662576687,0.0,0.0,0.0,0.004844570044408559,0.0020855057351407717,0.0016666666666666668
kohtunike kohtususteem kohtuniku,0.009202453987730062,0.0,0.022222222222222223,0.010570824524312896,0.004844570044408559,0.01251303441084463,0.011666666666666667
