topic_words3,Eestimaa Rahvaliidu fraktsioon,Sotsiaaldemokraadid,difference
salvestisi salvestised salvestiste,0.0030674846625766,0.0033333333333333,-8.666666666668672
pensioni pension sammas,0.0030674846625766,0.0033333333333333,-8.666666666668672
iive sundimus iibe,0.0030674846625766,0.0033333333333333,-8.666666666668672
efsf esm kreekale,0.0030674846625766,0.0033333333333333,-8.666666666668672
tooandja tervisesse maksuvabalt,0.0122699386503067,0.0116666666666666,4.91666666666684
valismaale valjarande valjaranne,0.00920245398773,0.0083333333333333,9.444444444444196
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.005,18.49999999999901
soita jalakaija konniteel,0.0061349693251533,0.005,18.49999999999901
valispoliitika valispoliitikas diplomaatia,0.0061349693251533,0.005,18.49999999999901
ugri rahvaste polisrahvaste,0.0030674846625766,0.0016666666666666,45.6666666666673
kantsler kantsleri riigisekretar,0.0030674846625766,0.0016666666666666,45.6666666666673
liiklussurmade liikluses hukkunute,0.0030674846625766,0.0016666666666666,45.6666666666673
laari laar kandidatuuri,0.0030674846625766,0.0016666666666666,45.6666666666673
volakirjade keskpank volakirju,0.0030674846625766,0.0016666666666666,45.6666666666673
opositsiooni koalitsioonil opositsioonil,0.0030674846625766,0.0016666666666666,45.6666666666673
talupidajate kaubanduskoja kaubanduskoda,0.0030674846625766,0.0016666666666666,45.6666666666673
slovakkia ungari portugal,0.0030674846625766,0.0016666666666666,45.6666666666673
kohtla jarve johvi,0.0030674846625766,0.0016666666666666,45.6666666666673
rail trassi balticu,0.0030674846625766,0.0016666666666666,45.6666666666673
riigiabi komisjonilt loa,0.0030674846625766,0.0016666666666666,45.6666666666673
mes maale maaelu,0.0030674846625766,0.0016666666666666,45.6666666666673
piima toorpiima toodangut,0.0030674846625766,0.0016666666666666,45.6666666666673
samba sammas sambasse,0.0030674846625766,0.0016666666666666,45.6666666666673
normitehnika mojude eeskiri,0.00920245398773,0.0066666666666666,27.555555555555788
vagivallale vihakone ohutamine,0.0061349693251533,0.0033333333333333,45.66666666666655
terviseandmed isikuandmeid terviseandmeid,0.0061349693251533,0.0033333333333333,45.66666666666655
ajakirjandus ajakirjanduse ajakirjandust,0.0061349693251533,0.0033333333333333,45.66666666666655
hadaolukorda eriolukord eriolukorra,0.0061349693251533,0.0033333333333333,45.66666666666655
eelarvele kulude riigieelarvele,0.00920245398773,0.005,45.6666666666663
vallaga vald sauga,0.00920245398773,0.005,45.6666666666663
eriarstide eriarstiabi eriarsti,0.0214723926380368,0.0133333333333333,37.90476190476203
toonadalal istungid taiendaval,0.0276073619631901,0.0183333333333333,33.59259259259252
korterid kortereid korterit,0.0061349693251533,0.0016666666666666,72.83333333333408
kaasne lisakulutusi riigieelarvele,0.0061349693251533,0.0016666666666666,72.83333333333408
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.0033333333333333,63.7777777777779
pollumeestele pollumehi pollumehed,0.00920245398773,0.0033333333333333,63.7777777777779
opositsioonis koalitsiooni opositsiooni,0.0214723926380368,0.0116666666666666,45.666666666666956
arengukavad arengukavade pohialuste,0.0153374233128834,0.0066666666666666,56.533333333333665
inimarengu aruanne aruandes,0.0184049079754601,0.0083333333333333,54.72222222222235
piirilepingu piirileping piirilepingut,0.00920245398773,0.0016666666666666,81.88888888888948
tapsustatakse ajakohastatakse nouete,0.00920245398773,0.0016666666666666,81.88888888888948
pohiseadusega riigikohus oiguskantsler,0.00920245398773,0.0016666666666666,81.88888888888948
eelarves riigieelarves reservist,0.0122699386503067,0.0033333333333333,72.8333333333335
tulubaasi tasandusfondi tulumaksuosa,0.0122699386503067,0.0033333333333333,72.8333333333335
erimargistatud kutust kutuse,0.0245398773006134,0.0116666666666666,52.45833333333342
tulubaasi omavalitsustele omavalitsuste,0.0276073619631901,0.0133333333333333,51.70370370370369
uuring uuringut uuringu,0.0122699386503067,0.0016666666666666,86.41666666666717
borsile ipo enefit,0.0122699386503067,0.0016666666666666,86.41666666666717
kaibemaksu kaibemaks kaibemaksumaara,0.0122699386503067,0.0016666666666666,86.41666666666717
hambaravi hammaste hambad,0.0122699386503067,0.0016666666666666,86.41666666666717
voidusamba vabadussoja uurimiskomisjon,0.0245398773006134,0.0016666666666666,93.20833333333357
prokuratuur prokuratuuri prokuror,0.0276073619631901,0.0033333333333333,87.92592592592602
maavalitsuste maavalitsused maakonna,0.0276073619631901,0.0033333333333333,87.92592592592602
matusetoetust matusetoetus matusetoetuse,0.0337423312883435,0.0033333333333333,90.1212121212122
tootuid tootute tootu,0.0797546012269938,0.035,56.11538461538457
virumaale virumaa toostusalade,0.0153374233128834,0.0,100.0
post posti omniva,0.0122699386503067,0.0,100.0
toovoimereformi toovoimega toovoimereform,0.00920245398773,0.0,100.0
estonian air airi,0.00920245398773,0.0,100.0
jalitustegevuse jalitustoimingu sideandmete,0.0061349693251533,0.0,100.0
riigiloivude riigiloivud riigiloivu,0.0061349693251533,0.0,100.0
riigipuha puhade tahtpaevade,0.0061349693251533,0.0,100.0
