topic_words3,Eestimaa Rahvaliidu fraktsioon,Reformierakond,difference
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0010427528675703,-inf
viirust vaktsineeritud viiruse,0.0,0.0041710114702815,-inf
vee monopolide veeteenuse,0.0,0.0239833159541188,-inf
valitsemisalade katteallikaks riigieelarves,0.0,0.0052137643378519,-inf
valijate erakonda valijaid,0.0,0.0062565172054223,-inf
vabatahtlike komandode paasteameti,0.0,0.008342022940563,-inf
korterelamute kortermajade kredexi,0.0,0.0010427528675703,-inf
untso missioonide liikmesusest,0.0,0.0156412930135557,-inf
uliopilased uliopilastele uliopilaste,0.0,0.0041710114702815,-inf
ulikooliga kbfi instituudi,0.0,0.0020855057351407,-inf
ts parvlaeva parvlaevad,0.0,0.0010427528675703,-inf
treenerite spordi sport,0.0,0.0072992700729927,-inf
tootuna arvele ariuhingu,0.0,0.0031282586027111,-inf
tooandja tooandjal tootaja,0.0,0.0020855057351407,-inf
tervist tervis tervisega,0.0,0.0010427528675703,-inf
konkurss konkursi konkurssi,0.0,0.0010427528675703,-inf
teenuseid teenused teenust,0.0,0.0010427528675703,-inf
korrata stenogrammist vabandan,0.0,0.0020855057351407,-inf
korteriuhistu korteriomanike korteriuhistute,0.0,0.0010427528675703,-inf
teatri teater rahvusooper,0.0,0.0020855057351407,-inf
noukogudesse ariuhingute noukogudes,0.0,0.0104275286757038,-inf
pensionifondide pensionifondid fondid,0.0,0.0031282586027111,-inf
palgatousu opetajate palgatous,0.0,0.0020855057351407,-inf
palgalohe soolist meeste,0.0,0.0010427528675703,-inf
pagulasi pagulased pagulaste,0.0,0.0010427528675703,-inf
otsevalimise presidenti presidendi,0.0,0.0052137643378519,-inf
ootuse oigusparase oiguskindluse,0.0,0.0020855057351407,-inf
ooteala piiriuletuse piiripunkti,0.0,0.0072992700729927,-inf
omandireformi tagastatud omandireform,0.0,0.0020855057351407,-inf
oigusriik oigusriigi oigusriigist,0.0,0.0010427528675703,-inf
objekti anu raua,0.0,0.0031282586027111,-inf
muundatud geneetiliselt gmo,0.0,0.0010427528675703,-inf
kulukuse krediidi kiirlaenude,0.0,0.0010427528675703,-inf
miili baasvorgu lairiba,0.0,0.0020855057351407,-inf
majandusaasta koondaruanne raamatupidamise,0.0,0.0062565172054223,-inf
magustatud suhkrut joogi,0.0,0.0010427528675703,-inf
lng terminali gaasi,0.0,0.0052137643378519,-inf
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0020855057351407,-inf
lipud lippude lipp,0.0,0.0010427528675703,-inf
lipu laevu kaubalaeva,0.0,0.0010427528675703,-inf
liitlaste ohutorje keskmaa,0.0,0.0010427528675703,-inf
lahususe voimude lahusus,0.0,0.0041710114702815,-inf
kusimusena tahtsa tahtsusega,0.0,0.0020855057351407,-inf
teede teehoiuks teedele,0.0,0.0010427528675703,-inf
teadus teaduse arendustegevuse,0.0,0.0041710114702815,-inf
apteeke apteegid apteekide,0.0,0.0020855057351407,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0010427528675703,-inf
eripensioni valjateenitud staazi,0.0,0.0020855057351407,-inf
aituma infotundi jahimehed,0.0,0.0010427528675703,-inf
jarviku jarvik maaeluministri,0.0,0.0010427528675703,-inf
alkoholi kange lahja,0.0,0.0187695516162669,-inf
ammendumiseni kaheni pikendada,0.0,0.0010427528675703,-inf
direktiivi direktiiv ulevotmise,0.0,0.0041710114702815,-inf
elamisluba elamisloa viisa,0.0,0.0041710114702815,-inf
kirik kiriku maarja,0.0,0.0020855057351407,-inf
kodualuse maamaksu maamaksust,0.0,0.0010427528675703,-inf
hanke hankija riigihangete,0.0,0.0125130344108446,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0020855057351407,-inf
jaatmeid liigiti prugi,0.0,0.0062565172054223,-inf
annetus erjk annetuse,0.0,0.0052137643378519,-inf
kodakondsust kodakondsuse kodanikuks,0.0,0.0031282586027111,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0010427528675703,-inf
arengufond arengufondi arengufondis,0.0,0.0114702815432742,-inf
kasvavad tuleval kasv,0.0,0.0031282586027111,-inf
elatisraha elatisabi elatise,0.0,0.0010427528675703,-inf
hoiu pangad pankade,0.0,0.0010427528675703,-inf
annetused annetusi annetuste,0.0,0.0020855057351407,-inf
aasia aasias saatkonna,0.0,0.0031282586027111,-inf
hiv narkomaania epideemia,0.0,0.0010427528675703,-inf
jahimehed jahimeeste jahti,0.0,0.0010427528675703,-inf
erso teatri kontserdi,0.0,0.0020855057351407,-inf
tarbijakaitse amet ametile,0.0,0.0062565172054223,-inf
teenistuse teenistuses avalikus,0.0,0.0010427528675703,-inf
tantsupeo laulu traditsiooni,0.0,0.0020855057351407,-inf
suuria euroopasse turgis,0.0,0.0010427528675703,-inf
sularaha kommertspangad pangad,0.0,0.0010427528675703,-inf
skais arendused infosusteemide,0.0,0.0010427528675703,-inf
salastatud valisteabe riigisaladuse,0.0,0.0052137643378519,-inf
riigireformi riigireformist riigireform,0.0,0.0031282586027111,-inf
riigimetsa majandamise noukokku,0.0,0.0010427528675703,-inf
riigikontrolli auditi auditit,0.0,0.0062565172054223,-inf
reklaami reklaam alkoholireklaam,0.0,0.0010427528675703,-inf
rahvuse rahvust rahvusriik,0.0,0.0041710114702815,-inf
kolledz kolledzi turi,0.0,0.0020855057351407,-inf
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0041710114702815,-inf
volitust kaasuses jarvik,0.0,0.0010427528675703,-inf
etv saateid pbk,0.0,0.0052137643378519,-inf
hoone rkas hoonet,0.0,0.0020855057351407,-inf
danske filiaali rahapesu,0.0,0.0010427528675703,-inf
kandidaati kandidaat valituks,0.0,0.0041710114702815,-inf
