topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Keskerakond,difference
poolte kokkuleppel huvitise,0.0063492063492063,0.0028259991925716,55.49051271699695
vagivallale vihakone ohutamine,0.0063492063492063,0.0028259991925716,55.49051271699695
treenerite spordi sport,0.0063492063492063,0.0028259991925716,55.49051271699695
jahimehed jahimeeste jahti,0.0031746031746031,0.0004037141703673,87.28300363342974
lae korgepalgaliste lagi,0.0031746031746031,0.0004037141703673,87.28300363342974
mes maale maaelu,0.0031746031746031,0.0004037141703673,87.28300363342974
huvihariduse huvitegevuse huviharidus,0.0031746031746031,0.0004037141703673,87.28300363342974
riigipuha puhade tahtpaevade,0.0031746031746031,0.0004037141703673,87.28300363342974
tapsustatakse ajakohastatakse nouete,0.0063492063492063,0.0024222850222042,61.84901090028355
erimargistatud kutust kutuse,0.0126984126984126,0.0068631408962454,45.95276544206705
slovakkia ungari portugal,0.0095238095238095,0.0044408558740411,53.37101332256833
pollumeestele pollumehi pollumehed,0.0158730158730158,0.0084779975777149,46.58861526039588
teadus teaduse arendustegevuse,0.0063492063492063,0.0016148566814695,74.56600726685517
terviseandmed isikuandmeid terviseandmeid,0.0063492063492063,0.0016148566814695,74.56600726685517
karistuse karistus tingimisi,0.0095238095238095,0.0036334275333064,61.8490109002827
kohtutaiturite kohtutaitur kohtutaituri,0.0063492063492063,0.0012111425111021,80.92450545014178
tarbijakaitse amet ametile,0.0063492063492063,0.0012111425111021,80.92450545014178
valimisea valimisiga valimisoiguse,0.0063492063492063,0.0012111425111021,80.92450545014178
katteallikas katteallikaid katteallikat,0.0095238095238095,0.003229713362939,66.08800968914042
psuhhiaatri alaealine psuhhiaatrilist,0.0095238095238095,0.003229713362939,66.08800968914042
direktiivi direktiiv ulevotmise,0.0095238095238095,0.003229713362939,66.08800968914042
raamatukogu pimedate raamatukogude,0.0063492063492063,0.0008074283407347,87.28300363342838
valispoliitika valispoliitikas diplomaatia,0.0063492063492063,0.0008074283407347,87.28300363342838
leping ratifitseerida lepinguga,0.0095238095238095,0.0028259991925716,70.32700847799812
korterid kortereid korterit,0.0095238095238095,0.0028259991925716,70.32700847799812
valimisliitude volikogusse volikokku,0.0126984126984126,0.0048445700444085,61.84901090028278
taanis saksamaal hollandis,0.0126984126984126,0.0048445700444085,61.84901090028278
soita jalakaija konniteel,0.0126984126984126,0.0048445700444085,61.84901090028278
tooandja tervisesse maksuvabalt,0.0095238095238095,0.0020185708518368,78.80500605571355
