topic_words3,Eestimaa Rahvaliidu fraktsioon,Keskerakond,difference
fie fuusilisest isikust,0.0061349693251533,0.0056519983851433,7.87242632216309
pollumeestele pollumehi pollumehed,0.00920245398773,0.0084779975777149,7.872426322164141
rail trassi balticu,0.0030674846625766,0.0024222850222042,21.03350827614084
joustumine joustuma joustada,0.0030674846625766,0.0024222850222042,21.03350827614084
vallaga vald sauga,0.00920245398773,0.0076705692369802,16.646480958147936
taanis saksamaal hollandis,0.0061349693251533,0.0048445700444085,21.033508276140495
soita jalakaija konniteel,0.0061349693251533,0.0048445700444085,21.033508276140495
riigipalgaliste riigisektoris koondada,0.0030674846625766,0.0020185708518368,34.19459023011846
pensioni pension sammas,0.0030674846625766,0.0020185708518368,34.19459023011846
ulejaagis struktuurses struktuurse,0.00920245398773,0.0068631408962454,25.420535594132815
vaesuses suhtelises vaesuse,0.0153374233128834,0.0121114251110213,21.033508276140942
riigiabi komisjonilt loa,0.0030674846625766,0.0016148566814695,47.3556721840928
muuseum muuseumi muuseumide,0.0030674846625766,0.0016148566814695,47.3556721840928
opositsiooni koalitsioonil opositsioonil,0.0030674846625766,0.0016148566814695,47.3556721840928
hooldekodus hoolduse hooldekodu,0.0030674846625766,0.0016148566814695,47.3556721840928
samba sammas sambasse,0.0030674846625766,0.0016148566814695,47.3556721840928
kutsehariduse kutseharidus kutsehariduses,0.0030674846625766,0.0016148566814695,47.3556721840928
tulubaasi omavalitsustele omavalitsuste,0.0276073619631901,0.0226079935405732,18.10882339747905
louis freeh kremli,0.0030674846625766,0.0012111425111021,60.51675413807042
loomi loomade loomad,0.0030674846625766,0.0012111425111021,60.51675413807042
valimisea valimisiga valimisoiguse,0.0030674846625766,0.0012111425111021,60.51675413807042
vanemahuvitist vanemahuvitise vanemahuvitis,0.0030674846625766,0.0012111425111021,60.51675413807042
maksuamet tolliamet tolliameti,0.0061349693251533,0.003229713362939,47.35567218409366
kaasne lisakulutusi riigieelarvele,0.0061349693251533,0.003229713362939,47.35567218409366
aardla pria pealtnagija,0.0030674846625766,0.0008074283407347,73.67783609204804
memorandumi moistmise memorandum,0.0030674846625766,0.0008074283407347,73.67783609204804
laari laar kandidatuuri,0.0030674846625766,0.0008074283407347,73.67783609204804
relva relvade relvaluba,0.0030674846625766,0.0008074283407347,73.67783609204804
kantsler kantsleri riigisekretar,0.0030674846625766,0.0008074283407347,73.67783609204804
talupidajate kaubanduskoja kaubanduskoda,0.0030674846625766,0.0008074283407347,73.67783609204804
metsa metsade mets,0.0030674846625766,0.0008074283407347,73.67783609204804
vagivallale vihakone ohutamine,0.0061349693251533,0.0028259991925716,53.93621316108236
leping ratifitseerida lepinguga,0.0061349693251533,0.0028259991925716,53.93621316108236
korterid kortereid korterit,0.0061349693251533,0.0028259991925716,53.93621316108236
kohtunike kohtususteem kohtuniku,0.00920245398773,0.0048445700444085,47.35567218409395
huvihariduse huvitegevuse huviharidus,0.0030674846625766,0.0004037141703673,86.83891804602565
oiglase virumaale ulemineku,0.0030674846625766,0.0004037141703673,86.83891804602565
mes maale maaelu,0.0030674846625766,0.0004037141703673,86.83891804602565
valdkonnad laekumisest fikseeritakse,0.0030674846625766,0.0004037141703673,86.83891804602565
puude raskusastme puuet,0.0030674846625766,0.0004037141703673,86.83891804602565
korruptsiooni korruptsioon korruptsiooniga,0.0030674846625766,0.0004037141703673,86.83891804602565
lae korgepalgaliste lagi,0.0030674846625766,0.0004037141703673,86.83891804602565
teekasutustasu autode autod,0.0030674846625766,0.0004037141703673,86.83891804602565
borsile ipo enefit,0.0122699386503067,0.006459426725878,47.3556721840941
tootuid tootute tootu,0.0797546012269938,0.0649979814291481,18.502530977298846
