topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Sotsiaaldemokraadid,difference
eriarstide eriarstiabi eriarsti,0.0158730158730158,0.0133333333333333,15.999999999999822
noukogudesse ariuhingute noukogudes,0.0031746031746031,0.0016666666666666,47.50000000000087
mes maale maaelu,0.0031746031746031,0.0016666666666666,47.50000000000087
jahimehed jahimeeste jahti,0.0031746031746031,0.0016666666666666,47.50000000000087
kaasne lisakulutusi riigieelarvele,0.0031746031746031,0.0016666666666666,47.50000000000087
oigusriik oigusriigi oigusriigist,0.0031746031746031,0.0016666666666666,47.50000000000087
annetus erjk annetuse,0.0031746031746031,0.0016666666666666,47.50000000000087
kaibemaksu kaibemaks kaibemaksumaara,0.0031746031746031,0.0016666666666666,47.50000000000087
tervist tervis tervisega,0.0031746031746031,0.0016666666666666,47.50000000000087
kantsler kantsleri riigisekretar,0.0031746031746031,0.0016666666666666,47.50000000000087
ugri rahvaste polisrahvaste,0.0031746031746031,0.0016666666666666,47.50000000000087
borsile ipo enefit,0.0031746031746031,0.0016666666666666,47.50000000000087
tooandja tooandjal tootaja,0.0031746031746031,0.0016666666666666,47.50000000000087
aasia aasias saatkonna,0.0031746031746031,0.0016666666666666,47.50000000000087
danske filiaali rahapesu,0.0031746031746031,0.0016666666666666,47.50000000000087
piima toorpiima toodangut,0.0031746031746031,0.0016666666666666,47.50000000000087
psuhhiaatri alaealine psuhhiaatrilist,0.0095238095238095,0.0066666666666666,30.000000000000526
maavalitsuste maavalitsused maakonna,0.0063492063492063,0.0033333333333333,47.500000000000114
treenerite spordi sport,0.0063492063492063,0.0033333333333333,47.500000000000114
terviseandmed isikuandmeid terviseandmeid,0.0063492063492063,0.0033333333333333,47.500000000000114
teadus teaduse arendustegevuse,0.0063492063492063,0.0033333333333333,47.500000000000114
iive sundimus iibe,0.0063492063492063,0.0033333333333333,47.500000000000114
vagivallale vihakone ohutamine,0.0063492063492063,0.0033333333333333,47.500000000000114
huvigruppe huvigruppide kaasatud,0.0095238095238095,0.005,47.49999999999987
taanis saksamaal hollandis,0.0126984126984126,0.0066666666666666,47.500000000000114
tapsustatakse ajakohastatakse nouete,0.0063492063492063,0.0016666666666666,73.75000000000084
raamatukogu pimedate raamatukogude,0.0063492063492063,0.0016666666666666,73.75000000000084
otsevalimise presidenti presidendi,0.0063492063492063,0.0016666666666666,73.75000000000084
kodualuse maamaksu maamaksust,0.0095238095238095,0.0033333333333333,65.00000000000026
soita jalakaija konniteel,0.0126984126984126,0.005,60.624999999999694
vee monopolide veeteenuse,0.0126984126984126,0.005,60.624999999999694
hoone rkas hoonet,0.0222222222222222,0.0116666666666666,47.50000000000025
slovakkia ungari portugal,0.0095238095238095,0.0016666666666666,82.50000000000067
korterid kortereid korterit,0.0095238095238095,0.0016666666666666,82.50000000000067
alkoholi kange lahja,0.0095238095238095,0.0016666666666666,82.50000000000067
kala kalurid kalurite,0.0380952380952381,0.0216666666666666,43.12500000000018
moisteid moiste moisted,0.0126984126984126,0.0033333333333333,73.75000000000004
tulumaksuvaba maksususteemi tulumaksu,0.0126984126984126,0.0033333333333333,73.75000000000004
metsa metsade mets,0.0158730158730158,0.005,68.49999999999984
arengukavad arengukavade pohialuste,0.019047619047619,0.0066666666666666,65.00000000000026
jaatmeid liigiti prugi,0.0126984126984126,0.0016666666666666,86.87500000000043
uuring uuringut uuringu,0.0126984126984126,0.0016666666666666,86.87500000000043
kinnisasja maad maa,0.0253968253968253,0.01,60.62499999999985
muundatud geneetiliselt gmo,0.0158730158730158,0.0033333333333333,79.00000000000011
pollumeestele pollumehi pollumehed,0.0158730158730158,0.0033333333333333,79.00000000000011
pohiseadusega riigikohus oiguskantsler,0.0158730158730158,0.0016666666666666,89.50000000000038
arengufond arengufondi arengufondis,0.0158730158730158,0.0016666666666666,89.50000000000038
liiklussurmade liikluses hukkunute,0.019047619047619,0.0016666666666666,91.25000000000031
uliopilased uliopilastele uliopilaste,0.0222222222222222,0.0033333333333333,85.00000000000014
energiaagentuur agentuuri agentuur,0.0317460317460317,0.0016666666666666,94.7500000000002
planeeringu keskkonnamoju keskkonnamojude,0.0380952380952381,0.01,73.75
elektri elektrit taastuvenergia,0.0603174603174603,0.0066666666666666,88.94736842105274
loomi loomade loomad,0.0126984126984126,0.0,100.0
leping ratifitseerida lepinguga,0.0095238095238095,0.0,100.0
katteallikas katteallikaid katteallikat,0.0095238095238095,0.0,100.0
seksuaalse vangistusega vaarkohtlemise,0.0095238095238095,0.0,100.0
direktiivi direktiiv ulevotmise,0.0095238095238095,0.0,100.0
korterelamute kortermajade kredexi,0.0095238095238095,0.0,100.0
utah jordaania energia,0.0095238095238095,0.0,100.0
apteeke apteegid apteekide,0.0095238095238095,0.0,100.0
tarbijakaitse amet ametile,0.0063492063492063,0.0,100.0
miili baasvorgu lairiba,0.0063492063492063,0.0,100.0
reklaami reklaam alkoholireklaam,0.0031746031746031,0.0,100.0
salastatud valisteabe riigisaladuse,0.0031746031746031,0.0,100.0
lipu laevu kaubalaeva,0.0031746031746031,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0031746031746031,0.0,100.0
omandireformi tagastatud omandireform,0.0031746031746031,0.0,100.0
riigipuha puhade tahtpaevade,0.0031746031746031,0.0,100.0
riigimetsa majandamise noukokku,0.0031746031746031,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.0031746031746031,0.0,100.0
virumaale virumaa toostusalade,0.0031746031746031,0.0,100.0
piirivalve valvamise valvamine,0.0031746031746031,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0031746031746031,0.0,100.0
magustatud suhkrut joogi,0.0031746031746031,0.0,100.0
inflatsiooni inflatsioon hinnatous,0.0031746031746031,0.0,100.0
pensionifondide pensionifondid fondid,0.0031746031746031,0.0,100.0
pagulasi pagulased pagulaste,0.0031746031746031,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0031746031746031,0.0,100.0
oppelaenu sugava puudega,0.0031746031746031,0.0,100.0
oigusloome oigusloomes oiguspoliitika,0.0031746031746031,0.0,100.0
korrata stenogrammist vabandan,0.0,0.0,
tootuna arvele ariuhingu,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
sigade katku katk,0.0,0.0,
