topic_words3,Erakonna Eestimaa Rohelised fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,difference
piirilepingu piirileping piirilepingut,0.0,0.0,
post posti omniva,0.0,0.0,
konkurss konkursi konkurssi,0.0,0.0,
kohanimenoukogu vonnu mulgi,0.0,0.0,
teatri teater rahvusooper,0.0,0.0,
rongi rongide rongid,0.0,0.0,
humni humn laulda,0.0,0.0,
tantsupeo laulu traditsiooni,0.0,0.0,
talupidajate kaubanduskoja kaubanduskoda,0.0,0.0,
suuria euroopasse turgis,0.0,0.0,
sularaha kommertspangad pangad,0.0,0.0,
president ilves presidendi,0.0,0.0,
skais arendused infosusteemide,0.0,0.0,
sigade katku katk,0.0,0.0,
samba sammas sambasse,0.0,0.0,
riigireformi riigireformist riigireform,0.0,0.0,
kinnitamise paevakorra paevakord,0.0,0.0,
eripensioni valjateenitud staazi,0.0,0.0,
riigipalgaliste riigisektoris koondada,0.0,0.0,
riigiloivude riigiloivud riigiloivu,0.0,0.0,
riigikontrolor karis riigikontrolori,0.0,0.0,
riigiabi komisjonilt loa,0.0,0.0,
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0,0.0,
idapiiri piiririba valjaehitamine,0.0,0.0,
kaitseliit kaitseliidule kaitseliidu,0.0,0.0,
kandideerima ametikohale kandidaatide,0.0,0.0,
erso teatri kontserdi,0.0,0.0,
volakirjade keskpank volakirju,0.0,0.0042283298097251,-inf
ene ergma aplaus,0.0,0.0,
valijate erakonda valijaid,0.0,0.0021141649048625,-inf
hiv narkomaania epideemia,0.0,0.0021141649048625,-inf
opositsiooni koalitsioonil opositsioonil,0.0,0.0042283298097251,-inf
palgalohe soolist meeste,0.0,0.0042283298097251,-inf
kandidaadi kandidaati kandidaat,0.0,0.0021141649048625,-inf
kohtunike kohtususteem kohtuniku,0.0,0.0105708245243128,-inf
korruptsiooni korruptsioon korruptsiooniga,0.0,0.0042283298097251,-inf
kodakondsust kodakondsuse kodanikuks,0.0,0.0105708245243128,-inf
kirik kiriku maarja,0.0,0.0063424947145877,-inf
kulukuse krediidi kiirlaenude,0.0,0.0084566596194503,-inf
keskkonnaameti uhendamine uhendamise,0.0,0.0021141649048625,-inf
keeleoskust oskuse keeleoskuse,0.0,0.0021141649048625,-inf
kauguhendus avaksite ettekandjalt,0.0,0.0021141649048625,-inf
laari laar kandidatuuri,0.0,0.0021141649048625,-inf
kasvavad tuleval kasv,0.0,0.0021141649048625,-inf
lahususe voimude lahusus,0.0,0.0063424947145877,-inf
kandidaati kandidaat valituks,0.0,0.0253699788583509,-inf
kaitsekulud kaitsekulutused kaitsekulude,0.0,0.0021141649048625,-inf
koolilouna koolitoidu koolitoit,0.0,0.0021141649048625,-inf
liitlaste ohutorje keskmaa,0.0,0.0021141649048625,-inf
lng terminali gaasi,0.0,0.0021141649048625,-inf
joustumine joustuma joustada,0.0,0.0126849894291754,-inf
majandusaasta koondaruanne raamatupidamise,0.0,0.0042283298097251,-inf
jalitustegevuse jalitustoimingu sideandmete,0.0,0.0126849894291754,-inf
memorandumi moistmise memorandum,0.0,0.0021141649048625,-inf
voidusamba vabadussoja uurimiskomisjon,0.0,0.0021141649048625,-inf
missiooni missioonile missioon,0.0,0.0042283298097251,-inf
muraste kase kompleksi,0.0,0.0021141649048625,-inf
muugimaksu muugimaks paadimaksu,0.0,0.0232558139534883,-inf
id mobiil kaardi,0.0,0.0063424947145877,-inf
viirust vaktsineeritud viiruse,0.0,0.0021141649048625,-inf
vaikesaarte saarte pusiasustusega,0.0,0.0126849894291754,-inf
efsf esm kreekale,0.0,0.0,
vaesuses suhtelises vaesuse,0.0,0.0042283298097251,-inf
domeenide domeeni interneti,0.0,0.0,
annetused annetusi annetuste,0.0,0.0,
ammendumiseni kaheni pikendada,0.0,0.0,
aituma infotundi jahimehed,0.0,0.0,
abielu kooselu samasooliste,0.0,0.0,
aardla pria pealtnagija,0.0,0.0,
ootuse oigusparase oiguskindluse,0.0,0.0021141649048625,-inf
puude raskusastme puuet,0.0,0.0063424947145877,-inf
elatisraha elatisabi elatise,0.0,0.0042283298097251,-inf
relva relvade relvaluba,0.0,0.0063424947145877,-inf
rail trassi balticu,0.0,0.0021141649048625,-inf
rahapesu terrorismi andmeburoo,0.0,0.0021141649048625,-inf
kolledz kolledzi turi,0.0,0.0042283298097251,-inf
etv saateid pbk,0.0,0.0021141649048625,-inf
salvestisi salvestised salvestiste,0.0,0.0021141649048625,-inf
haale valimispaeval valimiste,0.0,0.0042283298097251,-inf
haalte kandidaatidele haaletamisest,0.0,0.0021141649048625,-inf
hadaolukorda eriolukord eriolukorra,0.0,0.0021141649048625,-inf
pensionitous pensionitousu pension,0.0,0.0042283298097251,-inf
prokuratuur prokuratuuri prokuror,0.0,0.0042283298097251,-inf
toonadalal istungid taiendaval,0.0,0.0063424947145877,-inf
teenuseid teenused teenust,0.0,0.0021141649048625,-inf
hooldekodus hoolduse hooldekodu,0.0,0.0021141649048625,-inf
tootuna arvele ariuhingu,0.0,0.0021141649048625,-inf
deklaratsiooni deklaratsioone deklaratsioonis,0.0,0.0042283298097251,-inf
tulubaasi tasandusfondi tulumaksuosa,0.0,0.0063424947145877,-inf
uhistranspordi uhistransport uhistransporti,0.0,0.0042283298097251,-inf
ulikooliga kbfi instituudi,0.0,0.0021141649048625,-inf
untso missioonide liikmesusest,0.0,0.014799154334038,-inf
volitust kaasuses jarvik,0.0,0.0,
