topic_words3,Eesti Vabaerakonna fraktsioon,Sotsiaaldemokraadid,difference
efsf esm kreekale,0.0014450867052023,0.0038167938931297,-164.12213740457747
kodualuse maamaksu maamaksust,0.0014450867052023,0.0038167938931297,-164.12213740457747
salastatud valisteabe riigisaladuse,0.0014450867052023,0.0038167938931297,-164.12213740457747
tooandja tooandjal tootaja,0.0014450867052023,0.0038167938931297,-164.12213740457747
keskkonnaameti uhendamine uhendamise,0.0014450867052023,0.0038167938931297,-164.12213740457747
opositsiooni koalitsioonil opositsioonil,0.0014450867052023,0.0038167938931297,-164.12213740457747
vabatahtlike komandode paasteameti,0.0072254335260115,0.0114503816793893,-58.47328244274925
pensionifondide pensionifondid fondid,0.0043352601156069,0.0076335877862595,-76.08142493638726
joustumine joustuma joustada,0.0144508670520231,0.0190839694656488,-32.061068702289894
normitehnika mojude eeskiri,0.0115606936416184,0.015267175572519,-32.06106870229047
valispoliitika valispoliitikas diplomaatia,0.0028901734104046,0.0038167938931297,-32.06106870228874
kaitsekulud kaitsekulutused kaitsekulude,0.0028901734104046,0.0038167938931297,-32.06106870228874
loomi loomade loomad,0.0028901734104046,0.0038167938931297,-32.06106870228874
riigiabi komisjonilt loa,0.0028901734104046,0.0038167938931297,-32.06106870228874
pollumeestele pollumehi pollumehed,0.0028901734104046,0.0038167938931297,-32.06106870228874
ametiuhingute tooandjate keskliit,0.0028901734104046,0.0038167938931297,-32.06106870228874
slovakkia ungari portugal,0.0028901734104046,0.0038167938931297,-32.06106870228874
volakirjade keskpank volakirju,0.0028901734104046,0.0038167938931297,-32.06106870228874
objekti anu raua,0.0028901734104046,0.0038167938931297,-32.06106870228874
maavalitsuste maavalitsused maakonna,0.0028901734104046,0.0038167938931297,-32.06106870228874
aasia aasias saatkonna,0.0072254335260115,0.0076335877862595,-5.64885496183237
rail trassi balticu,0.0072254335260115,0.0076335877862595,-5.64885496183237
toonadalal istungid taiendaval,0.0072254335260115,0.0076335877862595,-5.64885496183237
moisteid moiste moisted,0.0072254335260115,0.0076335877862595,-5.64885496183237
arengufond arengufondi arengufondis,0.0115606936416184,0.0114503816793893,0.9541984732817107
planeeringu keskkonnamoju keskkonnamojude,0.0043352601156069,0.0038167938931297,11.959287531807519
pensioniiga pensioniea eluiga,0.0043352601156069,0.0038167938931297,11.959287531807519
kaitseliit kaitseliidule kaitseliidu,0.0043352601156069,0.0038167938931297,11.959287531807519
pagulasi pagulased pagulaste,0.0043352601156069,0.0038167938931297,11.959287531807519
valimisea valimisiga valimisoiguse,0.0043352601156069,0.0038167938931297,11.959287531807519
rahvuse rahvust rahvusriik,0.0086705202312138,0.0076335877862595,11.95928753180637
arengukavad arengukavade pohialuste,0.0173410404624277,0.015267175572519,11.959287531806861
kauguhendus avaksite ettekandjalt,0.0057803468208092,0.0038167938931297,33.96946564885563
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0057803468208092,0.0038167938931297,33.96946564885563
uliopilased uliopilastele uliopilaste,0.0057803468208092,0.0038167938931297,33.96946564885563
pohiseadusega riigikohus oiguskantsler,0.0072254335260115,0.0038167938931297,47.17557251908451
kaasne lisakulutusi riigieelarvele,0.0072254335260115,0.0038167938931297,47.17557251908451
noukogudesse ariuhingute noukogudes,0.0072254335260115,0.0038167938931297,47.17557251908451
elektri elektrit taastuvenergia,0.0072254335260115,0.0038167938931297,47.17557251908451
lipu laevu kaubalaeva,0.0086705202312138,0.0038167938931297,55.97964376590377
haale valimispaeval valimiste,0.0086705202312138,0.0038167938931297,55.97964376590377
riigikontrolli auditi auditit,0.0086705202312138,0.0038167938931297,55.97964376590377
eelarves riigieelarves reservist,0.0086705202312138,0.0038167938931297,55.97964376590377
maksuamet tolliamet tolliameti,0.0086705202312138,0.0038167938931297,55.97964376590377
elamisluba elamisloa viisa,0.0086705202312138,0.0038167938931297,55.97964376590377
ulejaagis struktuurses struktuurse,0.0086705202312138,0.0038167938931297,55.97964376590377
