topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
valimisea valimisiga valimisoiguse,0.0017381228273464,0.0,100.0
riigikontrolor karis riigikontrolori,0.0017381228273464,0.0,100.0
liibanonis missioonil pikendamine,0.0011587485515643,0.0,100.0
annetus erjk annetuse,0.0011587485515643,0.0,100.0
relva relvade relvaluba,0.0011587485515643,0.0,100.0
kinnitamise paevakorra paevakord,0.0011587485515643,0.0,100.0
louis freeh kremli,0.0011587485515643,0.0,100.0
post posti omniva,0.0011587485515643,0.0,100.0
tervist tervis tervisega,0.0011587485515643,0.0,100.0
kantsler kantsleri riigisekretar,0.0011587485515643,0.0,100.0
domeenide domeeni interneti,0.0011587485515643,0.0,100.0
valdkonnad laekumisest fikseeritakse,0.0011587485515643,0.0,100.0
piima toorpiima toodangut,0.0011587485515643,0.0,100.0
ooteala piiriuletuse piiripunkti,0.0011587485515643,0.0,100.0
muugimaksu muugimaks paadimaksu,0.0011587485515643,0.0,100.0
puude raskusastme puuet,0.0011587485515643,0.0,100.0
kulukuse krediidi kiirlaenude,0.0011587485515643,0.0,100.0
skais arendused infosusteemide,0.0011587485515643,0.0,100.0
volitust kaasuses jarvik,0.0011587485515643,0.0,100.0
pagulasi pagulased pagulaste,0.0005793742757821,0.0,100.0
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.0005793742757821,0.0,100.0
rahvaalgatuse rahvaalgatus rahvahaaletus,0.0005793742757821,0.0,100.0
operatsioonil sojalisel panustamisel,0.0005793742757821,0.0,100.0
riigiabi komisjonilt loa,0.0005793742757821,0.0,100.0
koondaruande majandusaasta koondaruanne,0.0005793742757821,0.0,100.0
suuria euroopasse turgis,0.0005793742757821,0.0,100.0
lipud lippude lipp,0.0005793742757821,0.0,100.0
laari laar kandidatuuri,0.0005793742757821,0.0,100.0
piirivalve valvamise valvamine,0.0005793742757821,0.0,100.0
kolledz kolledzi turi,0.0005793742757821,0.0,100.0
rongi rongide rongid,0.0005793742757821,0.0,100.0
muundatud geneetiliselt gmo,0.0005793742757821,0.0,100.0
magustatud suhkrut joogi,0.0005793742757821,0.0,100.0
kohtutaiturite kohtutaitur kohtutaituri,0.0005793742757821,0.0,100.0
muraste kase kompleksi,0.0005793742757821,0.0,100.0
uhistranspordi uhistransport uhistransporti,0.0005793742757821,0.0,100.0
koneleja konsensuslikud repliigi,0.0005793742757821,0.0,100.0
huvihariduse huvitegevuse huviharidus,0.0005793742757821,0.0,100.0
jahimehed jahimeeste jahti,0.0005793742757821,0.0,100.0
humni humn laulda,0.0005793742757821,0.0,100.0
erso teatri kontserdi,0.0005793742757821,0.0,100.0
kohanimenoukogu vonnu mulgi,0.0005793742757821,0.0,100.0
hadaolukorda eriolukord eriolukorra,0.0005793742757821,0.0,100.0
valimiskomisjon proteste valimiskasti,0.0005793742757821,0.0,100.0
ammendumiseni kaheni pikendada,0.0005793742757821,0.0,100.0
veb fondi uurimiskomisjon,0.0005793742757821,0.0,100.0
voidusamba vabadussoja uurimiskomisjon,0.0005793742757821,0.0,100.0
vaikesaarte saarte pusiasustusega,0.0,0.0,
toovoimereformi toovoimega toovoimereform,0.0,0.0,
seksuaalse vangistusega vaarkohtlemise,0.0,0.0,
oigusriik oigusriigi oigusriigist,0.0,0.0,
kusija vastaja vastasin,0.0,0.0,
korrata stenogrammist vabandan,0.0,0.0,
kasvavad tuleval kasv,0.0,0.0,
danske filiaali rahapesu,0.0,0.0,
hoiu pangad pankade,0.0,0.0,
haiguspaevade haiguspaevi haiguspaeva,0.0,0.0,
haaletamissedel haaletamiskasti sedeli,0.0,0.0,
planeeringu keskkonnamoju keskkonnamojude,0.0,0.0073746312684365,-inf
id mobiil kaardi,0.0,0.0014749262536873,-inf
viirust vaktsineeritud viiruse,0.0,0.0014749262536873,-inf
energiaagentuur agentuuri agentuur,0.0,0.0014749262536873,-inf
aituma infotundi jahimehed,0.0,0.0029498525073746,-inf
rahapesu terrorismi andmeburoo,0.0,0.0014749262536873,-inf
piirikontrolli schengeni valispiiri,0.0,0.0014749262536873,-inf
mes maale maaelu,0.0,0.0014749262536873,-inf
teadus teaduse arendustegevuse,0.0,0.0029498525073746,-inf
lisaeelarve lisaeelarves lisaeelarvega,0.0,0.0014749262536873,-inf
lahususe voimude lahusus,0.0,0.0029498525073746,-inf
est kavatsuste for,0.0,0.0014749262536873,-inf
korterid kortereid korterit,0.0,0.0088495575221238,-inf
teenuseid teenused teenust,0.0,0.0029498525073746,-inf
tootuna arvele ariuhingu,0.0,0.0014749262536873,-inf
ulikooliga kbfi instituudi,0.0,0.0014749262536873,-inf
valitsemisalade katteallikaks riigieelarves,0.0,0.0,
